
List of delisted and no longer trading American stocks (through Aug-06)

Sources of delisted stock price and fundamental data:

csidata.com		US/Canada/UK price data
emphasisdata.com	US price data and fundamentals 

Description                                                                     	Exch.	Delist	Ticker
--------------------------------------------------------------------------------------------------------------
1 800 ATTORNEY INC                                                              	NASDAQ	Feb-03	ATTY
1 POTATO 2 INC                                                                  	NASDAQ	Feb-86	SPUD
1225 MAPLE CORP                                                                 	NASDAQ	Dec-78	TTFC
1ST BANCORP                                                                     	NASDAQ	Dec-98	FBCV
1ST BERGEN BANCORP                                                              	NASDAQ	Mar-99	FBER
1st State Bancorp, Inc.                                                         	NASDAQ	Jan-06	FSBC
1ST UNITED BANCORP                                                              	NASDAQ	Nov-97	FUBC
1ST WASHINGTON BANCORP INC                                                      	NASDAQ	Jul-96	WFSB
2 I INC                                                                         	NASDAQ	Aug-95	TWOI
2002 TARGET TERM TRUST INC                                                      	NYSE	Nov-02	TTR
202 DATA SYS INC                                                                	NASDAQ	Apr-92	TOOT
20TH CENTURY ENERGY CORP                                                        	NASDAQ	Mar-85	TWTHF
21ST CENTURY FILMS CORP                                                         	NASDAQ	Jul-90	TFFC
21st Century Holding Company                                                    	NASDAQ	Jul-06	TCHCW
3 C I COMPLETE COMPLIANCE CORP                                                  	NASDAQ	Sep-99	TCCC
3 D GEOPHYSICAL INC                                                             	NASDAQ	Apr-98	TDGO
3 DIMENSIONAL PHARMACEUTICALS IN                                                	NASDAQ	Mar-03	DDDP
3 T E C ENERGY CORP                                                             	NASDAQ	Jun-03	TTEN
360 COMMUNICATIONS CO                                                           	NYSE	Jun-98	XO
360NETWORKS INC                                                                 	NASDAQ	Jun-01	TSIX
3D LABS INC LTD                                                                 	NASDAQ	May-02	TDDD
3DFX INTERACTIVE INC                                                            	NASDAQ	May-01	TDFX
3DO CO THE                                                                      	NASDAQ	Jun-03	THDO
3DSHOPPING COM                                                                  	AMEX	Feb-01	THD
3DX TECHNOLOGIES INC                                                            	NASDAQ	Apr-99	TDXT
3NET SYSTEMS INC                                                                	NASDAQ	Aug-95	TNET
4FRONT TECHNOLOGIES INC                                                         	NASDAQ	Oct-00	FFTI
4G DATA SYSTEMS INC                                                             	NASDAQ	May-90	GGGG
5 B TECHNOLOGIES CORP                                                           	NASDAQ	Apr-02	FIVE
50 OFF STORES INC                                                               	NASDAQ	Dec-96	FOFF
564 SOUTHERN BOULEVARD INC                                                      	NASDAQ	Nov-79	FSIX
5TH AVENUE CHANNEL CORP                                                         	NASDAQ	Jan-01	FAVE
6.75% ELKS LINKED TO THE COMMO                                                  	AMEX	Jun-06	EHD
724 Solutions                                                                   	NASDAQ	May-06	SVNX
7-Eleven, Inc.                                                                  	NYSE	Nov-05	SE
800 JR CIGAR INC                                                                	NASDAQ	Oct-00	JRJR
800 TRAVEL SYSTEMS INC                                                          	NASDAQ	Apr-02	IFLY
9% CHESAPEAKE ENERGY CORP. SPA                                                  	AMEX	Jan-06	CEQ
A & A INTERNATIONAL IND INC                                                     	NASDAQ	Aug-97	ANAFF
A & E PLASTIK PAK INC                                                           	AMEX	Jun-78	AE
A & M FOOD SERVICES INC                                                         	NASDAQ	Jul-86	AMFD
A & W BRANDS INC                                                                	NASDAQ	Oct-93	SODA
A A I CORP                                                                      	NASDAQ	Jun-73	n/a
A A IMPORTING INC                                                               	NASDAQ	Aug-89	ANTQ
A B A INDUSTRIES INC                                                            	AMEX	Jan-83	AB
A B B AB                                                                        	NASDAQ	Jul-99	ABBBY
A B C CONS CORP                                                                 	NYSE	Dec-67	ABC
A B C DISPENSING TECHS INC                                                      	NASDAQ	Oct-98	ABCC
A B C INVESTMENT CO                                                             	NASDAQ	Jun-78	ABCC
A B C N A C O INC                                                               	NASDAQ	Oct-01	ABCR
A B I AMERICAN BUSINESSPHONES                                                   	AMEX	Oct-88	AB
A B K C O INDUSTRIES INC                                                        	NASDAQ	Sep-84	ABKC
A B Q CORP                                                                      	NASDAQ	Oct-89	ABQC
A B R INFORMATION SERVICES INC                                                  	NASDAQ	Jul-99	ABRX
A B S INDUSTRIES INC                                                            	NASDAQ	Mar-96	ABSI
A B T BUILDING PRODUCTS CORP                                                    	NASDAQ	Feb-99	ABTC
A B WATLEY GROUP INC                                                            	NASDAQ	Apr-02	ABWG
A C C CONSUMER FINANCE CORP                                                     	NASDAQ	Oct-97	ACCI
A C C CORP                                                                      	NASDAQ	Apr-98	ACCC
A C F INDUSTRIES INC                                                            	NYSE	Jun-84	ACF
A C I HOLDINGS INC                                                              	AMEX	Apr-87	ACF
A C I TELECENTRICS INC                                                          	NASDAQ	Jun-99	ACIT
A C L N LIMITED                                                                 	NYSE	Mar-02	ASW
A C M GOVERNMENT SECURITIES FUND                                                	NYSE	Dec-00	GSF
A C M GOVT SPECTRUM FD INC                                                      	NYSE	Dec-00	SI
A C M MANAGED MULTI MARKET TRUST                                                	NYSE	Apr-95	MMF
A C R GROUP INC                                                                 	NASDAQ	May-01	ACRG
A C S ENTERPRISES                                                               	NASDAQ	Sep-95	ACSE
A C S INDUSTRIES INC                                                            	NASDAQ	Dec-89	ACSC
A C S SYSTEMS INC                                                               	NASDAQ	Dec-87	ACSY
A C T MANUFACTURING INC                                                         	NASDAQ	Dec-01	ACTM
A C T NETWORKS INC                                                              	NASDAQ	Aug-00	ANET
A C T V INC                                                                     	NASDAQ	Jun-03	IATV
A D A FINANCIAL SERVICE CORP                                                    	NASDAQ	Mar-73	n/a
A D B SYSTEMS INTERNATIONAL INC                                                 	NASDAQ	Aug-02	ADBI
