Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,1.981000,1.982500,1.973000,1.976300,1.976300,50197
2008-01-03,1.977700,1.980000,1.966500,1.969400,1.969400,67990
2008-01-04,1.968400,1.981200,1.963400,1.968600,1.968600,77313
2008-01-07,1.969100,1.971700,1.961100,1.965500,1.965500,46948
2008-01-08,1.964200,1.980400,1.962400,1.967000,1.967000,51884
2008-01-09,1.968500,1.972200,1.951100,1.952800,1.952800,65000
2008-01-10,1.954000,1.962500,1.950100,1.956100,1.956100,104650
2008-01-11,1.957500,1.958500,1.943500,1.952300,1.952300,59126
2008-01-14,1.953000,1.959800,1.950400,1.951500,1.951500,54155
2008-01-15,1.947800,1.969400,1.947300,1.959600,1.959600,95257
2008-01-16,1.953700,1.967400,1.948200,1.959400,1.959400,105922
2008-01-17,1.957700,1.974800,1.956000,1.966300,1.966300,89738
2008-01-18,1.966600,1.968300,1.946000,1.950300,1.950300,86675
2008-01-22,1.951900,1.961600,1.928000,1.956500,1.956500,134093
2008-01-23,1.957200,1.958300,1.940100,1.946300,1.946300,81898
2008-01-24,1.949800,1.972200,1.944100,1.969100,1.969100,81698
2008-01-25,1.969800,1.979500,1.968200,1.975700,1.975700,61065
2008-01-28,1.978400,1.984200,1.967000,1.978100,1.978100,48594
2008-01-29,1.979200,1.987300,1.975500,1.984200,1.984200,50924
2008-01-30,1.983600,1.990400,1.978500,1.988600,1.988600,57956
2008-01-31,1.982300,1.989200,1.977000,1.984800,1.984800,64307
2008-02-01,1.983400,1.988900,1.959700,1.962700,1.962700,124878
2008-02-04,1.960200,1.974100,1.957500,1.969100,1.969100,70888
2008-02-05,1.968600,1.971600,1.955600,1.959000,1.959000,65193
2008-02-06,1.958500,1.961400,1.950500,1.955400,1.955400,44331
2008-02-07,1.957900,1.958100,1.934300,1.936300,1.936300,96708
2008-02-08,1.937800,1.947000,1.936000,1.941100,1.941100,43511
2008-02-11,1.941400,1.948700,1.935500,1.945800,1.945800,50785
2008-02-12,1.946200,1.959400,1.940100,1.958000,1.958000,68042
2008-02-13,1.955500,1.962600,1.951000,1.960900,1.960900,59163
2008-02-14,1.959600,1.970500,1.957900,1.965500,1.965500,58746
2008-02-15,1.966500,1.968800,1.954500,1.955100,1.955100,62772
2008-02-19,1.955100,1.960600,1.942100,1.945600,1.945600,89327
2008-02-20,1.945200,1.947200,1.933100,1.940200,1.940200,79821
2008-02-21,1.938500,1.961800,1.938500,1.958800,1.958800,100534
2008-02-22,1.959800,1.968300,1.958400,1.966000,1.966000,55569
2008-02-25,1.965900,1.967700,1.959000,1.964500,1.964500,53056
2008-02-26,1.965100,1.985600,1.961000,1.983900,1.983900,80872
2008-02-27,1.985000,1.994900,1.976900,1.981900,1.981900,86829
2008-02-28,1.979500,1.993000,1.974300,1.990700,1.990700,69473
2008-02-29,1.987700,1.990400,1.976700,1.986300,1.986300,73442
2008-03-03,1.987500,1.992200,1.979400,1.983100,1.983100,70570
2008-03-04,1.981700,1.987700,1.979200,1.984200,1.984200,55278
2008-03-05,1.983600,1.995600,1.970600,1.990300,1.990300,109983
2008-03-06,1.990500,2.012500,1.988400,2.007800,2.007800,85999
2008-03-07,2.010000,2.020900,2.008800,2.013700,2.013700,87191
2008-03-10,2.016000,2.022500,2.007900,2.008500,2.008500,75255
2008-03-11,2.005600,2.020300,1.998700,2.002100,2.002100,96170
2008-03-12,2.006300,2.027400,2.005000,2.023300,2.023300,95213
2008-03-13,2.027000,2.038700,2.024700,2.028800,2.028800,58171
2008-03-14,2.031700,2.039500,2.017300,2.021600,2.021600,21258
2008-03-17,2.017700,2.022300,2.000400,2.005600,2.005600,85698
2008-03-18,1.983200,2.011700,1.980400,2.003000,2.003000,114492
2008-03-19,1.991300,2.000500,1.966100,1.970700,1.970700,114118
2008-03-20,1.968200,1.974000,1.958000,1.969100,1.969100,69246
2008-03-24,1.969100,1.973900,1.961900,1.970600,1.970600,30631
2008-03-25,1.974200,1.993200,1.971100,1.986500,1.986500,76567
2008-03-26,1.991700,1.997700,1.979400,1.992900,1.992900,83881
2008-03-27,1.994700,2.006900,1.989800,1.990800,1.990800,91615
2008-03-28,1.994100,1.996800,1.975700,1.979000,1.979000,88101
2008-03-31,1.983900,1.985500,1.969300,1.971200,1.971200,72948
2008-04-01,1.970600,1.975700,1.961000,1.964600,1.964600,84871
2008-04-02,1.964600,1.978800,1.963900,1.976900,1.976900,65144
2008-04-03,1.976200,1.986900,1.965100,1.984300,1.984300,93894
2008-04-04,1.985600,1.996600,1.980600,1.981100,1.981100,76011
2008-04-07,1.980200,1.985500,1.973200,1.975700,1.975700,52436
2008-04-08,1.977900,1.982400,1.956300,1.959100,1.959100,89203
2008-04-09,1.957500,1.969400,1.955000,1.965100,1.965100,66406
2008-04-10,1.966300,1.975500,1.960900,1.962400,1.962400,97037
2008-04-11,1.961200,1.967400,1.958800,1.962600,1.962600,61577
2008-04-14,1.956700,1.980300,1.952500,1.965100,1.965100,92415
2008-04-15,1.967800,1.967800,1.950900,1.952500,1.952500,96667
2008-04-16,1.953800,1.972000,1.951100,1.962300,1.962300,94311
2008-04-17,1.964200,1.985000,1.961100,1.983700,1.983700,129005
2008-04-18,1.982500,1.992400,1.980300,1.985900,1.985900,88507
2008-04-21,1.988500,1.995500,1.969900,1.972300,1.972300,80793
2008-04-22,1.972100,1.993600,1.967100,1.987600,1.987600,101928
2008-04-23,1.988700,1.990200,1.969600,1.973000,1.973000,106746
2008-04-24,1.971700,1.974800,1.961400,1.968500,1.968500,89730
2008-04-25,1.965800,1.982300,1.960800,1.974900,1.974900,99258
2008-04-28,1.977000,1.989800,1.971500,1.982900,1.982900,69933
2008-04-29,1.984600,1.985000,1.960100,1.961300,1.961300,116929
2008-04-30,1.962800,1.983300,1.955900,1.982900,1.982900,124871
2008-05-01,1.982000,1.985300,1.965400,1.967800,1.967800,106478
2008-05-02,1.970100,1.984300,1.964600,1.968300,1.968300,119215
2008-05-05,1.967300,1.977500,1.959500,1.965900,1.965900,56374
2008-05-06,1.966500,1.971700,1.957700,1.967200,1.967200,72748
2008-05-07,1.967000,1.967700,1.944600,1.947200,1.947200,96155
2008-05-08,1.948700,1.957500,1.944700,1.947800,1.947800,85556
2008-05-09,1.949100,1.951900,1.940600,1.946700,1.946700,75178
2008-05-12,1.947000,1.958400,1.939000,1.951400,1.951400,59121
2008-05-13,1.951800,1.956800,1.936500,1.940600,1.940600,94107
2008-05-14,1.940200,1.942800,1.931300,1.939100,1.939100,66189
2008-05-15,1.941900,1.945600,1.935900,1.940500,1.940500,62214
2008-05-16,1.943500,1.955500,1.939700,1.951400,1.951400,83523
2008-05-19,1.952000,1.958200,1.941000,1.943700,1.943700,65783
2008-05-20,1.944200,1.967700,1.943900,1.963300,1.963300,99217
2008-05-21,1.963100,1.969500,1.957100,1.964900,1.964900,76735
2008-05-22,1.968800,1.981800,1.964900,1.974900,1.974900,80917
2008-05-23,1.976100,1.982000,1.972200,1.977800,1.977800,80917
