Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,1.467800,1.475900,1.465300,1.473300,1.473300,110704
2008-01-03,1.473100,1.478800,1.469300,1.474900,1.474900,135924
2008-01-04,1.474800,1.483000,1.470000,1.477700,1.477700,187828
2008-01-07,1.475900,1.476100,1.466000,1.469600,1.469600,107872
2008-01-08,1.469200,1.475400,1.468100,1.471000,1.471000,101773
2008-01-09,1.471100,1.474200,1.463800,1.466200,1.466200,131038
2008-01-10,1.465800,1.481300,1.464000,1.479100,1.479100,221810
2008-01-11,1.480400,1.481400,1.475700,1.478000,1.478000,130632
2008-01-14,1.477900,1.490800,1.477400,1.486800,1.486800,129807
2008-01-15,1.485700,1.491600,1.479200,1.482800,1.482800,189779
2008-01-16,1.477400,1.485300,1.458700,1.465400,1.465400,302395
2008-01-17,1.464600,1.471000,1.458100,1.466700,1.466700,194283
2008-01-18,1.463400,1.468900,1.459600,1.461800,1.461800,156011
2008-01-22,1.459900,1.463900,1.435500,1.459500,1.459500,413877
2008-01-23,1.465200,1.465400,1.448500,1.457300,1.457300,231322
2008-01-24,1.461400,1.476300,1.457100,1.474100,1.474100,206831
2008-01-25,1.473900,1.476000,1.464200,1.465700,1.465700,164776
2008-01-28,1.466800,1.478100,1.464300,1.476000,1.476000,120652
2008-01-29,1.477200,1.477600,1.471900,1.476000,1.476000,107022
2008-01-30,1.475400,1.489000,1.473800,1.487900,1.487900,143607
2008-01-31,1.483700,1.489600,1.478300,1.485900,1.485900,167648
2008-02-01,1.483000,1.494600,1.476800,1.478800,1.478800,216503
2008-02-04,1.478300,1.483300,1.477700,1.481000,1.481000,103979
2008-02-05,1.481600,1.481700,1.460700,1.463500,1.463500,209752
2008-02-06,1.463100,1.465600,1.457500,1.461200,1.461200,142182
2008-02-07,1.460800,1.463800,1.442400,1.444500,1.444500,241908
2008-02-08,1.447700,1.453400,1.443600,1.449200,1.449200,114884
2008-02-11,1.450500,1.456300,1.446600,1.450100,1.450100,124316
2008-02-12,1.450500,1.460300,1.448300,1.457900,1.457900,162640
2008-02-13,1.456500,1.458700,1.451800,1.456400,1.456400,115724
2008-02-14,1.456200,1.463700,1.453800,1.462100,1.462100,164287
2008-02-15,1.463000,1.469800,1.462000,1.465700,1.465700,121762
2008-02-19,1.466900,1.474700,1.460000,1.472200,1.472200,200508
2008-02-20,1.471700,1.472200,1.460400,1.470700,1.470700,184230
2008-02-21,1.470700,1.483000,1.469400,1.480900,1.480900,182821
2008-02-22,1.481100,1.485500,1.478100,1.481700,1.481700,131394
2008-02-25,1.482500,1.483700,1.478700,1.481500,1.481500,102093
2008-02-26,1.482100,1.497800,1.477100,1.496100,1.496100,200818
2008-02-27,1.499000,1.513700,1.497500,1.511100,1.511100,238082
2008-02-28,1.511300,1.522300,1.506700,1.520800,1.520800,168931
2008-02-29,1.518600,1.523400,1.513800,1.518500,1.518500,178908
