Date,Open,High,Low,Close,Adj Close,Volume
2008-01-04,125.500000,125.500000,123.000000,123.250000,123.250000,6
2008-01-07,122.099998,122.099998,122.000000,122.000000,122.000000,8
2008-01-08,122.250000,122.250000,122.250000,122.250000,122.250000,0
2008-01-09,122.000000,122.000000,122.000000,122.000000,122.000000,10
2008-01-10,122.000000,122.000000,122.000000,122.000000,122.000000,0
2008-01-11,123.000000,123.000000,122.750000,122.750000,122.750000,13
2008-01-14,122.099998,122.099998,122.099998,122.099998,122.099998,1
2008-01-15,122.099998,122.099998,122.099998,122.099998,122.099998,0
2008-01-16,122.250000,122.250000,122.250000,122.250000,122.250000,10
2008-01-17,122.250000,122.250000,122.250000,122.250000,122.250000,0
2008-01-18,122.500000,123.500000,122.500000,123.000000,123.000000,20
2008-01-22,123.000000,123.000000,123.000000,123.000000,123.000000,5
2008-01-23,123.000000,123.000000,123.000000,123.000000,123.000000,0
2008-01-24,123.000000,123.000000,123.000000,123.000000,123.000000,0
2008-01-25,123.000000,123.000000,123.000000,123.000000,123.000000,0
2008-01-28,123.000000,123.000000,123.000000,123.000000,123.000000,0
2008-01-29,123.250000,123.250000,123.250000,123.250000,123.250000,2
2008-01-30,123.250000,123.250000,123.250000,123.250000,123.250000,0
2008-01-31,123.250000,123.250000,123.250000,123.250000,123.250000,0
2008-02-01,122.500000,122.500000,122.000000,122.000000,122.000000,22
2008-02-04,122.000000,122.000000,122.000000,122.000000,122.000000,0
2008-02-05,122.000000,122.000000,122.000000,122.000000,122.000000,5
2008-02-06,121.500000,122.000000,121.500000,122.000000,122.000000,6
2008-02-07,122.000000,122.000000,121.750000,121.750000,121.750000,8
2008-02-08,121.250000,121.250000,120.500000,120.500000,120.500000,15
2008-02-11,120.500000,120.500000,120.000000,120.000000,120.000000,6
2008-02-12,119.750000,119.750000,119.750000,119.750000,119.750000,10
2008-02-13,119.750000,119.750000,119.750000,119.750000,119.750000,8
2008-02-14,120.000000,120.000000,120.000000,120.000000,120.000000,6
2008-02-15,120.250000,120.500000,120.250000,120.250000,120.250000,5
2008-02-19,120.250000,120.250000,120.250000,120.250000,120.250000,5
2008-02-20,120.250000,120.250000,120.250000,120.250000,120.250000,0
2008-02-21,120.250000,120.250000,120.250000,120.250000,120.250000,21
2008-02-22,120.250000,120.250000,120.250000,120.250000,120.250000,4
2008-02-25,120.250000,120.250000,120.250000,120.250000,120.250000,0
2008-02-26,120.250000,120.250000,120.250000,120.250000,120.250000,0
2008-02-27,120.250000,120.250000,120.250000,120.250000,120.250000,0
2008-02-28,120.625000,120.625000,120.625000,120.625000,120.625000,20
2008-02-29,126.500000,126.500000,126.500000,126.500000,126.500000,10
2008-03-03,126.500000,126.500000,126.500000,126.500000,126.500000,0
2008-03-04,127.000000,127.000000,127.000000,127.000000,127.000000,3
2008-03-05,127.500000,127.500000,127.000000,127.000000,127.000000,2
2008-03-06,127.000000,127.000000,127.000000,127.000000,127.000000,7
2008-03-07,127.000000,127.000000,126.500000,126.500000,126.500000,26
2008-03-10,126.000000,126.000000,126.000000,126.000000,126.000000,7
2008-03-11,126.500000,126.750000,126.500000,126.500000,126.500000,8
2008-03-12,126.500000,126.500000,126.500000,126.500000,126.500000,20
2008-03-13,126.500000,126.500000,126.500000,126.500000,126.500000,13
2008-03-14,126.500000,126.750000,126.500000,126.500000,126.500000,8
2008-03-17,126.250000,126.250000,126.250000,126.250000,126.250000,4
2008-03-18,126.250000,126.250000,126.250000,126.250000,126.250000,12
2008-03-19,126.250000,126.275002,126.050003,126.050003,126.050003,7
2008-03-20,126.250000,126.250000,126.250000,126.250000,126.250000,10
2008-03-24,126.050003,126.050003,126.050003,126.050003,126.050003,0
2008-03-25,126.000000,126.000000,126.000000,125.750000,125.750000,11
2008-03-26,125.750000,125.750000,125.750000,125.750000,125.750000,0
2008-03-27,125.750000,125.750000,125.750000,125.750000,125.750000,0
2008-03-28,125.750000,125.750000,125.750000,125.750000,125.750000,7
2008-03-31,125.500000,125.750000,125.500000,125.750000,125.750000,10
2008-04-01,null,null,null,null,null,null
2008-04-02,null,null,null,null,null,null
2008-04-03,null,null,null,null,null,null
2008-04-04,136.750000,136.750000,136.750000,136.750000,136.750000,0
2008-04-07,136.000000,136.000000,136.000000,136.750000,136.750000,2
2008-04-08,136.500000,136.500000,136.500000,136.500000,136.500000,5
2008-04-09,136.500000,136.500000,136.500000,136.500000,136.500000,0
2008-04-10,136.500000,136.500000,136.500000,136.500000,136.500000,10
2008-04-11,136.000000,136.000000,136.000000,136.000000,136.000000,10
2008-04-14,135.000000,135.000000,135.000000,135.000000,135.000000,17
2008-04-15,135.000000,135.000000,135.000000,135.000000,135.000000,2
2008-04-16,135.000000,135.000000,135.000000,135.000000,135.000000,8
2008-04-17,135.000000,135.000000,135.000000,135.000000,135.000000,0
2008-04-18,135.250000,135.250000,135.250000,135.250000,135.250000,0
2008-04-21,135.250000,135.250000,135.250000,135.250000,135.250000,0
2008-04-22,135.250000,135.250000,135.250000,135.250000,135.250000,0
2008-04-23,135.250000,135.250000,135.250000,135.250000,135.250000,0
2008-04-24,135.250000,135.250000,135.250000,135.250000,135.250000,0
2008-04-25,135.750000,135.750000,135.750000,135.750000,135.750000,2
2008-04-28,135.750000,135.750000,135.750000,135.750000,135.750000,0
2008-04-29,135.750000,135.750000,135.750000,135.750000,135.750000,0
2008-04-30,135.750000,135.750000,135.750000,135.750000,135.750000,10
2008-05-01,null,null,null,null,null,null
2008-05-02,143.500000,144.000000,143.500000,144.000000,144.000000,19
2008-05-05,144.500000,144.750000,144.000000,144.250000,144.250000,18
2008-05-06,144.149994,144.149994,144.149994,144.149994,144.149994,9
2008-05-07,144.100006,144.100006,144.000000,144.000000,144.000000,5
2008-05-08,144.000000,144.000000,143.000000,143.000000,143.000000,2
2008-05-09,143.000000,143.000000,143.000000,143.000000,143.000000,9
2008-05-12,143.000000,143.000000,143.000000,143.000000,143.000000,19
2008-05-13,142.750000,142.750000,142.500000,142.750000,142.750000,28
2008-05-14,143.000000,143.000000,143.000000,143.000000,143.000000,11
2008-05-15,142.000000,142.000000,142.000000,142.000000,142.000000,6
2008-05-16,143.000000,143.000000,142.500000,142.750000,142.750000,24
2008-05-19,142.250000,142.250000,142.250000,142.750000,142.750000,10
2008-05-20,142.750000,142.750000,142.750000,142.750000,142.750000,12
2008-05-21,142.750000,142.750000,140.500000,140.500000,140.500000,4
2008-05-22,141.649994,141.750000,141.649994,141.750000,141.750000,4
2008-05-23,141.750000,141.750000,141.500000,141.500000,141.500000,4
2008-05-27,141.524994,141.524994,141.524994,141.524994,141.524994,0
2008-05-28,141.524994,141.524994,141.524994,141.524994,141.524994,0
2008-05-29,141.524994,141.524994,141.524994,141.524994,141.524994,6
2008-05-30,146.500000,147.500000,146.500000,147.000000,147.000000,14
2008-06-02,147.750000,147.750000,147.750000,147.000000,147.000000,2
2008-06-03,148.000000,148.000000,148.000000,148.000000,148.000000,20
2008-06-04,148.000000,148.000000,148.000000,148.000000,148.000000,9
2008-06-05,148.000000,148.449997,147.000000,147.000000,147.000000,11
2008-06-06,147.949997,147.949997,147.000000,147.000000,147.000000,16
2008-06-09,147.000000,147.000000,147.000000,147.000000,147.000000,5
2008-06-10,147.500000,147.500000,147.000000,147.000000,147.000000,8
2008-06-11,147.000000,147.000000,147.000000,147.250000,147.250000,5
2008-06-12,147.250000,147.250000,147.000000,147.000000,147.000000,4
2008-06-13,147.000000,147.000000,147.000000,147.000000,147.000000,5
2008-06-16,147.250000,147.500000,147.250000,147.250000,147.250000,11
2008-06-17,147.250000,147.250000,147.250000,147.250000,147.250000,0
2008-06-18,147.250000,147.250000,147.250000,147.250000,147.250000,6
2008-06-19,147.250000,147.250000,147.250000,147.250000,147.250000,0
2008-06-20,147.000000,147.000000,147.000000,147.000000,147.000000,8
2008-06-23,147.000000,147.000000,147.000000,147.000000,147.000000,0
2008-06-24,147.000000,147.000000,147.000000,147.000000,147.000000,0
2008-06-25,147.050003,147.100006,147.050003,147.100006,147.100006,11
2008-06-26,147.100006,147.100006,147.100006,147.100006,147.100006,0
2008-06-27,147.100006,147.100006,147.100006,147.100006,147.100006,0
2008-06-30,147.100006,147.100006,147.100006,147.100006,147.100006,3
2008-07-01,null,null,null,null,null,null
2008-07-02,null,null,null,null,null,null
2008-07-03,null,null,null,null,null,null
2008-07-07,153.000000,153.000000,152.500000,153.000000,153.000000,18
2008-07-08,152.500000,152.500000,151.500000,151.500000,151.500000,15
2008-07-09,151.750000,151.750000,151.750000,151.750000,151.750000,0
2008-07-10,151.500000,151.500000,151.500000,151.524994,151.524994,1
2008-07-11,152.000000,152.000000,152.000000,152.000000,152.000000,2
2008-07-14,153.000000,153.000000,152.250000,152.250000,152.250000,15
2008-07-15,152.000000,152.000000,152.000000,152.000000,152.000000,14
2008-07-16,152.000000,152.000000,151.750000,152.000000,152.000000,4
2008-07-17,151.750000,151.750000,151.750000,151.750000,151.750000,2
2008-07-18,151.750000,151.750000,151.000000,151.500000,151.500000,33
2008-07-21,151.500000,151.500000,151.500000,151.500000,151.500000,17
2008-07-22,151.500000,151.500000,151.500000,151.625000,151.625000,7
2008-07-23,151.500000,151.500000,151.500000,151.625000,151.625000,6
2008-07-24,151.625000,151.625000,151.625000,151.625000,151.625000,0
2008-07-25,151.500000,151.524994,151.500000,151.524994,151.524994,3
2008-07-28,151.524994,151.750000,151.524994,151.750000,151.750000,2
2008-07-29,152.000000,152.000000,152.000000,152.000000,152.000000,12
2008-07-30,152.000000,152.000000,152.000000,152.000000,152.000000,0
2008-07-31,152.000000,152.000000,152.000000,152.000000,152.000000,3
2008-08-01,155.399994,159.500000,155.250000,156.000000,156.000000,20
2008-08-04,157.000000,158.000000,157.000000,157.000000,157.000000,11
2008-08-05,160.000000,160.000000,160.000000,160.000000,160.000000,8
2008-08-06,158.000000,160.000000,158.000000,159.000000,159.000000,9
2008-08-07,159.750000,159.750000,159.750000,159.750000,159.750000,32
2008-08-08,159.750000,159.750000,159.000000,159.000000,159.000000,31
2008-08-11,159.000000,159.000000,159.000000,158.500000,158.500000,28
2008-08-12,159.000000,159.500000,159.000000,159.000000,159.000000,41
