Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,1478.750000,1482.750000,1449.000000,1458.500000,1458.500000,1623508
2008-01-03,1458.500000,1464.750000,1451.000000,1458.750000,1458.750000,1266237
2008-01-04,1458.750000,1463.250000,1417.500000,1423.000000,1423.000000,2199479
2008-01-07,1422.500000,1432.250000,1410.000000,1421.500000,1421.500000,2436934
2008-01-08,1421.750000,1437.750000,1393.000000,1397.000000,1397.000000,2902242
2008-01-09,1397.250000,1416.500000,1385.000000,1411.500000,1411.500000,2811604
2008-01-10,1412.500000,1436.250000,1401.500000,1421.000000,1421.000000,2737056
2008-01-11,1420.500000,1423.750000,1400.250000,1407.750000,1407.750000,2191787
2008-01-14,1408.500000,1424.500000,1398.000000,1420.250000,1420.250000,1456055
2008-01-15,1421.000000,1422.500000,1385.250000,1388.000000,1388.000000,2438444
2008-01-16,1381.750000,1397.500000,1368.500000,1376.000000,1376.000000,3222442
2008-01-17,1377.250000,1389.250000,1334.000000,1339.750000,1339.750000,3404177
2008-01-18,1340.750000,1360.500000,1315.750000,1325.250000,1325.250000,3219547
2008-01-22,1327.750000,1331.500000,1255.500000,1309.250000,1309.250000,4734875
2008-01-23,1311.750000,1344.500000,1261.000000,1341.500000,1341.500000,4119794
2008-01-24,1342.250000,1357.250000,1333.250000,1352.250000,1352.250000,2431922
2008-01-25,1356.000000,1370.750000,1328.250000,1334.000000,1334.000000,2543013
2008-01-28,1336.000000,1358.250000,1310.250000,1354.500000,1354.500000,2013859
2008-01-29,1353.750000,1367.000000,1350.250000,1362.000000,1362.000000,1581503
2008-01-30,1361.500000,1387.500000,1347.250000,1350.500000,1350.500000,2609409
2008-01-31,1349.750000,1387.250000,1331.500000,1379.500000,1379.500000,3192392
2008-02-01,1374.000000,1398.000000,1371.500000,1397.000000,1397.000000,2290938
2008-02-04,1396.750000,1400.000000,1378.000000,1378.750000,1378.750000,1218675
2008-02-05,1379.250000,1381.250000,1337.500000,1343.250000,1343.250000,2517764
2008-02-06,1343.250000,1353.250000,1324.750000,1330.000000,1330.000000,2162714
2008-02-07,1331.750000,1348.500000,1312.750000,1340.250000,1340.250000,2927426
