Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,1.455100,1.459200,1.447200,1.451160,1.451160,0
2008-01-02,1.452200,1.467100,1.445200,1.463300,1.463300,0
2008-01-03,1.463100,1.470200,1.455300,1.457900,1.457900,0
2008-01-04,1.457600,1.480500,1.448100,1.477100,1.477100,0
2008-01-07,1.475100,1.479700,1.467400,1.476500,1.476500,0
2008-01-08,1.476300,1.481300,1.466900,1.477500,1.477500,0
2008-01-09,1.477400,1.482860,1.472600,1.480100,1.480100,0
2008-01-10,1.480300,1.498100,1.475100,1.492700,1.492700,0
2008-01-11,1.493100,1.510300,1.490100,1.506500,1.506500,0
2008-01-14,1.508500,1.518520,1.506600,1.512600,1.512600,0
2008-01-15,1.512500,1.516800,1.504000,1.506800,1.506800,0
2008-01-16,1.506900,1.518600,1.497500,1.499300,1.499300,0
2008-01-17,1.499700,1.513840,1.487300,1.507000,1.507000,0
2008-01-18,1.507300,1.508000,1.498900,1.501400,1.501400,0
2008-01-21,1.491600,1.497600,1.485400,1.491400,1.491400,0
2008-01-22,1.495000,1.507700,1.487090,1.504200,1.504200,0
2008-01-23,1.504200,1.507300,1.489190,1.497000,1.497000,0
2008-01-24,1.497300,1.498300,1.478100,1.483600,1.483600,0
2008-01-25,1.483600,1.486400,1.473200,1.477300,1.477300,0
2008-01-28,1.481800,1.489600,1.477900,1.485400,1.485400,0
2008-01-29,1.485400,1.486000,1.468200,1.474200,1.474200,0
2008-01-30,1.474200,1.479700,1.467100,1.475400,1.475400,0
2008-01-31,1.475500,1.495400,1.474350,1.488400,1.488400,0
2008-02-01,1.488100,1.493400,1.467200,1.470400,1.470400,0
2008-02-04,1.472600,1.483000,1.469900,1.473600,1.473600,0
2008-02-05,1.473800,1.477300,1.465200,1.474800,1.474800,0
2008-02-06,1.474900,1.477400,1.466200,1.471400,1.471400,0
2008-02-07,1.471700,1.474700,1.457900,1.460800,1.460800,0
2008-02-08,1.460900,1.463000,1.441800,1.450700,1.450700,0
2008-02-11,1.452000,1.457400,1.448600,1.453500,1.453500,0
2008-02-12,1.452900,1.461100,1.446500,1.458700,1.458700,0
2008-02-13,1.459000,1.460500,1.451700,1.452400,1.452400,0
2008-02-14,1.452300,1.465000,1.451000,1.464300,1.464300,0
2008-02-15,1.464200,1.482200,1.455700,1.478400,1.478400,0
2008-02-18,1.479100,1.479500,1.470000,1.475800,1.475800,0
2008-02-19,1.475700,1.498700,1.475200,1.495400,1.495400,0
