Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,1.652700,1.655900,1.638700,1.654600,1.654600,0
2008-01-02,1.653900,1.655400,1.642600,1.647400,1.647400,0
2008-01-03,1.647400,1.647800,1.637800,1.639000,1.639000,0
2008-01-04,1.638800,1.640900,1.632000,1.633900,1.633900,0
2008-01-07,1.633200,1.642200,1.632600,1.641200,1.641200,0
2008-01-08,1.641200,1.644800,1.634900,1.635900,1.635900,0
2008-01-09,1.635800,1.640000,1.632600,1.636700,1.636700,0
2008-01-10,1.636800,1.638200,1.628900,1.634500,1.634500,0
2008-01-11,1.634600,1.634800,1.625200,1.627900,1.627900,0
2008-01-14,1.628300,1.630900,1.623200,1.625000,1.625000,0
2008-01-15,1.625100,1.625100,1.615100,1.615600,1.615600,0
2008-01-16,1.615500,1.616500,1.608500,1.611400,1.611400,0
2008-01-17,1.611400,1.617800,1.609500,1.611300,1.611300,0
2008-01-18,1.611220,1.617600,1.603900,1.606000,1.606000,0
2008-01-21,1.596900,1.598900,1.594700,1.596700,1.596700,0
2008-01-22,1.605900,1.607600,1.594800,1.606200,1.606200,0
2008-01-23,1.606300,1.607200,1.583100,1.597000,1.597000,0
2008-01-24,1.597100,1.606300,1.589620,1.605100,1.605100,0
2008-01-25,1.605300,1.614200,1.604300,1.609800,1.609800,0
2008-01-28,1.608200,1.612400,1.603100,1.611200,1.611200,0
2008-01-29,1.611200,1.617000,1.607700,1.615600,1.615600,0
2008-01-30,1.615600,1.617400,1.606100,1.607600,1.607600,0
2008-01-31,1.607900,1.611200,1.602100,1.606700,1.606700,0
2008-02-01,1.606300,1.612800,1.601200,1.612700,1.612700,0
2008-02-04,1.610900,1.618000,1.610400,1.613400,1.613400,0
2008-02-05,1.613400,1.621100,1.608100,1.608700,1.608700,0
2008-02-06,1.608800,1.610000,1.603400,1.603700,1.603700,0
2008-02-07,1.603600,1.606800,1.596200,1.597400,1.597400,0
2008-02-08,1.597100,1.603300,1.596900,1.599300,1.599300,0
2008-02-11,1.601200,1.602400,1.594200,1.598400,1.598400,0
2008-02-12,1.598200,1.608800,1.597700,1.606800,1.606800,0
2008-02-13,1.606600,1.616100,1.604500,1.613000,1.613000,0
2008-02-14,1.613000,1.618100,1.604200,1.606600,1.606600,0
2008-02-15,1.606700,1.609500,1.600400,1.605500,1.605500,0
2008-02-18,1.604400,1.616800,1.604100,1.614100,1.614100,0
2008-02-19,1.614000,1.615700,1.608800,1.611800,1.611800,0
2008-02-20,1.612000,1.618100,1.609000,1.617000,1.617000,0
2008-02-21,1.617200,1.622800,1.612000,1.614600,1.614600,0
2008-02-22,1.614900,1.615800,1.606500,1.609100,1.609100,0
2008-02-25,1.610300,1.617200,1.609500,1.615000,1.615000,0
2008-02-26,1.614900,1.617200,1.609300,1.613200,1.613200,0
2008-02-27,1.613300,1.613400,1.605500,1.606800,1.606800,0
2008-02-28,1.606800,1.606800,1.596100,1.596600,1.596600,0
2008-02-29,1.596500,1.597600,1.579000,1.580100,1.580100,0
2008-03-03,1.570900,1.585700,1.570100,1.582400,1.582400,0
2008-03-04,1.582500,1.583000,1.573800,1.580500,1.580500,0
2008-03-05,1.580400,1.584800,1.575100,1.582800,1.582800,0
2008-03-06,1.582800,1.585500,1.571600,1.572600,1.572600,0
2008-03-07,1.572600,1.577100,1.566700,1.575900,1.575900,0
2008-03-10,1.570600,1.572300,1.562000,1.562700,1.562700,0
2008-03-11,1.562500,1.587300,1.561500,1.583800,1.583800,0
2008-03-12,1.584200,1.586100,1.576600,1.576900,1.576900,0
2008-03-13,1.577300,1.581900,1.568400,1.578200,1.578200,0
2008-03-14,1.578300,1.580100,1.563200,1.564900,1.564900,0
2008-03-17,1.556600,1.556700,1.535000,1.549600,1.549600,0
2008-03-18,1.549600,1.569600,1.544800,1.564000,1.564000,0
2008-03-19,1.564000,1.567500,1.557000,1.558600,1.558600,0
2008-03-20,1.558600,1.569800,1.552400,1.554500,1.554500,0
2008-03-21,1.554300,1.560300,1.553100,1.557200,1.557200,0
2008-03-24,1.559800,1.576300,1.559500,1.572700,1.572700,0
2008-03-25,1.572800,1.577300,1.570400,1.574600,1.574600,0
2008-03-26,1.574400,1.576500,1.565500,1.568900,1.568900,0
2008-03-27,1.568700,1.572100,1.565100,1.568600,1.568600,0
2008-03-28,1.568300,1.575300,1.566600,1.571900,1.571900,0
2008-03-31,1.571200,1.575400,1.566200,1.567600,1.567600,0
2008-04-01,null,null,null,null,null,null
2008-04-02,1.580400,1.585600,1.577400,1.581000,1.581000,0
2008-04-03,1.581100,1.585600,1.578200,1.583100,1.583100,0
2008-04-04,1.584100,1.587400,1.577400,1.582500,1.582500,0
2008-04-07,1.582300,1.595500,1.581800,1.590600,1.590600,0
2008-04-08,1.590600,1.594700,1.587900,1.594600,1.594600,0
2008-04-09,1.594500,1.595200,1.582200,1.586100,1.586100,0
2008-04-10,1.586000,1.587600,1.572300,1.587200,1.587200,0
2008-04-11,1.587200,1.589400,1.578100,1.578100,1.578100,0
2008-04-14,1.581400,1.583100,1.575900,1.582500,1.582500,0
2008-04-15,1.582900,1.592400,1.579500,1.591500,1.591500,0
2008-04-16,1.591300,1.595400,1.586700,1.594100,1.594100,0
2008-04-17,1.594000,1.601300,1.590300,1.600100,1.600100,0
2008-04-18,1.600200,1.615700,1.597600,1.609700,1.609700,0
2008-04-21,1.609300,1.612200,1.602400,1.604700,1.604700,0
2008-04-22,1.604700,1.608500,1.601200,1.603200,1.603200,0
2008-04-23,1.603300,1.615700,1.602500,1.612500,1.612500,0
2008-04-24,1.612400,1.624600,1.611300,1.623000,1.623000,0
2008-04-25,1.623100,1.624400,1.614100,1.617500,1.617500,0
2008-04-28,1.616400,1.620300,1.613700,1.618800,1.618800,0
2008-04-29,1.618700,1.619200,1.610600,1.614700,1.614700,0
2008-04-30,1.614800,1.623200,1.612300,1.617000,1.617000,0
2008-05-01,null,null,null,null,null,null
2008-05-02,1.621500,1.631800,1.619700,1.629600,1.629600,0
2008-05-05,1.628300,1.634500,1.628000,1.632300,1.632300,0
2008-05-06,1.632400,1.634000,1.625600,1.633700,1.633700,0
2008-05-07,1.633700,1.633700,1.622700,1.623800,1.623800,0
2008-05-08,1.623900,1.624500,1.617000,1.618500,1.618500,0
2008-05-09,1.618500,1.618800,1.606300,1.610900,1.610900,0
2008-05-12,1.611300,1.623200,1.610400,1.623100,1.623100,0
2008-05-13,1.623000,1.629900,1.618400,1.627400,1.627400,0
2008-05-14,1.627400,1.633400,1.626600,1.631800,1.631800,0
2008-05-15,1.631300,1.634600,1.628500,1.632000,1.632000,0
2008-05-16,1.631300,1.636500,1.627200,1.631900,1.631900,0
2008-05-19,1.632400,1.637300,1.627400,1.633700,1.633700,0
2008-05-20,1.633900,1.633900,1.622200,1.622800,1.622800,0
2008-05-21,1.622600,1.627500,1.617400,1.619000,1.619000,0
2008-05-22,1.618700,1.625200,1.616400,1.620800,1.620800,0
2008-05-23,1.620800,1.622500,1.612800,1.614000,1.614000,0
2008-05-26,1.615300,1.618100,1.614800,1.616100,1.616100,0
2008-05-27,1.616200,1.623400,1.614800,1.621200,1.621200,0
2008-05-28,1.621200,1.626900,1.616100,1.623100,1.623100,0
2008-05-29,1.623200,1.629800,1.622800,1.627600,1.627600,0
2008-05-30,1.627600,1.628900,1.620100,1.620800,1.620800,0
2008-06-02,1.621800,1.622400,1.608400,1.612100,1.612100,0
2008-06-03,1.611800,1.616600,1.605600,1.610000,1.610000,0
2008-06-04,1.609700,1.611300,1.603700,1.608100,1.608100,0
2008-06-05,1.608100,1.619100,1.607800,1.618500,1.618500,0
2008-06-06,1.618500,1.622000,1.606300,1.607000,1.607000,0
2008-06-09,1.605500,1.612800,1.604400,1.607200,1.607200,0
2008-06-10,1.607100,1.613200,1.605100,1.611300,1.611300,0
2008-06-11,1.611300,1.615400,1.603200,1.603900,1.603900,0
2008-06-12,1.604100,1.613500,1.602200,1.607300,1.607300,0
2008-06-13,1.607300,1.613700,1.606600,1.610400,1.610400,0
2008-06-16,1.611200,1.618800,1.610300,1.616600,1.616600,0
2008-06-17,1.616500,1.619800,1.612700,1.615000,1.615000,0
2008-06-18,1.615600,1.618700,1.608200,1.609800,1.609800,0
2008-06-19,1.609900,1.621700,1.606900,1.618900,1.618900,0
2008-06-20,1.618800,1.620200,1.612800,1.615600,1.615600,0
