Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,9.428400,9.447900,9.423000,9.431100,9.431100,0
2008-01-02,9.430100,9.434000,9.401300,9.420000,9.420000,0
2008-01-03,9.418600,9.428200,9.345500,9.355000,9.355000,0
2008-01-04,9.355300,9.381300,9.346400,9.375500,9.375500,0
2008-01-07,9.373400,9.396800,9.358000,9.385200,9.385200,0
2008-01-08,9.384000,9.428000,9.364300,9.418000,9.418000,0
2008-01-09,9.418300,9.425100,9.392840,9.414000,9.414000,0
2008-01-10,9.416000,9.419700,9.358900,9.372300,9.372300,0
2008-01-11,9.372300,9.403900,9.353500,9.381600,9.381600,0
2008-01-14,9.390000,9.437000,9.364100,9.371500,9.371500,0
2008-01-15,9.366100,9.428200,9.357000,9.424200,9.424200,0
2008-01-16,9.420100,9.442100,9.405300,9.427900,9.427900,0
2008-01-17,9.427100,9.434800,9.400000,9.434000,9.434000,0
2008-01-18,9.433600,9.446000,9.409100,9.411500,9.411500,0
2008-01-21,9.465000,9.493500,9.441000,9.469500,9.469500,0
2008-01-22,9.416400,9.551600,9.404700,9.473400,9.473400,0
2008-01-23,9.473700,9.535300,9.467600,9.482400,9.482400,0
2008-01-24,9.480000,9.501900,9.452700,9.455400,9.455400,0
2008-01-25,9.462700,9.490900,9.435700,9.487200,9.487200,0
2008-01-28,9.472900,9.504800,9.439400,9.446000,9.446000,0
2008-01-29,9.450800,9.463600,9.433200,9.447000,9.447000,0
2008-01-30,9.448100,9.458600,9.401600,9.436400,9.436400,0
2008-01-31,9.437000,9.481300,9.419800,9.465700,9.465700,0
2008-02-01,9.459600,9.473100,9.411900,9.427500,9.427500,0
2008-02-04,9.418900,9.425100,9.378000,9.397300,9.397300,0
2008-02-05,9.396700,9.451800,9.369400,9.447800,9.447800,0
2008-02-06,9.448000,9.470300,9.400900,9.415100,9.415100,0
2008-02-07,9.416000,9.452000,9.399000,9.434300,9.434300,0
2008-02-08,9.434000,9.444100,9.396600,9.417600,9.417600,0
2008-02-11,9.413200,9.440000,9.400000,9.418900,9.418900,0
2008-02-12,9.420700,9.421500,9.384000,9.393000,9.393000,0
2008-02-13,9.398600,9.417400,9.329300,9.335300,9.335300,0
2008-02-14,9.334400,9.346300,9.313700,9.321400,9.321400,0
2008-02-15,9.326700,9.334600,9.292100,9.300000,9.300000,0
2008-02-18,9.292200,9.319700,9.279700,9.310900,9.310900,0
2008-02-19,9.306700,9.337400,9.291600,9.311300,9.311300,0
2008-02-20,9.304900,9.335300,9.294400,9.305700,9.305700,0
2008-02-21,9.300300,9.321000,9.295600,9.301300,9.301300,0
2008-02-22,9.300700,9.325500,9.290800,9.302500,9.302500,0
2008-02-25,9.302600,9.316900,9.294000,9.304000,9.304000,0
2008-02-26,9.305000,9.325200,9.278000,9.301300,9.301300,0
2008-02-27,9.301600,9.363100,9.290000,9.361500,9.361500,0
2008-02-28,9.361800,9.383600,9.343300,9.358000,9.358000,0
2008-02-29,9.357100,9.398700,9.341700,9.377800,9.377800,0
2008-03-03,9.361000,9.377800,9.339600,9.345300,9.345300,0
2008-03-04,9.344000,9.375000,9.340300,9.346800,9.346800,0
2008-03-05,9.348200,9.369400,9.330100,9.334400,9.334400,0
2008-03-06,9.334200,9.394300,9.331500,9.378600,9.378600,0
2008-03-07,9.383400,9.409100,9.375800,9.402000,9.402000,0
2008-03-10,9.398300,9.408000,9.387500,9.400000,9.400000,0
2008-03-11,9.400800,9.409700,9.370900,9.389000,9.389000,0
2008-03-12,9.389300,9.436300,9.377400,9.429900,9.429900,0
2008-03-13,9.430800,9.451100,9.418000,9.424000,9.424000,0
2008-03-14,9.425600,9.462000,9.419000,9.451700,9.451700,0
2008-03-17,9.457000,9.484800,9.445800,9.467200,9.467200,0
2008-03-18,9.467000,9.477600,9.409500,9.422000,9.422000,0
2008-03-19,9.419300,9.438800,9.380300,9.408100,9.408100,0
2008-03-20,9.408000,9.434500,9.392200,9.411000,9.411000,0
2008-03-21,9.408600,9.426100,9.408000,9.411000,9.411000,0
2008-03-24,9.416000,9.447200,9.412000,9.436300,9.436300,0
2008-03-25,9.425000,9.446200,9.392600,9.411700,9.411700,0
2008-03-26,9.410700,9.425000,9.382000,9.423000,9.423000,0
2008-03-27,9.424100,9.427100,9.380500,9.397400,9.397400,0
2008-03-28,9.396700,9.402300,9.365000,9.394700,9.394700,0
2008-03-31,9.395200,9.399500,9.360700,9.375500,9.375500,0
2008-04-01,null,null,null,null,null,null
2008-04-02,9.393600,9.397400,9.350900,9.351800,9.351800,0
2008-04-03,9.359600,9.366000,9.330300,9.356900,9.356900,0
2008-04-04,9.357300,9.385200,9.342600,9.366000,9.366000,0
2008-04-07,9.370400,9.377000,9.348900,9.364200,9.364200,0
2008-04-08,9.363600,9.373700,9.355100,9.366100,9.366100,0
2008-04-09,9.366100,9.387000,9.353800,9.380000,9.380000,0
2008-04-10,9.383300,9.399100,9.373500,9.386300,9.386300,0
2008-04-11,9.387000,9.423600,9.369200,9.413000,9.413000,0
2008-04-14,9.419600,9.420900,9.384000,9.399000,9.399000,0
2008-04-15,9.394000,9.418400,9.386400,9.380400,9.380400,0
2008-04-16,9.380200,9.403500,9.376000,9.384700,9.384700,0
2008-04-17,9.385200,9.421700,9.376300,9.420100,9.420100,0
2008-04-18,9.418800,9.426300,9.386400,9.401900,9.401900,0
2008-04-21,9.400800,9.414500,9.357600,9.369600,9.369600,0
2008-04-22,9.369900,9.375700,9.328300,9.333900,9.333900,0
2008-04-23,9.333900,9.343700,9.297000,9.333100,9.333100,0
2008-04-24,9.333600,9.333700,9.286000,9.311700,9.311700,0
2008-04-25,9.318100,9.360700,9.306000,9.349200,9.349200,0
2008-04-28,9.350200,9.365500,9.336200,9.356000,9.356000,0
2008-04-29,9.356400,9.370600,9.344000,9.363900,9.363900,0
2008-04-30,9.361900,9.369800,9.321900,9.337100,9.337100,0
2008-05-01,null,null,null,null,null,null
2008-05-02,9.347500,9.368000,9.332400,9.366000,9.366000,0
2008-05-05,9.348100,9.366700,9.332600,9.363800,9.363800,0
2008-05-06,9.362900,9.370600,9.323000,9.330800,9.330800,0
2008-05-07,9.331200,9.344100,9.284500,9.324400,9.324400,0
2008-05-08,9.323500,9.330300,9.279900,9.291300,9.291300,0
2008-05-09,9.291000,9.303400,9.264200,9.275100,9.275100,0
2008-05-12,9.274200,9.291900,9.266700,9.284700,9.284700,0
2008-05-13,9.284400,9.298500,9.272900,9.290500,9.290500,0
2008-05-14,9.289800,9.318300,9.281800,9.312300,9.312300,0
2008-05-15,9.312700,9.346800,9.303500,9.322800,9.322800,0
2008-05-16,9.321000,9.346200,9.304900,9.310000,9.310000,0
2008-05-19,9.313400,9.318600,9.274300,9.288100,9.288100,0
2008-05-20,9.287500,9.301400,9.249200,9.291900,9.291900,0
2008-05-21,9.292100,9.325500,9.285500,9.312700,9.312700,0
2008-05-22,9.312700,9.327600,9.293500,9.309000,9.309000,0
2008-05-23,9.307500,9.317500,9.291800,9.296800,9.296800,0
2008-05-26,9.301000,9.321300,9.292700,9.313500,9.313500,0
2008-05-27,9.306900,9.330000,9.271900,9.304900,9.304900,0
2008-05-28,9.304600,9.351600,9.293700,9.342400,9.342400,0
2008-05-29,9.342300,9.347400,9.307200,9.321500,9.321500,0
2008-05-30,9.317100,9.351900,9.313500,9.331000,9.331000,0
2008-06-02,9.333400,9.381700,9.326000,9.374800,9.374800,0
2008-06-03,9.377600,9.379800,9.322500,9.333800,9.333800,0
2008-06-04,9.333900,9.349600,9.314900,9.331500,9.331500,0
2008-06-05,9.331800,9.332900,9.296800,9.316700,9.316700,0
2008-06-06,9.316800,9.334500,9.307000,9.322600,9.322600,0
2008-06-09,9.324100,9.361800,9.321000,9.333800,9.333800,0
2008-06-10,9.330000,9.374000,9.298500,9.364400,9.364400,0
2008-06-11,9.364700,9.387600,9.342100,9.381000,9.381000,0
2008-06-12,9.380700,9.393000,9.357500,9.383600,9.383600,0
2008-06-13,9.383500,9.386300,9.357700,9.360700,9.360700,0
2008-06-16,9.359700,9.372100,9.326600,9.334900,9.334900,0
2008-06-17,9.334800,9.379000,9.326200,9.376900,9.376900,0
2008-06-18,9.377200,9.393900,9.360700,9.385200,9.385200,0
2008-06-19,9.385200,9.411500,9.376200,9.392600,9.392600,0
2008-06-20,9.392800,9.413800,9.383500,9.400500,9.400500,0
2008-06-23,9.405000,9.413900,9.378700,9.394300,9.394300,0
2008-06-24,9.394700,9.418000,9.385800,9.414200,9.414200,0
2008-06-25,9.414900,9.424400,9.393900,9.403000,9.403000,0
2008-06-26,9.401600,9.416600,9.393000,9.405300,9.405300,0
2008-06-27,9.407000,9.440300,9.400500,9.427000,9.427000,0
2008-06-30,9.432400,9.486600,9.409400,9.474500,9.474500,0
2008-07-01,null,null,null,null,null,null
2008-07-02,9.441600,9.484000,9.437800,9.480000,9.480000,0
2008-07-03,9.482500,9.485900,9.392500,9.409900,9.409900,0
2008-07-04,9.409900,9.423000,9.375000,9.381200,9.381200,0
2008-07-07,9.380900,9.412200,9.374300,9.411600,9.411600,0
2008-07-08,9.411300,9.439900,9.405500,9.421500,9.421500,0
2008-07-09,9.422200,9.460500,9.414300,9.449000,9.449000,0
2008-07-10,9.451700,9.473900,9.424300,9.458400,9.458400,0
2008-07-11,9.458400,9.484100,9.451200,9.474200,9.474200,0
2008-07-14,9.465100,9.496100,9.455000,9.487600,9.487600,0
2008-07-15,9.487400,9.509600,9.470000,9.476100,9.476100,0
2008-07-16,9.475800,9.525900,9.468600,9.512500,9.512500,0
2008-07-17,9.511900,9.514600,9.453400,9.458800,9.458800,0
2008-07-18,9.458800,9.491300,9.438000,9.447500,9.447500,0
2008-07-21,9.449900,9.460000,9.431600,9.447300,9.447300,0
2008-07-22,9.447300,9.479700,9.436600,9.457800,9.457800,0
2008-07-23,9.457600,9.477200,9.445800,9.457400,9.457400,0
2008-07-24,9.457900,9.472700,9.451300,9.468300,9.468300,0
2008-07-25,9.467800,9.485400,9.452000,9.467500,9.467500,0
2008-07-28,9.461000,9.468000,9.445800,9.465300,9.465300,0
2008-07-29,9.466400,9.480900,9.442400,9.465000,9.465000,0
2008-07-30,9.466000,9.470200,9.430100,9.441700,9.441700,0
2008-07-31,9.441700,9.469000,9.427300,9.433400,9.433400,0
2008-08-01,null,null,null,null,null,null
2008-08-04,null,null,null,null,null,null
2008-08-05,null,null,null,null,null,null
2008-08-06,null,null,null,null,null,null
2008-08-07,null,null,null,null,null,null
2008-08-08,null,null,null,null,null,null
2008-08-11,null,null,null,null,null,null
2008-08-12,null,null,null,null,null,null
2008-08-13,null,null,null,null,null,null
2008-08-14,null,null,null,null,null,null
2008-08-15,null,null,null,null,null,null
2008-08-18,null,null,null,null,null,null
2008-08-19,null,null,null,null,null,null
2008-08-20,null,null,null,null,null,null
2008-08-21,null,null,null,null,null,null
2008-08-22,null,null,null,null,null,null
2008-08-25,null,null,null,null,null,null
2008-08-26,9.365500,9.379000,9.362000,9.374500,9.374500,0
2008-08-27,9.375000,9.411700,9.368400,9.399000,9.399000,0
2008-08-28,9.399200,9.440800,9.393600,9.421500,9.421500,0
2008-08-29,9.420600,9.465800,9.417000,9.460700,9.460700,0
2008-09-01,9.470600,9.471300,9.449200,9.455000,9.455000,0
2008-09-02,9.458200,9.467400,9.440500,9.450400,9.450400,0
2008-09-03,9.447200,9.485700,9.443600,9.482300,9.482300,0
2008-09-04,9.482200,9.506400,9.460000,9.470500,9.470500,0
2008-09-05,9.470600,9.507500,9.456500,9.462000,9.462000,0
2008-09-08,9.454300,9.473800,9.432200,9.451300,9.451300,0
2008-09-09,9.451100,9.536700,9.445800,9.526800,9.526800,0
2008-09-10,9.526600,9.537400,9.492800,9.507600,9.507600,0
2008-09-11,9.493500,9.546400,9.493500,9.524600,9.524600,0
2008-09-12,9.525000,9.531900,9.506800,9.521000,9.521000,0
2008-09-15,9.530700,9.643400,9.520000,9.636200,9.636200,0
2008-09-16,9.633300,9.670200,9.603500,9.626000,9.626000,0
2008-09-17,9.619000,9.645200,9.577300,9.624600,9.624600,0
2008-09-18,9.624400,9.648500,9.577000,9.582600,9.582600,0
2008-09-19,9.582800,9.594100,9.514900,9.550000,9.550000,0
2008-09-22,9.557300,9.615600,9.516000,9.609500,9.609500,0
2008-09-23,9.610000,9.640100,9.555500,9.607600,9.607600,0
2008-09-24,9.614900,9.676500,9.580000,9.673700,9.673700,0
2008-09-25,9.670000,9.684000,9.631500,9.639000,9.639000,0
2008-09-26,9.641300,9.699800,9.636000,9.685500,9.685500,0
2008-09-29,9.677700,9.795100,9.673000,9.774400,9.774400,0
2008-09-30,9.760000,9.806500,9.737200,9.744200,9.744200,0
2008-10-01,9.744200,9.761200,9.708400,9.736000,9.736000,0
2008-10-02,9.741100,9.766100,9.687000,9.714200,9.714200,0
2008-10-03,9.713300,9.724400,9.690300,9.717200,9.717200,0
2008-10-06,9.719700,9.788700,9.696400,9.734500,9.734500,0
2008-10-07,9.726000,9.746800,9.617700,9.688300,9.688300,0
2008-10-08,9.688100,9.747100,9.647600,9.682700,9.682700,0
2008-10-09,9.656100,9.697700,9.636700,9.676700,9.676700,0
2008-10-10,9.676700,9.736400,9.606800,9.665000,9.665000,0
2008-10-13,9.641800,9.721500,9.605200,9.682700,9.682700,0
2008-10-14,9.683000,9.803600,9.660500,9.789500,9.789500,0
2008-10-15,9.787500,10.162300,9.776700,10.112900,10.112900,0
2008-10-16,10.124300,10.186300,9.913500,9.989500,9.989500,0
2008-10-17,9.987000,10.096500,9.910300,9.955500,9.955500,0
2008-10-20,9.933300,10.009900,9.829200,9.954600,9.954600,0
2008-10-21,9.953200,10.160700,9.906800,10.137600,10.137600,0
2008-10-22,10.141500,10.153000,9.969400,10.062100,10.062100,0
2008-10-23,10.063600,10.123100,9.888900,9.920400,9.920400,0
2008-10-24,9.919800,10.079500,9.897000,10.015000,10.015000,0
2008-10-27,9.971000,10.110000,9.965900,10.002700,10.002700,0
2008-10-28,10.001800,10.062100,9.892000,9.902000,9.902000,0
2008-10-29,9.899200,9.926900,9.815300,9.853500,9.853500,0
2008-10-30,9.852600,9.921700,9.763200,9.811500,9.811500,0
2008-10-31,9.813900,9.937700,9.804400,9.886000,9.886000,0
2008-11-03,9.862200,9.866900,9.814500,9.840100,9.840100,0
