Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,3.050500,3.067000,3.039000,3.050500,3.050500,279
2008-01-03,3.050500,3.165000,3.050500,3.173000,3.173000,250
2008-01-04,3.192000,3.214000,3.112500,3.141500,3.141500,205
2008-01-07,3.147000,3.150000,3.120000,3.125000,3.125000,202
2008-01-08,3.140000,3.294000,3.140000,3.273500,3.273500,261
2008-01-09,3.331000,3.331000,3.258000,3.264500,3.264500,198
2008-01-10,3.205000,3.261500,3.203500,3.261000,3.261000,180
2008-01-11,3.263500,3.278000,3.240000,3.283500,3.283500,316
2008-01-14,3.329000,3.330500,3.297000,3.317000,3.317000,235
2008-01-15,3.256000,3.268500,3.180000,3.220000,3.220000,266
2008-01-16,3.184500,3.184500,3.162000,3.161500,3.161500,209
2008-01-17,3.190500,3.227500,3.139000,3.170500,3.170500,178
2008-01-18,3.140000,3.200000,3.140000,3.224500,3.224500,166
2008-01-22,3.242500,3.242500,3.071500,3.189000,3.189000,212
2008-01-23,3.087000,3.140000,3.057000,3.063500,3.063500,350
2008-01-24,3.180000,3.180000,3.165000,3.165000,3.165000,320
2008-01-25,3.210000,3.210000,3.164000,3.176000,3.176000,257
2008-01-28,3.123000,3.182500,3.123000,3.182000,3.182000,203
2008-01-29,3.256500,3.290000,3.256500,3.289000,3.289000,337
2008-01-30,3.280000,3.280000,3.214000,3.216000,3.216000,300
2008-01-31,3.217000,3.302000,3.217000,3.289500,3.289500,215
2008-02-01,3.324000,3.324500,3.245000,3.260500,3.260500,296
2008-02-04,3.278000,3.295500,3.263500,3.288000,3.288000,165
2008-02-05,3.247500,3.247500,3.180000,3.203500,3.203500,368
2008-02-06,3.190000,3.312500,3.190000,3.307500,3.307500,252
2008-02-07,3.350000,3.443000,3.290000,3.448000,3.448000,209
2008-02-08,3.490500,3.552000,3.476000,3.534500,3.534500,272
2008-02-11,3.590000,3.590000,3.541500,3.553500,3.553500,298
2008-02-12,3.566000,3.572000,3.536000,3.555000,3.555000,170
2008-02-13,3.542500,3.542500,3.489000,3.525500,3.525500,208
2008-02-14,3.512500,3.523000,3.475500,3.488000,3.488000,173
2008-02-15,3.557500,3.557500,3.505500,3.521000,3.521000,173
2008-02-19,3.621000,3.729000,3.615000,3.725000,3.725000,202
2008-02-20,3.682500,3.705000,3.682500,3.705500,3.705500,234
2008-02-21,3.732000,3.812500,3.732000,3.810500,3.810500,146
2008-02-22,3.784500,3.787000,3.784500,3.787000,3.787000,180
2008-02-25,3.744000,3.760000,3.695000,3.741500,3.741500,204
2008-02-26,3.730500,3.800000,3.715000,3.781000,3.781000,179
2008-02-27,3.798000,3.862000,3.795000,3.840000,3.840000,5321
2008-02-28,3.840000,3.896500,3.813000,3.863500,3.863500,4873
2008-02-29,3.861000,3.880000,3.796000,3.852000,3.852000,1865
2008-03-03,3.840000,3.970000,3.840000,3.931000,3.931000,1407
2008-03-04,3.943000,3.943000,3.809000,3.827000,3.827000,787
2008-03-05,3.825000,3.986500,3.798000,3.989500,3.989500,623
2008-03-06,3.994000,4.015500,3.862500,3.914500,3.914500,515
2008-03-07,3.954500,3.956000,3.878000,3.932000,3.932000,685
2008-03-10,3.896500,3.898000,3.780000,3.808500,3.808500,457
2008-03-11,3.790000,3.893500,3.780500,3.799000,3.799000,465
2008-03-12,3.797000,3.852000,3.775000,3.851500,3.851500,462
2008-03-13,3.825000,3.869000,3.816500,3.840000,3.840000,431
2008-03-14,3.820000,3.910000,3.815000,3.847000,3.847000,437
2008-03-17,3.890000,3.890000,3.689000,3.712000,3.712000,639
2008-03-18,3.750000,3.779000,3.699000,3.770500,3.770500,557
2008-03-19,3.776500,3.776500,3.650000,3.659500,3.659500,426
2008-03-20,3.634000,3.634000,3.496500,3.611000,3.611000,500
2008-03-24,3.612500,3.684000,3.579000,3.655000,3.655000,284
2008-03-25,3.680000,3.724500,3.680000,3.699500,3.699500,492
2008-03-26,3.720000,3.770000,3.720000,3.751000,3.751000,576
2008-03-27,3.755000,3.920000,3.755000,3.903500,3.903500,555
2008-03-28,3.884500,3.934000,3.825500,3.856000,3.856000,287
2008-03-31,3.834500,3.888500,3.830500,3.863500,3.863500,414
2008-04-01,3.834500,3.841500,3.754000,3.826000,3.826000,291
2008-04-02,3.805000,3.897500,3.795000,3.888500,3.888500,328
2008-04-03,3.867000,3.940000,3.867000,3.924000,3.924000,212
2008-04-04,3.896500,3.978500,3.896500,3.978500,3.978500,172
2008-04-07,4.000000,4.002500,3.960000,3.994500,3.994500,163
2008-04-08,4.000000,3.931500,3.883500,3.909000,3.909000,341
2008-04-09,3.895000,4.027500,3.895000,4.028000,4.028000,191
2008-04-10,3.990000,4.010000,3.940000,3.954000,3.954000,226
2008-04-11,3.990000,3.999000,3.955000,3.974500,3.974500,160
2008-04-14,3.900000,3.925000,3.886500,3.926500,3.926500,153
2008-04-15,3.900000,3.935000,3.870000,3.891000,3.891000,266
2008-04-16,3.947500,4.020500,3.947500,3.988000,3.988000,131
2008-04-17,3.947500,4.032500,3.938000,3.942000,3.942000,168
2008-04-18,3.939500,3.939500,3.858000,3.919500,3.919500,131
2008-04-21,3.923000,3.925000,3.892500,3.898000,3.898000,200
2008-04-22,3.950000,4.010000,3.950000,4.005500,4.005500,206
2008-04-23,3.977000,3.977000,3.933000,3.947000,3.947000,181
2008-04-24,3.960000,3.960000,3.892500,3.895000,3.895000,149
2008-04-25,3.880000,3.962000,3.865000,3.959500,3.959500,167
2008-04-28,3.979000,3.987500,3.959000,3.984000,3.984000,7249
2008-04-29,3.926000,3.934000,3.860000,3.899500,3.899500,4577
2008-04-30,3.906000,3.955000,3.871000,3.934000,3.934000,2086
2008-05-01,3.933000,3.959000,3.711000,3.725500,3.725500,1871
2008-05-02,3.760000,3.887000,3.740000,3.858000,3.858000,610
2008-05-05,3.875500,4.272500,3.857500,3.978500,3.978500,1106
2008-05-06,3.934000,3.958500,3.866000,3.912500,3.912500,647
2008-05-07,3.903500,3.903500,3.852000,3.863000,3.863000,295
2008-05-08,3.859500,3.859500,3.790000,3.820500,3.820500,422
2008-05-09,3.818000,3.818000,3.715000,3.753500,3.753500,689
2008-05-12,3.750000,3.793000,3.720000,3.784000,3.784000,684
2008-05-13,3.774000,3.798000,3.760000,3.765000,3.765000,652
2008-05-14,3.745000,3.745500,3.703500,3.707000,3.707000,397
2008-05-15,3.707500,3.785000,3.707500,3.761000,3.761000,508
2008-05-16,3.763000,3.873000,3.763000,3.846500,3.846500,606
2008-05-19,3.818500,3.846500,3.778500,3.795500,3.795500,298
2008-05-20,3.795500,3.805000,3.760000,3.790500,3.790500,620
2008-05-21,3.765000,3.771000,3.734500,3.753500,3.753500,642
2008-05-22,3.767000,3.775000,3.675500,3.722500,3.722500,518
2008-05-23,3.715000,3.764500,3.692000,3.755000,3.755000,518
2008-05-27,3.728000,3.752000,3.710000,3.741000,3.741000,483
2008-05-28,3.730000,3.735000,3.665000,3.728500,3.728500,1015
2008-05-29,3.660000,3.660000,3.572500,3.569000,3.569000,862
2008-05-30,3.581500,3.630000,3.579000,3.628000,3.628000,447
2008-06-02,3.565000,3.616000,3.565000,3.609000,3.609000,196
2008-06-03,3.601000,3.604000,3.571500,3.586000,3.586000,327
2008-06-04,3.576000,3.582000,3.550000,3.553000,3.553000,234
2008-06-05,3.550000,3.584500,3.531500,3.553000,3.553000,408
