Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,0.001068,0.001068,0.001068,0.001068,0.001068,0
2008-01-03,0.001068,0.001068,0.001068,0.001068,0.001068,0
2008-01-04,0.001066,0.001066,0.001066,0.001066,0.001066,0
2008-01-07,0.001063,0.001063,0.001063,0.001063,0.001063,0
2008-01-08,0.001065,0.001065,0.001065,0.001065,0.001065,0
2008-01-09,0.001067,0.001067,0.001067,0.001067,0.001067,0
2008-01-10,0.001067,0.001067,0.001067,0.001067,0.001067,0
2008-01-11,0.001067,0.001067,0.001067,0.001067,0.001067,0
2008-01-14,0.001067,0.001067,0.001067,0.001067,0.001067,0
2008-01-15,null,null,null,null,null,null
2008-01-16,null,null,null,null,null,null
2008-01-17,null,null,null,null,null,null
2008-01-18,null,null,null,null,null,null
2008-01-22,null,null,null,null,null,null
2008-01-23,null,null,null,null,null,null
2008-01-24,null,null,null,null,null,null
2008-01-25,null,null,null,null,null,null
2008-01-28,null,null,null,null,null,null
2008-01-29,null,null,null,null,null,null
2008-01-30,null,null,null,null,null,null
2008-01-31,null,null,null,null,null,null
2008-02-01,0.001058,0.001058,0.001058,0.001058,0.001058,0
2008-02-04,0.001060,0.001060,0.001060,0.001060,0.001060,0
2008-02-05,0.001059,0.001059,0.001059,0.001059,0.001059,0
2008-02-06,0.001062,0.001062,0.001062,0.001062,0.001062,0
2008-02-07,0.001061,0.001061,0.001061,0.001061,0.001061,0
2008-02-08,0.001062,0.001062,0.001062,0.001062,0.001062,0
2008-02-11,0.001058,0.001058,0.001058,0.001058,0.001058,0
2008-02-12,0.001058,0.001058,0.001058,0.001058,0.001058,0
2008-02-13,0.001057,0.001057,0.001057,0.001057,0.001057,0
2008-02-14,0.001058,0.001058,0.001058,0.001058,0.001058,0
2008-02-15,0.001057,0.001057,0.001057,0.001057,0.001057,0
2008-02-19,null,null,null,null,null,null
2008-02-20,null,null,null,null,null,null
2008-02-21,null,null,null,null,null,null
2008-02-22,null,null,null,null,null,null
2008-02-25,null,null,null,null,null,null
2008-02-26,null,null,null,null,null,null
2008-02-27,null,null,null,null,null,null
2008-02-28,null,null,null,null,null,null
2008-02-29,null,null,null,null,null,null
2008-03-03,0.001056,0.001056,0.001056,0.001056,0.001056,0
2008-03-04,0.001056,0.001056,0.001056,0.001056,0.001056,0
2008-03-05,0.001055,0.001055,0.001055,0.001055,0.001055,0
2008-03-06,0.001053,0.001053,0.001053,0.001053,0.001053,0
2008-03-07,0.001044,0.001044,0.001044,0.001044,0.001044,0
2008-03-10,0.001038,0.001038,0.001038,0.001038,0.001038,0
2008-03-11,0.001031,0.001031,0.001031,0.001031,0.001031,0
2008-03-12,0.001030,0.001030,0.001030,0.001030,0.001030,0
2008-03-13,0.001018,0.001018,0.001018,0.001018,0.001018,0
2008-03-14,0.001003,0.001003,0.001003,0.001003,0.001003,0
2008-03-17,0.000979,0.000979,0.000979,0.000979,0.000979,0
2008-03-18,0.000990,0.000990,0.000990,0.000990,0.000990,0
2008-03-19,0.000992,0.000992,0.000992,0.000992,0.000992,0
2008-03-20,0.000992,0.000992,0.000992,0.000992,0.000992,0
2008-03-24,0.001003,0.001003,0.001003,0.001003,0.001003,0
2008-03-25,0.001025,0.001025,0.001025,0.001025,0.001025,0
2008-03-26,0.001014,0.001014,0.001014,0.001014,0.001014,0
2008-03-27,0.001014,0.001014,0.001014,0.001014,0.001014,0
2008-03-28,0.001007,0.001007,0.001007,0.001007,0.001007,0
2008-03-31,0.001010,0.001010,0.001010,0.001010,0.001010,0
2008-04-01,0.001017,0.001017,0.001017,0.001017,0.001017,0
2008-04-02,0.001026,0.001026,0.001026,0.001026,0.001026,0
2008-04-03,0.001025,0.001025,0.001025,0.001025,0.001025,0
2008-04-04,0.001027,0.001027,0.001027,0.001027,0.001027,0
2008-04-07,0.001025,0.001025,0.001025,0.001025,0.001025,0
2008-04-08,0.001025,0.001025,0.001025,0.001025,0.001025,0
2008-04-09,0.001025,0.001025,0.001025,0.001025,0.001025,0
2008-04-10,0.001024,0.001024,0.001024,0.001024,0.001024,0
2008-04-11,0.001025,0.001025,0.001025,0.001025,0.001025,0
2008-04-14,0.001022,0.001022,0.001022,0.001021,0.001021,0
2008-04-15,null,null,null,null,null,null
2008-04-16,null,null,null,null,null,null
2008-04-17,null,null,null,null,null,null
2008-04-18,null,null,null,null,null,null
2008-04-21,null,null,null,null,null,null
2008-04-22,null,null,null,null,null,null
2008-04-23,null,null,null,null,null,null
2008-04-24,null,null,null,null,null,null
2008-04-25,null,null,null,null,null,null
2008-04-28,null,null,null,null,null,null
2008-04-29,null,null,null,null,null,null
2008-04-30,null,null,null,null,null,null
2008-05-01,0.000996,0.000996,0.000996,0.000996,0.000996,0
2008-05-02,0.000990,0.000990,0.000990,0.000990,0.000990,0
2008-05-05,0.000990,0.000990,0.000990,0.000990,0.000990,0
2008-05-06,0.000983,0.000983,0.000983,0.000983,0.000983,0
2008-05-07,0.000970,0.000970,0.000970,0.000970,0.000970,0
2008-05-08,0.000958,0.000958,0.000958,0.000958,0.000958,0
2008-05-09,0.000955,0.000955,0.000955,0.000955,0.000955,0
2008-05-12,0.000957,0.000957,0.000957,0.000957,0.000957,0
2008-05-13,0.000954,0.000954,0.000954,0.000954,0.000954,0
2008-05-14,0.000954,0.000954,0.000954,0.000954,0.000954,0
2008-05-15,0.000958,0.000958,0.000958,0.000958,0.000958,0
2008-05-16,0.000964,0.000964,0.000964,0.000964,0.000964,0
2008-05-19,0.000962,0.000962,0.000962,0.000962,0.000962,0
2008-05-20,null,null,null,null,null,null
2008-05-21,null,null,null,null,null,null
2008-05-22,null,null,null,null,null,null
2008-05-23,null,null,null,null,null,null
2008-05-27,null,null,null,null,null,null
2008-05-28,null,null,null,null,null,null
2008-05-29,null,null,null,null,null,null
2008-05-30,null,null,null,null,null,null
2008-06-02,0.000975,0.000975,0.000975,0.000975,0.000975,0
2008-06-03,0.000982,0.000982,0.000982,0.000982,0.000982,0
2008-06-04,0.000980,0.000980,0.000980,0.000980,0.000980,0
2008-06-05,0.000976,0.000976,0.000976,0.000976,0.000976,0
2008-06-06,0.000969,0.000969,0.000969,0.000969,0.000969,0
2008-06-09,0.000966,0.000966,0.000966,0.000966,0.000966,0
2008-06-10,0.000973,0.000973,0.000973,0.000973,0.000973,0
2008-06-11,0.000970,0.000970,0.000970,0.000970,0.000970,0
2008-06-12,0.000965,0.000965,0.000965,0.000965,0.000965,0
2008-06-13,0.000955,0.000955,0.000955,0.000955,0.000955,0
2008-06-16,0.000961,0.000961,0.000961,0.000961,0.000961,0
2008-06-17,0.000976,0.000976,0.000976,0.000976,0.000976,0
2008-06-18,0.000969,0.000969,0.000969,0.000969,0.000969,0
2008-06-19,0.000970,0.000970,0.000970,0.000970,0.000970,0
2008-06-20,0.000966,0.000966,0.000966,0.000966,0.000966,0
2008-06-23,0.000967,0.000967,0.000967,0.000967,0.000967,0
2008-06-24,0.000969,0.000969,0.000969,0.000969,0.000969,0
2008-06-25,0.000963,0.000963,0.000963,0.000963,0.000963,0
2008-06-26,0.000956,0.000956,0.000956,0.000956,0.000956,0
2008-06-27,0.000956,0.000956,0.000956,0.000956,0.000956,0
2008-06-30,0.000953,0.000953,0.000953,0.000953,0.000953,0
2008-07-01,0.000951,0.000951,0.000951,0.000951,0.000951,0
