Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,1.362500,1.367500,1.331500,1.340000,1.340000,18
2008-01-03,1.351000,1.362000,1.346000,1.352000,1.352000,58
2008-01-04,1.350000,1.358000,1.303500,1.327000,1.327000,101
2008-01-06,null,null,null,null,null,null
2008-01-07,1.294000,1.338500,1.294000,1.314000,1.314000,15
2008-01-08,1.321500,1.359500,1.320000,1.354500,1.354500,132
2008-01-09,1.357500,1.357500,1.342500,1.356000,1.356000,36
2008-01-10,1.354000,1.367000,1.349500,1.366500,1.366500,30
2008-01-11,1.365000,1.372000,1.351500,1.363000,1.363000,46
2008-01-13,null,null,null,null,null,null
2008-01-14,1.390000,1.390000,1.345000,1.375500,1.375500,134
2008-01-15,1.377000,1.407500,1.360000,1.368500,1.368500,129
2008-01-16,1.361500,1.366500,1.336000,1.349000,1.349000,73
2008-01-17,1.351500,1.357000,1.336500,1.344000,1.344000,61
2008-01-18,1.339500,1.341000,1.331500,1.331000,1.331000,61
2008-01-20,null,null,null,null,null,null
2008-01-22,1.304000,1.348500,1.300000,1.350000,1.350000,53
2008-01-23,1.346500,1.350500,1.309500,1.313000,1.313000,33
2008-01-24,1.316000,1.329500,1.307500,1.323500,1.323500,33
2008-01-25,1.323500,1.327500,1.312000,1.314500,1.314500,24
2008-01-27,null,null,null,null,null,null
2008-01-28,1.311000,1.346000,1.310000,1.342000,1.342000,62
2008-01-29,1.344500,1.348000,1.332000,1.337000,1.337000,33
2008-01-30,1.338500,1.370500,1.338500,1.365500,1.365500,51
2008-01-31,1.364000,1.383000,1.364000,1.381500,1.381500,10
2008-02-01,1.378000,1.395000,1.373500,1.391000,1.391000,33
2008-02-03,null,null,null,null,null,null
2008-02-04,1.398000,1.442000,1.395500,1.427000,1.427000,70
2008-02-05,1.422000,1.436500,1.412000,1.426000,1.426000,60
2008-02-06,1.415000,1.433000,1.408500,1.431500,1.431500,25
2008-02-07,1.431000,1.436000,1.416500,1.433000,1.433000,42
2008-02-08,1.439000,1.473000,1.423000,1.472000,1.472000,113
2008-02-10,null,null,null,null,null,null
2008-02-11,1.469500,1.484000,1.453000,1.479000,1.479000,61
2008-02-12,1.468000,1.484000,1.394500,1.479500,1.479500,69
2008-02-13,1.467500,1.500000,1.465000,1.495000,1.495000,34
2008-02-14,1.499000,1.531500,1.492000,1.526000,1.526000,27
2008-02-15,1.537000,1.575000,1.493500,1.498500,1.498500,27
2008-02-17,null,null,null,null,null,null
2008-02-19,1.499000,1.555500,1.487500,1.550500,1.550500,49
2008-02-20,1.520000,1.543000,1.520000,1.546000,1.546000,39
2008-02-21,1.580500,1.600000,1.573500,1.590000,1.590000,33
2008-02-22,1.600000,1.626500,1.598500,1.624000,1.624000,44
2008-02-24,null,null,null,null,null,null
2008-02-25,1.632000,1.661500,1.617000,1.640000,1.640000,134
2008-02-26,1.630000,1.630000,1.590000,1.603000,1.603000,60
2008-02-27,1.647000,1.661000,1.621500,1.641000,1.641000,69
2008-02-28,1.651000,1.678000,1.615500,1.675000,1.675000,36
