Date,Open,High,Low,Close,Adj Close,Volume
2014-08-01,1918.599976,1920.000000,1898.300049,1904.300049,1904.300049,6876
2014-08-04,1904.800049,1916.699951,1901.199951,1913.199951,1913.199951,10501
2014-08-05,1907.699951,1909.000000,1884.900024,1887.599976,1887.599976,7286
2014-08-06,1874.000000,1888.500000,1872.900024,1884.199951,1884.199951,5672
2014-08-07,1888.699951,1889.599976,1863.599976,1868.199951,1868.199951,5672
2014-08-08,1861.599976,1880.500000,1859.599976,1879.900024,1879.900024,6382
2014-08-11,1880.500000,1891.500000,1880.500000,1887.699951,1887.699951,8289
2014-08-12,1886.599976,1888.500000,1880.800049,1885.599976,1885.599976,6058
2014-08-13,1893.000000,1899.699951,1891.599976,1895.900024,1895.900024,3767
2014-08-14,1890.000000,1906.699951,1890.000000,1906.199951,1906.199951,3767
2014-08-15,1914.500000,1917.900024,1889.000000,1904.699951,1904.699951,5396
2014-08-18,1909.500000,1918.300049,1909.500000,1917.099976,1917.099976,5192
2014-08-19,1920.099976,1921.199951,1916.699951,1920.800049,1920.800049,4965
2014-08-20,1921.000000,1921.000000,1909.099976,1914.900024,1914.900024,3512
2014-08-21,1917.099976,1925.800049,1910.099976,1923.199951,1923.199951,3512
2014-08-22,1920.000000,1921.800049,1907.099976,1913.699951,1913.699951,6373
2014-08-25,1918.599976,1931.300049,1918.599976,1926.300049,1926.300049,6674
2014-08-26,1927.699951,1934.400024,1920.500000,1926.300049,1926.300049,4986
2014-08-27,1930.500000,1934.199951,1927.699951,1930.699951,1930.699951,6106
2014-08-28,1930.099976,1930.099976,1916.300049,1921.300049,1921.300049,6106
2014-08-29,1920.500000,1923.500000,1913.199951,1920.800049,1920.800049,5599
2014-09-02,1931.000000,1932.500000,1917.900024,1924.199951,1924.199951,6434
2014-09-03,1931.800049,1944.900024,1931.800049,1937.699951,1937.699951,7779
2014-09-04,1933.000000,1940.099976,1923.400024,1928.300049,1928.300049,7779
2014-09-05,1919.000000,1930.000000,1917.000000,1928.900024,1928.900024,7291
2014-09-08,1923.000000,1923.000000,1903.800049,1908.000000,1908.000000,9902
2014-09-09,1908.000000,1908.000000,1896.800049,1903.400024,1903.400024,14866
2014-09-10,1908.500000,1913.599976,1900.500000,1912.800049,1912.800049,21029
2014-09-11,1901.000000,1903.400024,1895.099976,1902.599976,1902.599976,21029
2014-09-12,1898.800049,1905.000000,1895.000000,1899.400024,1899.400024,19559
2014-09-15,1893.500000,1899.000000,1892.900024,1896.900024,1896.900024,27244
2014-09-16,1890.000000,1906.699951,1885.699951,1904.699951,1904.699951,9295
2014-09-17,1899.099976,1902.199951,1886.699951,1890.699951,1890.699951,6893
2014-09-18,1900.800049,1908.199951,1896.300049,1905.900024,1905.900024,9911
2014-09-19,null,null,null,null,null,null
2014-09-22,null,null,null,null,null,null
2014-09-23,null,null,null,null,null,null
2014-09-24,null,null,null,null,null,null
2014-09-25,null,null,null,null,null,null
2014-09-26,null,null,null,null,null,null
2014-09-29,null,null,null,null,null,null
2014-09-30,null,null,null,null,null,null
2014-10-01,null,null,null,null,null,null
2014-10-02,null,null,null,null,null,null
2014-10-03,null,null,null,null,null,null
2014-10-06,null,null,null,null,null,null
2014-10-07,null,null,null,null,null,null
2014-10-08,null,null,null,null,null,null
2014-10-09,null,null,null,null,null,null
2014-10-10,null,null,null,null,null,null
2014-10-13,null,null,null,null,null,null
2014-10-14,null,null,null,null,null,null
2014-10-15,null,null,null,null,null,null
2014-10-16,null,null,null,null,null,null
2014-10-17,null,null,null,null,null,null
2014-10-20,null,null,null,null,null,null
2014-10-21,null,null,null,null,null,null
2014-10-22,null,null,null,null,null,null
2014-10-23,null,null,null,null,null,null
2014-10-24,null,null,null,null,null,null
2014-10-27,null,null,null,null,null,null
2014-10-28,null,null,null,null,null,null
2014-10-29,null,null,null,null,null,null
2014-10-30,null,null,null,null,null,null
2014-10-31,null,null,null,null,null,null
2014-11-03,1825.199951,1826.300049,1813.800049,1820.599976,1820.599976,4055
2014-11-04,1814.000000,1814.000000,1797.599976,1808.300049,1808.300049,6339
2014-11-05,1804.599976,1814.300049,1803.800049,1812.099976,1812.099976,4832
2014-11-06,1801.099976,1812.500000,1797.300049,1802.199951,1802.199951,4832
2014-11-07,1802.500000,1804.099976,1789.300049,1803.599976,1803.599976,4888
2014-11-10,1811.000000,1813.099976,1804.400024,1811.599976,1811.599976,4141
2014-11-11,1805.900024,1824.400024,1805.900024,1822.599976,1822.599976,5032
2014-11-12,1815.000000,1815.000000,1802.000000,1807.000000,1807.000000,7291
2014-11-13,1819.000000,1819.199951,1806.800049,1815.000000,1815.000000,7291
2014-11-14,1812.000000,1818.900024,1801.500000,1818.000000,1818.000000,4999
2014-11-17,1804.900024,1812.199951,1800.000000,1810.400024,1810.400024,8298
2014-11-18,1810.599976,1833.599976,1810.599976,1831.400024,1831.400024,7835
2014-11-19,1823.000000,1831.300049,1817.400024,1825.199951,1825.199951,8214
2014-11-20,1812.099976,1818.900024,1805.900024,1814.599976,1814.599976,8214
2014-11-21,1821.500000,1838.199951,1820.000000,1830.900024,1830.900024,6159
2014-11-24,1835.400024,1841.400024,1835.099976,1841.000000,1841.000000,6451
2014-11-25,1842.900024,1845.699951,1836.599976,1843.400024,1843.400024,3901
2014-11-26,1845.699951,1852.099976,1842.900024,1851.300049,1851.300049,507
2014-11-28,null,null,null,null,null,null
2014-12-01,1826.300049,1838.400024,1826.300049,1834.599976,1834.599976,5543
2014-12-02,1840.000000,1849.300049,1834.000000,1839.000000,1839.000000,6199
2014-12-03,1833.800049,1838.800049,1831.900024,1836.300049,1836.300049,10214
2014-12-04,1834.000000,1839.000000,1824.699951,1829.599976,1829.599976,10214
2014-12-05,1834.099976,1840.599976,1830.199951,1835.900024,1835.900024,5489
2014-12-08,1826.500000,1827.300049,1816.800049,1818.199951,1818.199951,12222
2014-12-09,1810.000000,1810.500000,1795.699951,1808.500000,1808.500000,26723
2014-12-10,1801.599976,1804.699951,1782.800049,1785.500000,1785.500000,54467
2014-12-11,1800.000000,1800.000000,1779.800049,1782.000000,1782.000000,54467
2014-12-12,1775.199951,1781.199951,1743.199951,1747.199951,1747.199951,42808
2014-12-15,1754.000000,1763.599976,1713.000000,1718.199951,1718.199951,33977
2014-12-16,1724.000000,1752.800049,1713.000000,1732.199951,1732.199951,17981
2014-12-17,1745.599976,1764.699951,1737.400024,1753.099976,1753.099976,5868
2014-12-18,1773.300049,1788.699951,1769.599976,1784.900024,1784.900024,5868
2014-12-19,1782.040039,1782.040039,1782.040039,1782.040039,1782.040039,9136
2014-12-22,null,null,null,null,null,null
2014-12-23,null,null,null,null,null,null
2014-12-24,null,null,null,null,null,null
2014-12-26,null,null,null,null,null,null
2014-12-29,null,null,null,null,null,null
2014-12-30,null,null,null,null,null,null
2014-12-31,null,null,null,null,null,null
2015-01-02,null,null,null,null,null,null
2015-01-05,null,null,null,null,null,null
2015-01-06,null,null,null,null,null,null
2015-01-07,null,null,null,null,null,null
2015-01-08,null,null,null,null,null,null
2015-01-09,null,null,null,null,null,null
2015-01-12,null,null,null,null,null,null
2015-01-13,null,null,null,null,null,null
2015-01-14,null,null,null,null,null,null
2015-01-15,null,null,null,null,null,null
2015-01-16,null,null,null,null,null,null
2015-01-20,null,null,null,null,null,null
2015-01-21,null,null,null,null,null,null
2015-01-22,null,null,null,null,null,null
2015-01-23,null,null,null,null,null,null
2015-01-26,null,null,null,null,null,null
2015-01-27,null,null,null,null,null,null
2015-01-28,null,null,null,null,null,null
2015-01-29,null,null,null,null,null,null
2015-01-30,null,null,null,null,null,null
2015-02-02,1781.199951,1792.400024,1774.000000,1788.800049,1788.800049,10507
2015-02-03,1795.000000,1820.500000,1795.000000,1818.300049,1818.300049,8010
2015-02-04,1812.500000,1817.099976,1800.800049,1802.000000,1802.000000,6044
2015-02-05,1812.000000,1828.099976,1802.599976,1827.800049,1827.800049,6044
2015-02-06,1819.000000,1819.000000,1799.000000,1805.199951,1805.199951,10853
2015-02-09,1791.199951,1800.300049,1787.900024,1795.699951,1795.699951,6244
2015-02-10,1801.000000,1813.699951,1798.699951,1812.099976,1812.099976,8074
2015-02-11,1807.000000,1807.000000,1793.000000,1801.500000,1801.500000,10608
2015-02-12,1813.099976,1831.300049,1812.500000,1830.400024,1830.400024,10608
2015-02-13,1830.400024,1843.699951,1830.400024,1842.800049,1842.800049,7803
2015-02-17,1842.800049,1850.099976,1834.400024,1847.400024,1847.400024,10013
2015-02-18,1852.699951,1862.900024,1849.000000,1858.500000,1858.500000,12211
2015-02-19,1858.000000,1866.599976,1856.500000,1859.800049,1859.800049,12211
2015-02-20,1859.699951,1884.000000,1851.199951,1877.599976,1877.599976,10377
2015-02-23,1865.000000,1873.500000,1861.000000,1871.000000,1871.000000,11577
2015-02-24,1868.000000,1884.500000,1866.000000,1881.800049,1881.800049,7593
2015-02-25,1882.400024,1884.900024,1876.599976,1882.800049,1882.800049,8625
2015-02-26,1892.199951,1892.199951,1873.099976,1876.800049,1876.800049,8625
2015-02-27,1882.199951,1884.900024,1874.400024,1875.300049,1875.300049,10333
2015-03-02,1881.199951,1881.900024,1872.900024,1881.000000,1881.000000,8812
2015-03-03,1879.500000,1879.500000,1863.500000,1868.300049,1868.300049,6213
2015-03-04,1868.000000,1868.000000,1847.599976,1860.599976,1860.599976,6476
2015-03-05,1862.500000,1870.900024,1861.900024,1865.599976,1865.599976,6476
2015-03-06,1866.300049,1870.900024,1837.699951,1839.199951,1839.199951,10444
2015-03-09,1837.000000,1844.800049,1836.900024,1843.500000,1843.500000,11411
2015-03-10,1821.000000,1821.000000,1801.099976,1802.099976,1802.099976,24934
2015-03-11,1801.000000,1811.300049,1799.099976,1806.699951,1806.699951,30791
2015-03-12,1822.000000,1830.599976,1820.099976,1830.000000,1830.000000,30791
2015-03-13,1822.000000,1823.000000,1807.099976,1819.199951,1819.199951,77076
2015-03-16,1826.000000,1841.800049,1826.000000,1839.400024,1839.400024,43419
2015-03-17,1840.300049,1845.000000,1824.800049,1835.599976,1835.599976,13577
2015-03-18,1832.900024,1887.599976,1832.500000,1874.599976,1874.599976,6640
2015-03-19,1861.599976,1861.599976,1847.400024,1851.099976,1851.099976,20990
2015-03-20,null,null,null,null,null,null
2015-03-23,null,null,null,null,null,null
2015-03-24,null,null,null,null,null,null
2015-03-25,null,null,null,null,null,null
2015-03-26,null,null,null,null,null,null
2015-03-27,null,null,null,null,null,null
2015-03-30,null,null,null,null,null,null
2015-03-31,null,null,null,null,null,null
2015-04-01,null,null,null,null,null,null
2015-04-02,null,null,null,null,null,null
2015-04-06,null,null,null,null,null,null
