Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,15040.000000,15040.000000,15040.000000,15040.000000,15040.000000,0
2008-01-03,14970.000000,14970.000000,14970.000000,14970.000000,14970.000000,0
2008-01-04,14575.000000,14575.000000,14575.000000,14575.000000,14575.000000,0
2008-01-07,14575.000000,14575.000000,14575.000000,14575.000000,14575.000000,0
2008-01-08,14465.000000,14465.000000,14465.000000,14465.000000,14465.000000,0
2008-01-09,14685.000000,14685.000000,14685.000000,14685.000000,14685.000000,0
2008-01-10,14565.000000,14565.000000,14565.000000,14565.000000,14565.000000,0
2008-01-11,14145.000000,14145.000000,14145.000000,14145.000000,14145.000000,0
2008-01-14,14190.000000,14190.000000,14190.000000,14190.000000,14190.000000,0
2008-01-15,13765.000000,13765.000000,13765.000000,13765.000000,13765.000000,0
2008-01-16,13565.000000,13565.000000,13565.000000,13565.000000,13565.000000,0
2008-01-17,13340.000000,13340.000000,13340.000000,13340.000000,13340.000000,0
2008-01-18,13530.000000,13530.000000,13530.000000,13530.000000,13530.000000,0
2008-01-22,13080.000000,13080.000000,13080.000000,13080.000000,13080.000000,0
2008-01-23,13075.000000,13075.000000,13075.000000,13075.000000,13075.000000,0
2008-01-24,13260.000000,13260.000000,13260.000000,13260.000000,13260.000000,0
2008-01-25,13445.000000,13445.000000,13445.000000,13445.000000,13445.000000,0
2008-01-28,13290.000000,13290.000000,13290.000000,13290.000000,13290.000000,0
2008-01-29,13520.000000,13520.000000,13520.000000,13520.000000,13520.000000,0
2008-01-30,13360.000000,13360.000000,13360.000000,13360.000000,13360.000000,0
2008-01-31,13580.000000,13580.000000,13580.000000,13580.000000,13580.000000,0
2008-02-01,13760.000000,13760.000000,13760.000000,13760.000000,13760.000000,0
2008-02-04,13750.000000,13750.000000,13750.000000,13750.000000,13750.000000,0
2008-02-05,13350.000000,13350.000000,13350.000000,13350.000000,13350.000000,0
2008-02-06,13085.000000,13085.000000,13085.000000,13085.000000,13085.000000,0
2008-02-07,13240.000000,13240.000000,13240.000000,13240.000000,13240.000000,16951
2008-02-08,13180.000000,13255.000000,12850.000000,12935.000000,12935.000000,12709
2008-02-11,12935.000000,12935.000000,12935.000000,12980.000000,12980.000000,8941
2008-02-12,12935.000000,13300.000000,12935.000000,13215.000000,13215.000000,16780
2008-02-13,13170.000000,13335.000000,13130.000000,13280.000000,13280.000000,11981
2008-02-14,13600.000000,13710.000000,13425.000000,13435.000000,13435.000000,17335
2008-02-15,13540.000000,13620.000000,13365.000000,13560.000000,13560.000000,17335
2008-02-19,13710.000000,13890.000000,13610.000000,13700.000000,13700.000000,15877
2008-02-20,13480.000000,13530.000000,13280.000000,13465.000000,13465.000000,17794
2008-02-21,13480.000000,13795.000000,13455.000000,13520.000000,13520.000000,12638
2008-02-22,13500.000000,13595.000000,13300.000000,13590.000000,13590.000000,11185
2008-02-25,13970.000000,14000.000000,13970.000000,14005.000000,14005.000000,13610
2008-02-26,13970.000000,14095.000000,13850.000000,14045.000000,14045.000000,12119
2008-02-27,13900.000000,14065.000000,13865.000000,13915.000000,13915.000000,14560
2008-02-28,13900.000000,13925.000000,13655.000000,13680.000000,13680.000000,13605
2008-02-29,13455.000000,13465.000000,13260.000000,13295.000000,13295.000000,18309
2008-03-03,13130.000000,13180.000000,12890.000000,13120.000000,13120.000000,17221
2008-03-04,12935.000000,12935.000000,12935.000000,12910.000000,12910.000000,15381
2008-03-05,12935.000000,13180.000000,12920.000000,13025.000000,13025.000000,17072
2008-03-06,12805.000000,12810.000000,12805.000000,12805.000000,12805.000000,14414
2008-03-07,12805.000000,12845.000000,12550.000000,12650.000000,12650.000000,15083
2008-03-10,12420.000000,12690.000000,12400.000000,12425.000000,12425.000000,18720
2008-03-11,13000.000000,13020.000000,12415.000000,13010.000000,13010.000000,31924
2008-03-12,13000.000000,13030.000000,12745.000000,12770.000000,12770.000000,23446
2008-03-13,12270.000000,12730.000000,12265.000000,12595.000000,12595.000000,0
2008-03-14,12040.000000,12040.000000,12040.000000,12040.000000,12040.000000,0
2008-03-17,11715.000000,11715.000000,11715.000000,11715.000000,11715.000000,0
2008-03-18,12350.000000,12350.000000,12350.000000,12350.000000,12350.000000,0
2008-03-19,11855.000000,11855.000000,11855.000000,11855.000000,11855.000000,0
2008-03-20,12115.000000,12115.000000,12115.000000,12115.000000,12115.000000,0
2008-03-24,12600.000000,12600.000000,12600.000000,12600.000000,12600.000000,0
2008-03-25,12695.000000,12695.000000,12695.000000,12695.000000,12695.000000,0
2008-03-26,12520.000000,12520.000000,12520.000000,12520.000000,12520.000000,0
2008-03-27,12595.000000,12595.000000,12595.000000,12595.000000,12595.000000,0
2008-03-28,12640.000000,12640.000000,12640.000000,12640.000000,12640.000000,0
2008-03-31,12645.000000,12645.000000,12645.000000,12645.000000,12645.000000,0
2008-04-01,13190.000000,13190.000000,13190.000000,13190.000000,13190.000000,0
2008-04-02,13255.000000,13255.000000,13255.000000,13255.000000,13255.000000,0
2008-04-03,13355.000000,13355.000000,13355.000000,13355.000000,13355.000000,0
2008-04-04,13265.000000,13265.000000,13265.000000,13265.000000,13265.000000,0
2008-04-07,13435.000000,13435.000000,13435.000000,13435.000000,13435.000000,0
2008-04-08,13355.000000,13355.000000,13355.000000,13355.000000,13355.000000,0
