Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,14995.000000,14995.000000,14995.000000,14980.000000,14980.000000,9228
2008-01-03,14845.000000,14880.000000,14845.000000,14900.000000,14900.000000,9375
2008-01-04,14845.000000,14885.000000,14380.000000,14505.000000,14505.000000,17359
2008-01-07,14530.000000,14600.000000,14410.000000,14510.000000,14510.000000,15152
2008-01-08,14350.000000,14370.000000,14350.000000,14400.000000,14400.000000,14822
2008-01-09,14640.000000,14660.000000,14640.000000,14610.000000,14610.000000,13731
2008-01-10,14640.000000,14660.000000,14350.000000,14505.000000,14505.000000,14056
2008-01-11,14210.000000,14395.000000,14100.000000,14175.000000,14175.000000,13433
2008-01-14,14075.000000,14285.000000,14055.000000,14210.000000,14210.000000,7816
2008-01-15,13685.000000,13750.000000,13685.000000,13795.000000,13795.000000,16515
2008-01-16,13570.000000,13675.000000,13570.000000,13585.000000,13585.000000,18826
2008-01-17,13365.000000,13425.000000,13365.000000,13360.000000,13360.000000,19152
2008-01-18,13365.000000,13810.000000,13365.000000,13560.000000,13560.000000,17379
2008-01-22,13065.000000,13115.000000,12990.000000,13110.000000,13110.000000,39924
2008-01-23,13120.000000,13125.000000,13090.000000,13095.000000,13095.000000,27843
2008-01-24,13335.000000,13340.000000,13335.000000,13280.000000,13280.000000,16447
2008-01-25,13335.000000,13805.000000,13330.000000,13470.000000,13470.000000,22089
2008-01-28,13350.000000,13500.000000,13335.000000,13320.000000,13320.000000,17204
2008-01-29,13540.000000,13540.000000,13540.000000,13550.000000,13550.000000,11148
2008-01-30,13355.000000,13355.000000,13295.000000,13395.000000,13395.000000,17390
2008-01-31,13550.000000,13550.000000,13550.000000,13600.000000,13600.000000,22310
2008-02-01,13605.000000,13845.000000,13540.000000,13800.000000,13800.000000,13773
2008-02-04,13790.000000,13805.000000,13770.000000,13785.000000,13785.000000,9965
2008-02-05,13375.000000,13375.000000,13330.000000,13370.000000,13370.000000,17539
2008-02-06,13145.000000,13180.000000,13035.000000,13115.000000,13115.000000,15847
2008-02-07,13265.000000,13265.000000,13265.000000,13260.000000,13260.000000,15536
2008-02-08,13265.000000,13265.000000,12875.000000,12950.000000,12950.000000,10916
2008-02-11,12970.000000,12970.000000,12970.000000,13010.000000,13010.000000,10244
2008-02-12,12970.000000,13325.000000,12970.000000,13235.000000,13235.000000,14506
2008-02-13,13315.000000,13315.000000,13315.000000,13300.000000,13300.000000,10075
2008-02-14,13500.000000,13500.000000,13500.000000,13450.000000,13450.000000,15605
2008-02-15,13500.000000,13695.000000,13380.000000,13575.000000,13575.000000,15605
2008-02-19,13600.000000,13905.000000,13590.000000,13720.000000,13720.000000,14353
2008-02-20,13505.000000,13505.000000,13470.000000,13480.000000,13480.000000,19261
2008-02-21,13505.000000,13805.000000,13470.000000,13535.000000,13535.000000,12197
2008-02-22,13505.000000,13610.000000,13310.000000,13595.000000,13595.000000,10018
2008-02-25,13970.000000,13970.000000,13965.000000,14020.000000,14020.000000,15017
2008-02-26,13970.000000,14115.000000,13860.000000,14050.000000,14050.000000,10540
2008-02-27,13905.000000,13945.000000,13900.000000,13915.000000,13915.000000,12760
2008-02-28,13675.000000,13685.000000,13675.000000,13685.000000,13685.000000,13320
2008-02-29,13675.000000,13685.000000,13270.000000,13305.000000,13305.000000,13930
2008-03-03,13175.000000,13195.000000,13135.000000,13135.000000,13135.000000,16203
2008-03-04,12955.000000,12970.000000,12930.000000,12910.000000,12910.000000,16934
2008-03-05,13075.000000,13075.000000,13075.000000,13035.000000,13035.000000,18238
2008-03-06,12775.000000,12785.000000,12775.000000,12815.000000,12815.000000,14674
2008-03-07,12775.000000,12855.000000,12555.000000,12655.000000,12655.000000,18088
2008-03-10,12430.000000,12490.000000,12430.000000,12425.000000,12425.000000,28842
2008-03-11,12980.000000,12980.000000,12980.000000,13005.000000,13005.000000,59540
2008-03-12,12730.000000,12730.000000,12730.000000,12750.000000,12750.000000,27122
2008-03-13,12730.000000,12735.000000,12265.000000,12595.000000,12595.000000,39167
2008-03-14,12345.000000,12575.000000,12040.000000,12110.000000,12110.000000,25539
2008-03-17,11850.000000,11850.000000,11850.000000,11805.000000,11805.000000,23786
2008-03-18,11850.000000,12465.000000,11850.000000,12460.000000,12460.000000,20439
2008-03-19,11970.000000,11970.000000,11970.000000,11965.000000,11965.000000,21454
2008-03-20,11970.000000,12280.000000,11925.000000,12220.000000,12220.000000,11313
2008-03-24,12495.000000,12750.000000,12495.000000,12685.000000,12685.000000,6941
2008-03-25,12750.000000,12750.000000,12735.000000,12775.000000,12775.000000,14217
2008-03-26,12595.000000,12595.000000,12520.000000,12580.000000,12580.000000,13132
2008-03-27,12595.000000,12845.000000,12510.000000,12660.000000,12660.000000,13239
2008-03-28,12935.000000,12940.000000,12665.000000,12685.000000,12685.000000,12951
2008-03-31,12730.000000,12730.000000,12730.000000,12705.000000,12705.000000,11908
2008-04-01,13235.000000,13245.000000,13225.000000,13245.000000,13245.000000,14960
2008-04-02,13235.000000,13435.000000,13200.000000,13305.000000,13305.000000,13412
2008-04-03,13390.000000,13470.000000,13325.000000,13405.000000,13405.000000,12248
2008-04-04,13360.000000,13470.000000,13260.000000,13320.000000,13320.000000,9093
2008-04-07,13435.000000,13435.000000,13405.000000,13470.000000,13470.000000,9889
2008-04-08,13385.000000,13385.000000,13385.000000,13395.000000,13395.000000,11143
2008-04-09,13385.000000,13385.000000,13070.000000,13135.000000,13135.000000,13517
2008-04-10,13055.000000,13055.000000,13055.000000,13050.000000,13050.000000,17229
2008-04-11,13055.000000,13415.000000,13000.000000,13055.000000,13055.000000,17100
2008-04-14,12970.000000,12980.000000,12970.000000,12965.000000,12965.000000,8415
2008-04-15,13085.000000,13150.000000,13085.000000,13055.000000,13055.000000,10093
2008-04-16,13500.000000,13520.000000,13470.000000,13510.000000,13510.000000,12969
2008-04-17,13540.000000,13540.000000,13540.000000,13495.000000,13495.000000,12325
2008-04-18,13540.000000,13885.000000,13530.000000,13770.000000,13770.000000,12421
2008-04-21,13675.000000,13675.000000,13675.000000,13700.000000,13700.000000,10206
2008-04-22,13555.000000,13555.000000,13555.000000,13555.000000,13555.000000,11321
2008-04-23,13650.000000,13650.000000,13630.000000,13680.000000,13680.000000,10919
2008-04-24,13690.000000,13690.000000,13690.000000,13720.000000,13720.000000,10829
2008-04-25,13690.000000,14045.000000,13690.000000,13960.000000,13960.000000,12943
2008-04-28,14015.000000,14015.000000,14015.000000,14020.000000,14020.000000,9373
2008-04-29,13895.000000,13895.000000,13885.000000,13910.000000,13910.000000,14858
2008-04-30,13895.000000,14130.000000,13795.000000,13930.000000,13930.000000,17743
2008-05-01,14110.000000,14150.000000,14110.000000,14120.000000,14120.000000,10140
2008-05-02,14110.000000,14330.000000,14095.000000,14225.000000,14225.000000,13852
2008-05-05,14150.000000,14235.000000,14120.000000,14175.000000,14175.000000,5020
2008-05-06,14185.000000,14230.000000,13995.000000,14185.000000,14185.000000,8810
2008-05-07,14170.000000,14245.000000,13920.000000,13960.000000,13960.000000,11317
2008-05-08,13910.000000,13910.000000,13910.000000,13935.000000,13935.000000,11608
2008-05-09,13910.000000,13910.000000,13570.000000,13635.000000,13635.000000,11104
2008-05-12,13795.000000,13875.000000,13720.000000,13865.000000,13865.000000,8711
2008-05-13,13870.000000,14075.000000,13870.000000,14025.000000,14025.000000,10928
2008-05-14,14185.000000,14190.000000,14165.000000,14205.000000,14205.000000,11832
2008-05-15,14185.000000,14400.000000,14165.000000,14375.000000,14375.000000,8658
2008-05-16,14280.000000,14395.000000,14230.000000,14350.000000,14350.000000,11295
2008-05-19,14275.000000,14275.000000,14270.000000,14300.000000,14300.000000,9747
