Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,0.765990,0.769527,0.765404,0.768994,0.768994,0
2008-01-02,0.768699,0.776096,0.768226,0.775374,0.775374,0
2008-01-03,0.775675,0.778998,0.770001,0.772499,0.772499,0
2008-01-04,0.772977,0.775014,0.765287,0.765697,0.765697,0
2008-01-07,0.768226,0.769882,0.762021,0.768403,0.768403,0
2008-01-08,0.768226,0.773395,0.767813,0.769408,0.769408,0
2008-01-09,0.768994,0.774713,0.767813,0.773814,0.773814,0
2008-01-10,0.774174,0.786596,0.773216,0.785978,0.785978,0
2008-01-11,0.785978,0.787898,0.781922,0.784806,0.784806,0
2008-01-14,0.784129,0.791578,0.783883,0.789017,0.789017,0
2008-01-15,0.789017,0.793273,0.773575,0.778210,0.778210,0
2008-01-16,0.778210,0.780884,0.765228,0.768817,0.768817,0
2008-01-17,0.769172,0.776277,0.763009,0.763184,0.763184,0
2008-01-18,0.763184,0.768226,0.756716,0.760572,0.760572,0
2008-01-21,0.761499,0.761499,0.741015,0.741180,0.741180,0
2008-01-22,0.741015,0.767401,0.739208,0.766225,0.766225,0
2008-01-23,0.766225,0.768108,0.756086,0.763709,0.763709,0
2008-01-24,0.763592,0.775314,0.762079,0.774773,0.774773,0
2008-01-25,0.774713,0.774773,0.767224,0.770772,0.770772,0
2008-01-28,0.770179,0.779120,0.767106,0.778210,0.778210,0
2008-01-29,0.778271,0.779970,0.775795,0.777907,0.777907,0
2008-01-30,0.777786,0.787712,0.776277,0.777484,0.777484,0
2008-01-31,0.777726,0.790202,0.777726,0.787588,0.787588,0
2008-02-01,0.787278,0.796178,0.786596,0.796178,0.796178,0
2008-02-04,0.791891,0.796622,0.790389,0.793021,0.793021,0
2008-02-05,0.793021,0.794597,0.779180,0.781983,0.781983,0
2008-02-06,0.782228,0.789017,0.779788,0.785176,0.785176,0
2008-02-07,0.784498,0.792393,0.783208,0.786906,0.786906,0
2008-02-08,0.786596,0.791202,0.784375,0.788395,0.788395,0
2008-02-11,0.788519,0.791202,0.787712,0.788084,0.788084,0
2008-02-12,0.787588,0.795482,0.787030,0.789391,0.789391,0
2008-02-13,0.789391,0.790889,0.781983,0.784929,0.784929,0
2008-02-14,0.784929,0.792017,0.784621,0.786720,0.786720,0
2008-02-15,0.786720,0.791578,0.784683,0.790389,0.790389,0
2008-02-18,0.791390,0.797130,0.790326,0.796813,0.796813,0
2008-02-19,0.796813,0.802504,0.795798,0.798977,0.798977,0
