Date,Open,High,Low,Close,Adj Close,Volume
2008-02-28,552.549988,579.450012,537.099976,585.250000,585.250000,1104
2008-02-29,581.950012,585.150024,552.000000,571.950012,571.950012,339
2008-03-03,574.849976,584.950012,574.849976,581.200012,581.200012,87
2008-03-04,579.450012,595.099976,545.700012,565.450012,565.450012,73
2008-03-05,550.500000,553.950012,522.250000,559.549988,559.549988,47
2008-03-06,552.000000,556.400024,514.099976,525.299988,525.299988,25
2008-03-07,498.000000,505.200012,490.000000,491.799988,491.799988,33
2008-03-10,467.899994,471.000000,464.649994,480.950012,480.950012,12
2008-03-11,466.500000,496.250000,466.500000,496.250000,496.250000,14
2008-03-12,507.549988,507.549988,507.549988,507.549988,507.549988,10
2008-03-13,511.000000,511.000000,511.000000,513.200012,513.200012,1
2008-03-14,511.700012,511.700012,511.700012,511.700012,511.700012,1
2008-03-17,473.000000,482.600006,467.000000,482.600006,482.600006,3
2008-03-18,487.299988,487.299988,487.299988,487.299988,487.299988,15
2008-03-19,462.100006,462.100006,462.100006,462.100006,462.100006,15
2008-03-20,453.000000,453.000000,437.700012,444.750000,444.750000,3
2008-03-24,432.000000,432.000000,432.000000,435.100006,435.100006,3
2008-03-25,461.850006,461.850006,461.850006,461.850006,461.850006,3
2008-03-26,457.200012,457.200012,457.200012,458.399994,458.399994,1
2008-03-27,452.500000,452.500000,452.500000,452.500000,452.500000,3368
2008-03-28,null,null,null,null,null,null
2008-03-31,null,null,null,null,null,null
2008-04-01,null,null,null,null,null,null
2008-04-02,null,null,null,null,null,null
2008-04-03,null,null,null,null,null,null
2008-04-04,null,null,null,null,null,null
2008-04-07,null,null,null,null,null,null
2008-04-08,null,null,null,null,null,null
2008-04-09,null,null,null,null,null,null
2008-04-10,null,null,null,null,null,null
2008-04-11,null,null,null,null,null,null
2008-04-14,null,null,null,null,null,null
2008-04-15,null,null,null,null,null,null
2008-04-16,null,null,null,null,null,null
2008-04-17,null,null,null,null,null,null
2008-04-18,null,null,null,null,null,null
2008-04-21,null,null,null,null,null,null
2008-04-22,null,null,null,null,null,null
2008-04-23,null,null,null,null,null,null
2008-04-24,null,null,null,null,null,null
2008-04-25,null,null,null,null,null,null
2008-04-28,null,null,null,null,null,null
2008-04-29,null,null,null,null,null,null
2008-04-30,null,null,null,null,null,null
2008-05-01,null,null,null,null,null,null
2008-05-02,null,null,null,null,null,null
2008-05-05,null,null,null,null,null,null
2008-05-06,null,null,null,null,null,null
2008-05-07,null,null,null,null,null,null
2008-05-08,null,null,null,null,null,null
2008-05-09,null,null,null,null,null,null
2008-05-12,null,null,null,null,null,null
2008-05-13,null,null,null,null,null,null
2008-05-14,null,null,null,null,null,null
2008-05-15,null,null,null,null,null,null
2008-05-16,null,null,null,null,null,null
2008-05-19,null,null,null,null,null,null
2008-05-20,null,null,null,null,null,null
2008-05-21,null,null,null,null,null,null
2008-05-22,null,null,null,null,null,null
2008-05-23,null,null,null,null,null,null
2008-05-27,null,null,null,null,null,null
2008-05-28,null,null,null,null,null,null
2008-05-29,435.000000,437.100006,424.000000,427.799988,427.799988,2325
2008-05-30,426.799988,436.200012,424.399994,435.000000,435.000000,72
2008-06-02,431.549988,436.100006,431.549988,437.899994,437.899994,63
2008-06-03,430.000000,430.000000,430.000000,435.049988,435.049988,5
2008-06-04,434.000000,434.000000,430.049988,429.200012,429.200012,21
2008-06-05,425.549988,428.250000,419.950012,422.899994,422.899994,42
2008-06-06,433.000000,433.000000,433.000000,430.899994,430.899994,1
2008-06-09,430.000000,433.000000,424.000000,426.700012,426.700012,2
2008-06-10,425.350006,425.350006,425.350006,425.350006,425.350006,2
2008-06-11,430.299988,430.299988,430.299988,430.299988,430.299988,5
2008-06-12,427.000000,435.000000,427.000000,438.950012,438.950012,2
2008-06-13,452.700012,452.700012,450.000000,451.750000,451.750000,5
2008-06-16,461.750000,461.750000,461.750000,461.750000,461.750000,5
2008-06-17,459.000000,461.149994,459.000000,461.149994,461.149994,1
2008-06-18,463.049988,472.149994,462.600006,469.100006,469.100006,5
2008-06-19,473.600006,475.000000,473.600006,476.500000,476.500000,20
2008-06-20,473.250000,474.250000,473.250000,476.850006,476.850006,20
2008-06-23,471.899994,471.899994,471.899994,471.899994,471.899994,20
2008-06-24,469.600006,469.600006,469.600006,469.600006,469.600006,20
2008-06-25,462.649994,462.649994,462.649994,462.649994,462.649994,20
2008-06-26,468.899994,468.899994,468.899994,468.899994,468.899994,0
2008-06-27,471.200012,473.100006,471.200012,471.200012,471.200012,0
2008-06-30,464.750000,464.750000,464.750000,464.750000,464.750000,0
2008-07-01,472.049988,472.049988,472.049988,472.049988,472.049988,0
2008-07-02,470.000000,470.000000,470.000000,470.000000,470.000000,0
2008-07-03,null,null,null,null,null,null
2008-07-07,449.500000,449.500000,449.500000,449.500000,449.500000,0
2008-07-08,442.450012,442.450012,442.450012,442.450012,442.450012,0
2008-07-09,449.000000,449.000000,449.000000,449.000000,449.000000,0
2008-07-10,452.000000,452.000000,452.000000,452.000000,452.000000,0
2008-07-11,457.799988,457.799988,457.799988,457.799988,457.799988,0
2008-07-14,456.350006,456.350006,456.350006,456.350006,456.350006,0
2008-07-15,443.649994,443.649994,443.649994,443.649994,443.649994,0
2008-07-16,432.100006,432.100006,432.100006,432.100006,432.100006,0
2008-07-17,426.350006,426.350006,426.350006,426.350006,426.350006,0
2008-07-18,416.600006,416.600006,416.600006,416.600006,416.600006,0
2008-07-21,415.000000,415.000000,415.000000,415.000000,415.000000,0
