Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,1529.900024,1549.000000,1524.099976,1547.000000,1547.000000,58
2008-01-03,1549.699951,1550.000000,1527.000000,1541.800049,1541.800049,128
2008-01-04,1549.699951,1552.199951,1532.000000,1539.099976,1539.099976,108
2008-01-07,1528.800049,1542.900024,1523.599976,1524.199951,1524.199951,79
2008-01-08,1540.000000,1544.599976,1540.000000,1553.599976,1553.599976,11
2008-01-09,1554.099976,1554.099976,1551.500000,1552.900024,1552.900024,4
2008-01-10,1546.199951,1561.000000,1540.000000,1558.300049,1558.300049,2
2008-01-11,1568.199951,1568.199951,1568.199951,1568.199951,1568.199951,2
2008-01-14,1566.900024,1586.000000,1566.900024,1582.800049,1582.800049,15
2008-01-15,1586.000000,1605.900024,1586.000000,1592.500000,1592.500000,7
2008-01-16,1574.000000,1574.000000,1574.000000,1570.599976,1570.599976,1
2008-01-17,1569.300049,1569.300049,1569.300049,1569.300049,1569.300049,4
2008-01-18,1544.699951,1566.500000,1538.800049,1566.500000,1566.500000,6
2008-01-22,1548.300049,1553.500000,1541.300049,1547.599976,1547.599976,40
2008-01-23,1540.000000,1544.300049,1540.000000,1557.500000,1557.500000,4
2008-01-24,1614.000000,1614.000000,1614.000000,1614.900024,1614.900024,25
2008-01-25,1680.500000,1693.800049,1608.699951,1680.699951,1680.699951,35
2008-01-28,1683.500000,1746.099976,1683.400024,1752.199951,1752.199951,205
2008-01-29,1703.500000,1703.599976,1703.500000,1736.900024,1736.900024,0
2008-01-30,null,null,null,null,null,null
2008-01-31,null,null,null,null,null,null
2008-02-01,null,null,null,null,null,null
2008-02-04,null,null,null,null,null,null
2008-02-05,null,null,null,null,null,null
2008-02-06,null,null,null,null,null,null
2008-02-07,null,null,null,null,null,null
2008-02-08,null,null,null,null,null,null
2008-02-11,null,null,null,null,null,null
2008-02-12,null,null,null,null,null,null
2008-02-13,null,null,null,null,null,null
2008-02-14,null,null,null,null,null,null
2008-02-15,null,null,null,null,null,null
2008-02-19,2115.000000,2115.000000,2115.000000,2128.100098,2128.100098,1
2008-02-20,2113.800049,2113.800049,2113.800049,2113.800049,2113.800049,0
2008-02-21,2163.199951,2163.199951,2163.199951,2163.199951,2163.199951,0
2008-02-22,2142.800049,2142.800049,2142.800049,2142.800049,2142.800049,0
2008-02-25,2128.500000,2128.500000,2128.500000,2128.500000,2128.500000,0
2008-02-26,2130.899902,2130.899902,2130.899902,2130.899902,2130.899902,0
2008-02-27,2127.300049,2127.300049,2127.300049,2127.300049,2127.300049,0
2008-02-28,2129.800049,2129.800049,2129.800049,2129.800049,2129.800049,0
2008-02-29,2155.699951,2155.699951,2155.699951,2155.699951,2155.699951,0
2008-03-03,2216.600098,2216.600098,2216.600098,2216.600098,2216.600098,0
2008-03-04,2242.000000,2242.000000,2242.000000,2242.000000,2242.000000,0
2008-03-05,2251.100098,2251.100098,2251.100098,2251.100098,2251.100098,0
2008-03-06,2175.800049,2175.800049,2175.800049,2175.800049,2175.800049,0
2008-03-07,2016.699951,2016.699951,2016.699951,2016.699951,2016.699951,0
2008-03-10,2014.099976,2014.099976,2014.099976,2014.099976,2014.099976,0
2008-03-11,2027.400024,2027.400024,2027.400024,2027.400024,2027.400024,0
2008-03-12,2045.000000,2045.000000,2045.000000,2045.000000,2045.000000,0
2008-03-13,2072.500000,2072.500000,2072.500000,2072.500000,2072.500000,0
2008-03-14,2051.000000,2051.000000,2051.000000,2051.000000,2051.000000,0
2008-03-17,1948.400024,1948.400024,1948.400024,1948.400024,1948.400024,0
2008-03-18,1943.000000,1943.000000,1943.000000,1943.000000,1943.000000,0
2008-03-19,1862.000000,1862.000000,1862.000000,1862.000000,1862.000000,0
2008-03-20,1852.300049,1852.300049,1852.300049,1852.300049,1852.300049,0
2008-03-24,1864.199951,1864.199951,1864.199951,1864.199951,1864.199951,0
2008-03-25,1960.900024,1960.900024,1960.900024,1960.900024,1960.900024,0
2008-03-26,1987.599976,1987.599976,1987.599976,1987.599976,1987.599976,0
2008-03-27,2018.699951,2018.699951,2018.699951,2018.699951,2018.699951,2524
2008-03-28,2026.500000,2046.000000,1977.800049,2037.800049,2037.800049,1228
2008-03-31,2035.000000,2040.000000,1995.000000,2024.400024,2024.400024,162
2008-04-01,1928.800049,1948.000000,1880.000000,1928.800049,1928.800049,87
2008-04-02,1934.199951,1964.099976,1928.000000,1957.599976,1957.599976,79
2008-04-03,1980.099976,2004.000000,1979.500000,2005.900024,2005.900024,331
2008-04-04,1986.699951,2025.500000,1986.699951,2025.500000,2025.500000,32
2008-04-07,2035.000000,2036.099976,2031.599976,2041.900024,2041.900024,32
2008-04-08,2030.000000,2030.000000,2030.000000,2033.300049,2033.300049,39
2008-04-09,2025.000000,2064.600098,2025.000000,2064.600098,2064.600098,19
2008-04-10,2025.000000,2065.000000,2018.000000,2065.000000,2065.000000,11
2008-04-11,2026.000000,2026.000000,2026.000000,2036.099976,2036.099976,12
2008-04-14,2015.000000,2015.000000,1975.000000,1993.500000,1993.500000,10
2008-04-15,2000.800049,2005.000000,1996.000000,1988.400024,1988.400024,14
2008-04-16,2005.599976,2025.000000,2005.599976,2029.400024,2029.400024,10
2008-04-17,2054.600098,2054.600098,2054.600098,2054.600098,2054.600098,10
2008-04-18,2066.300049,2066.300049,2050.000000,2066.300049,2066.300049,10
2008-04-21,2019.300049,2019.300049,2019.300049,2019.300049,2019.300049,10
2008-04-22,2029.400024,2029.400024,2029.400024,2029.400024,2029.400024,10
2008-04-23,2025.500000,2025.500000,2020.000000,2010.800049,2010.800049,1
2008-04-24,2000.000000,2000.000000,1995.000000,1962.699951,1962.699951,6
2008-04-25,1960.000000,1960.000000,1960.000000,1960.000000,1960.000000,6
2008-04-28,1970.599976,1970.599976,1970.599976,1970.599976,1970.599976,2738
2008-04-29,null,null,null,null,null,null
2008-04-30,null,null,null,null,null,null
2008-05-01,null,null,null,null,null,null
2008-05-02,null,null,null,null,null,null
2008-05-05,null,null,null,null,null,null
2008-05-06,null,null,null,null,null,null
2008-05-07,null,null,null,null,null,null
2008-05-08,null,null,null,null,null,null
2008-05-09,null,null,null,null,null,null
2008-05-12,null,null,null,null,null,null
2008-05-13,null,null,null,null,null,null
2008-05-14,null,null,null,null,null,null
2008-05-15,null,null,null,null,null,null
2008-05-16,null,null,null,null,null,null
2008-05-19,null,null,null,null,null,null
2008-05-20,null,null,null,null,null,null
2008-05-21,null,null,null,null,null,null
2008-05-22,null,null,null,null,null,null
2008-05-23,null,null,null,null,null,null
2008-05-27,null,null,null,null,null,null
2008-05-28,null,null,null,null,null,null
2008-05-29,null,null,null,null,null,null
2008-05-30,null,null,null,null,null,null
2008-06-02,null,null,null,null,null,null
2008-06-03,null,null,null,null,null,null
2008-06-04,null,null,null,null,null,null
2008-06-05,null,null,null,null,null,null
2008-06-06,null,null,null,null,null,null
2008-06-09,null,null,null,null,null,null
2008-06-10,null,null,null,null,null,null
2008-06-11,null,null,null,null,null,null
2008-06-12,null,null,null,null,null,null
2008-06-13,null,null,null,null,null,null
2008-06-16,null,null,null,null,null,null
2008-06-17,null,null,null,null,null,null
2008-06-18,null,null,null,null,null,null
2008-06-19,null,null,null,null,null,null
2008-06-20,null,null,null,null,null,null
2008-06-23,null,null,null,null,null,null
2008-06-24,null,null,null,null,null,null
2008-06-25,null,null,null,null,null,null
2008-06-26,null,null,null,null,null,null
2008-06-27,2064.399902,2085.199951,2050.000000,2059.100098,2059.100098,1167
2008-06-30,2077.300049,2086.600098,2049.000000,2069.500000,2069.500000,133
2008-07-01,2084.100098,2087.399902,2076.000000,2086.199951,2086.199951,171
2008-07-02,2076.500000,2085.000000,2076.000000,2074.500000,2074.500000,1
2008-07-03,null,null,null,null,null,null
2008-07-07,1976.500000,2000.500000,1976.500000,1981.300049,1981.300049,35
2008-07-08,1950.599976,1999.900024,1950.599976,1950.400024,1950.400024,2
2008-07-09,1969.300049,1969.300049,1969.300049,1974.500000,1974.500000,2
2008-07-10,2000.900024,2000.900024,2000.900024,2000.900024,2000.900024,2
2008-07-11,2043.500000,2043.500000,2043.500000,2047.199951,2047.199951,25
2008-07-14,2039.900024,2039.900024,2039.900024,2039.900024,2039.900024,9
2008-07-15,1985.800049,1985.800049,1985.800049,1985.800049,1985.800049,9
2008-07-16,1942.300049,1942.300049,1942.300049,1942.300049,1942.300049,10
2008-07-17,1940.000000,1940.000000,1890.000000,1903.400024,1903.400024,7
2008-07-18,1858.300049,1858.300049,1858.300049,1858.300049,1858.300049,7
2008-07-21,1854.000000,1854.000000,1854.000000,1854.000000,1854.000000,7
2008-07-22,1811.199951,1811.199951,1811.199951,1811.199951,1811.199951,7
2008-07-23,1759.000000,1759.000000,1759.000000,1763.800049,1763.800049,1
2008-07-24,1716.800049,1716.800049,1716.800049,1716.800049,1716.800049,1
2008-07-25,1761.699951,1761.699951,1761.699951,1761.699951,1761.699951,1
2008-07-28,1779.699951,1779.699951,1779.699951,1779.699951,1779.699951,1
2008-07-29,1750.300049,1750.300049,1750.300049,1750.300049,1750.300049,2774
2008-07-30,null,null,null,null,null,null
2008-07-31,null,null,null,null,null,null
2008-08-01,null,null,null,null,null,null
2008-08-04,null,null,null,null,null,null
2008-08-05,null,null,null,null,null,null
2008-08-06,null,null,null,null,null,null
2008-08-07,null,null,null,null,null,null
2008-08-08,null,null,null,null,null,null
2008-08-11,null,null,null,null,null,null
2008-08-12,null,null,null,null,null,null
2008-08-13,null,null,null,null,null,null
2008-08-14,null,null,null,null,null,null
2008-08-15,null,null,null,null,null,null
2008-08-18,null,null,null,null,null,null
2008-08-19,null,null,null,null,null,null
2008-08-20,null,null,null,null,null,null
2008-08-21,null,null,null,null,null,null
2008-08-22,null,null,null,null,null,null
2008-08-25,null,null,null,null,null,null
2008-08-26,null,null,null,null,null,null
2008-08-27,null,null,null,null,null,null
2008-08-28,null,null,null,null,null,null
2008-08-29,null,null,null,null,null,null
2008-09-02,null,null,null,null,null,null
2008-09-03,null,null,null,null,null,null
2008-09-04,null,null,null,null,null,null
2008-09-05,null,null,null,null,null,null
2008-09-08,null,null,null,null,null,null
2008-09-09,null,null,null,null,null,null
