Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,7.555000,7.870000,7.490000,7.850000,7.850000,3027
2008-01-03,7.855000,7.970000,7.615000,7.674000,7.674000,3934
2008-01-04,7.680000,7.860000,7.505000,7.841000,7.841000,3383
2008-01-07,7.790000,7.935000,7.695000,7.879000,7.879000,3820
2008-01-08,7.870000,7.995000,7.870000,7.967000,7.967000,2728
2008-01-09,7.935000,8.195000,7.920000,8.099000,8.099000,3393
2008-01-10,8.150000,8.295000,7.990000,8.259000,8.259000,4413
2008-01-11,8.300000,8.400000,8.085000,8.210000,8.210000,4197
2008-01-14,8.355000,8.480000,8.225000,8.353000,8.353000,3315
2008-01-15,8.370000,8.485000,8.075000,8.196000,8.196000,3871
2008-01-16,8.180000,8.250000,8.045000,8.133000,8.133000,4795
2008-01-17,8.115000,8.175000,7.915000,8.081000,8.081000,4801
2008-01-18,8.135000,8.210000,7.915000,7.993000,7.993000,2352
2008-01-22,8.000000,8.000000,7.625000,7.670000,7.670000,3174
2008-01-23,7.690000,7.750000,7.565000,7.621000,7.621000,3092
2008-01-24,7.690000,7.820000,7.655000,7.802000,7.802000,6270
2008-01-25,7.830000,7.965000,7.765000,7.983000,7.983000,5967
2008-01-28,7.945000,8.040000,7.890000,8.095000,8.095000,1333
2008-01-29,8.035000,8.080000,7.860000,7.943000,7.943000,2157
2008-01-30,7.925000,8.120000,7.895000,8.045000,8.045000,3532
2008-01-31,8.045000,8.115000,7.935000,8.074000,8.074000,3057
2008-02-01,8.050000,8.050000,7.765000,7.740000,7.740000,4254
2008-02-04,7.640000,7.895000,7.575000,7.869000,7.869000,4954
2008-02-05,7.900000,8.005000,7.860000,7.942000,7.942000,3440
2008-02-06,7.930000,8.085000,7.915000,7.994000,7.994000,2746
2008-02-07,8.000000,8.110000,7.970000,8.102000,8.102000,3407
2008-02-08,8.155000,8.320000,8.075000,8.301000,8.301000,5518
2008-02-11,8.365000,8.615000,8.365000,8.531000,8.531000,3211
2008-02-12,8.550000,8.610000,8.435000,8.436000,8.436000,5686
2008-02-13,8.445000,8.445000,8.325000,8.388000,8.388000,4615
2008-02-14,8.390000,8.735000,8.350000,8.772000,8.772000,4660
2008-02-15,8.815000,8.840000,8.640000,8.660000,8.660000,4660
2008-02-19,8.720000,8.995000,8.685000,8.977000,8.977000,4153
2008-02-20,9.020000,9.125000,8.895000,8.965000,8.965000,3681
2008-02-21,8.905000,9.040000,8.900000,8.891000,8.891000,3593
2008-02-22,8.815000,9.115000,8.775000,9.146000,9.146000,4446
2008-02-25,9.305000,9.370000,9.135000,9.186000,9.186000,5592
2008-02-26,9.230000,9.325000,9.155000,9.206000,9.206000,3382
2008-02-27,9.030000,9.450000,9.005000,9.060000,9.060000,4932
2008-02-28,9.400000,9.470000,9.300000,9.443000,9.443000,2705
2008-02-29,9.310000,9.590000,9.285000,9.366000,9.366000,5651
2008-03-03,9.290000,9.475000,9.250000,9.346000,9.346000,5468
2008-03-04,9.360000,9.780000,9.325000,9.353000,9.353000,7633
2008-03-05,9.760000,9.865000,9.605000,9.741000,9.741000,4385
2008-03-06,9.750000,10.000000,9.650000,9.742000,9.742000,4385
2008-03-07,9.750000,10.000000,9.650000,9.769000,9.769000,6698
2008-03-10,9.840000,9.990000,9.605000,10.024000,10.024000,4001
2008-03-11,9.945000,10.140000,9.845000,10.000000,10.000000,3523
2008-03-12,10.020000,10.085000,9.855000,10.011000,10.011000,2742
2008-03-13,10.055000,10.230000,10.005000,10.230000,10.230000,4381
2008-03-14,10.180000,10.295000,9.960000,9.868000,9.868000,3355
2008-03-17,10.025000,10.085000,9.060000,9.100000,9.100000,5707
2008-03-18,9.105000,9.435000,9.105000,9.414000,9.414000,4413
2008-03-19,9.440000,9.440000,9.030000,9.024000,9.024000,3633
2008-03-20,8.995000,9.225000,8.670000,9.065000,9.065000,6512
2008-03-24,9.115000,9.450000,9.010000,9.329000,9.329000,2834
2008-03-25,9.345000,9.490000,9.280000,9.419000,9.419000,3119
2008-03-26,9.455000,9.620000,9.360000,9.572000,9.572000,1265
2008-03-27,9.695000,9.765000,9.090000,9.687000,9.687000,3640
2008-03-28,9.695000,9.840000,9.650000,9.800000,9.800000,2184
2008-03-31,9.850000,10.205000,9.830000,10.101000,10.101000,4262
2008-04-01,10.155000,10.155000,9.850000,9.724000,9.724000,4838
2008-04-02,9.630000,9.885000,9.380000,9.832000,9.832000,6698
2008-04-03,9.785000,9.905000,9.495000,9.417000,9.417000,5157
2008-04-04,9.370000,9.540000,9.345000,9.322000,9.322000,3109
2008-04-07,9.340000,9.815000,9.340000,9.791000,9.791000,3338
2008-04-08,9.730000,9.940000,9.720000,9.697000,9.697000,3348
2008-04-09,9.645000,10.150000,9.645000,10.056000,10.056000,3332
2008-04-10,10.160000,10.325000,10.095000,10.098000,10.098000,3700
2008-04-11,10.040000,10.095000,9.835000,9.901000,9.901000,2707
2008-04-14,9.900000,10.055000,9.815000,10.053000,10.053000,2454
2008-04-15,10.080000,10.275000,9.815000,10.205000,10.205000,2415
2008-04-16,10.250000,10.480000,10.050000,10.433000,10.433000,4377
2008-04-17,10.465000,10.535000,10.305000,10.383000,10.383000,5217
2008-04-18,10.345000,10.625000,10.215000,10.587000,10.587000,4297
2008-04-21,10.590000,10.690000,10.490000,10.733000,10.733000,2858
2008-04-22,10.755000,10.755000,10.595000,10.607000,10.607000,3950
2008-04-23,10.530000,10.830000,10.415000,10.781000,10.781000,4332
2008-04-24,10.890000,10.940000,10.595000,10.790000,10.790000,4954
2008-04-25,10.800000,10.975000,10.685000,10.963000,10.963000,1251
2008-04-28,11.100000,11.415000,11.100000,11.329000,11.329000,2590
2008-04-29,11.210000,11.250000,10.830000,10.842000,10.842000,3884
2008-04-30,10.840000,10.960000,10.660000,10.843000,10.843000,3332
2008-05-01,10.900000,10.960000,10.485000,10.561000,10.561000,3203
2008-05-02,10.500000,10.795000,10.490000,10.777000,10.777000,3294
2008-05-05,10.780000,11.215000,10.780000,11.178000,11.178000,2487
2008-05-06,11.180000,11.360000,11.105000,11.150000,11.150000,3480
2008-05-07,11.080000,11.385000,11.025000,11.327000,11.327000,3597
2008-05-08,11.330000,11.430000,11.255000,11.263000,11.263000,3935
2008-05-09,11.250000,11.550000,11.240000,11.537000,11.537000,3396
2008-05-12,11.585000,11.645000,11.380000,11.301000,11.301000,3744
2008-05-13,11.305000,11.650000,11.220000,11.422000,11.422000,5391
2008-05-14,11.535000,11.790000,11.520000,11.598000,11.598000,3893
2008-05-15,11.605000,11.710000,11.135000,11.399000,11.399000,3682
2008-05-16,11.420000,11.580000,11.105000,11.094000,11.094000,4571
2008-05-19,11.135000,11.275000,11.080000,10.954000,10.954000,3259
2008-05-20,10.885000,11.470000,10.885000,11.365000,11.365000,3982
2008-05-21,11.380000,11.680000,11.365000,11.640000,11.640000,3572
2008-05-22,11.710000,11.855000,11.475000,11.697000,11.697000,4547
2008-05-23,11.615000,11.855000,11.615000,11.857000,11.857000,4547
2008-05-27,11.875000,12.085000,11.860000,11.801000,11.801000,1956
2008-05-28,11.905000,12.115000,11.710000,11.995000,11.995000,3065
2008-05-29,11.950000,12.065000,11.520000,11.474000,11.474000,4773
2008-05-30,11.455000,11.765000,11.445000,11.703000,11.703000,3098
2008-06-02,11.835000,12.195000,11.625000,11.969000,11.969000,4208
2008-06-03,12.080000,12.370000,12.040000,12.221000,12.221000,4031
2008-06-04,12.160000,12.465000,12.075000,12.379000,12.379000,4268
2008-06-05,12.400000,12.540000,12.305000,12.519000,12.519000,5807
2008-06-06,12.560000,12.820000,12.550000,12.693000,12.693000,6938
2008-06-09,12.645000,12.810000,12.540000,12.604000,12.604000,7195
2008-06-10,12.630000,12.760000,12.380000,12.435000,12.435000,7237
2008-06-11,12.440000,12.780000,12.425000,12.660000,12.660000,5244
2008-06-12,12.720000,12.885000,12.535000,12.798000,12.798000,5244
2008-06-13,12.780000,12.835000,12.570000,12.625000,12.625000,6015
2008-06-16,12.630000,12.985000,12.570000,12.933000,12.933000,3620
2008-06-17,12.925000,13.045000,12.835000,12.952000,12.952000,6785
2008-06-18,12.970000,13.200000,12.970000,13.210000,13.210000,4622
2008-06-19,13.275000,13.380000,12.620000,12.861000,12.861000,10472
2008-06-20,12.895000,13.185000,12.815000,12.994000,12.994000,6254
2008-06-23,13.030000,13.260000,13.025000,13.203000,13.203000,4559
2008-06-24,13.220000,13.260000,12.930000,13.011000,13.011000,5856
2008-06-25,12.985000,13.020000,12.660000,12.753000,12.753000,2361
2008-06-26,12.830000,13.300000,12.630000,13.248000,13.248000,4877
2008-06-27,13.260000,13.425000,13.185000,13.198000,13.198000,3141
2008-06-30,13.250000,13.450000,13.210000,13.353000,13.353000,2530
2008-07-01,13.380000,13.610000,13.305000,13.505000,13.505000,3141
2008-07-02,13.590000,13.690000,13.205000,13.389000,13.389000,5428
2008-07-03,null,null,null,null,null,null
2008-07-07,13.500000,13.530000,12.875000,12.977000,12.977000,5300
2008-07-08,12.920000,12.990000,12.290000,12.368000,12.368000,4300
2008-07-09,12.330000,12.545000,11.905000,12.006000,12.006000,5313
2008-07-10,11.975000,12.445000,11.905000,12.300000,12.300000,4273
2008-07-11,12.350000,12.610000,11.805000,11.904000,11.904000,5762
2008-07-14,11.960000,12.135000,11.740000,11.959000,11.959000,3306
2008-07-15,11.945000,12.110000,11.375000,11.477000,11.477000,5533
2008-07-16,11.450000,11.525000,11.115000,11.398000,11.398000,4437
2008-07-17,11.480000,11.570000,10.460000,10.537000,10.537000,6921
2008-07-18,10.600000,10.805000,10.510000,10.570000,10.570000,2741
2008-07-21,10.600000,10.790000,10.330000,10.510000,10.510000,4051
2008-07-22,10.495000,10.540000,9.890000,10.067000,10.067000,3958
2008-07-23,10.065000,10.315000,9.660000,9.788000,9.788000,5470
2008-07-24,9.730000,9.880000,8.875000,9.323000,9.323000,8134
2008-07-25,9.340000,9.490000,8.995000,9.084000,9.084000,3306
2008-07-28,9.155000,9.310000,9.075000,9.163000,9.163000,1690
2008-07-29,9.220000,9.285000,8.955000,9.130000,9.130000,3496
2008-07-30,9.050000,9.340000,8.810000,9.248000,9.248000,5998
2008-07-31,9.280000,9.305000,9.050000,9.119000,9.119000,4258
2008-08-01,9.130000,9.470000,8.905000,9.389000,9.389000,4742
2008-08-04,9.455000,9.595000,8.600000,8.726000,8.726000,5231
2008-08-05,8.610000,8.955000,8.340000,8.726000,8.726000,4858
2008-08-06,8.625000,8.970000,8.550000,8.773000,8.773000,3037
2008-08-07,8.815000,9.090000,8.485000,8.571000,8.571000,4998
2008-08-08,8.595000,8.595000,8.190000,8.248000,8.248000,4755
2008-08-11,8.350000,8.460000,8.155000,8.349000,8.349000,3203
2008-08-12,8.415000,8.485000,8.230000,8.330000,8.330000,2867
2008-08-13,8.375000,8.740000,8.055000,8.456000,8.456000,6297
2008-08-14,8.525000,8.545000,8.000000,8.136000,8.136000,4562
2008-08-15,8.060000,8.200000,7.960000,8.092000,8.092000,2896
2008-08-18,7.950000,8.045000,7.840000,7.888000,7.888000,2335
2008-08-19,7.865000,8.145000,7.780000,7.976000,7.976000,2947
2008-08-20,8.050000,8.170000,7.915000,8.077000,8.077000,2310
2008-08-21,8.085000,8.390000,8.010000,8.252000,8.252000,3810
2008-08-22,8.340000,8.340000,7.765000,7.843000,7.843000,2699
2008-08-25,7.780000,7.910000,7.615000,7.825000,7.825000,3274
2008-08-26,7.900000,8.380000,7.890000,8.278000,8.278000,2510
2008-08-27,8.405000,8.870000,8.400000,8.608000,8.608000,5143
2008-08-28,8.595000,8.810000,7.725000,8.050000,8.050000,8948
2008-08-29,8.075000,8.310000,7.930000,7.943000,7.943000,3936
2008-09-02,7.995000,8.100000,7.160000,7.261000,7.261000,7197
2008-09-03,7.200000,7.300000,7.030000,7.264000,7.264000,3864
2008-09-04,7.260000,7.420000,7.025000,7.322000,7.322000,3641
2008-09-05,7.350000,7.495000,7.215000,7.449000,7.449000,3168
2008-09-08,7.575000,7.700000,7.355000,7.527000,7.527000,3470
2008-09-09,7.580000,7.635000,7.125000,7.535000,7.535000,3648
2008-09-10,7.545000,7.590000,7.230000,7.393000,7.393000,3309
2008-09-11,7.455000,7.645000,7.165000,7.248000,7.248000,3439
2008-09-12,7.245000,7.670000,7.110000,7.366000,7.366000,3714
2008-09-15,7.250000,7.830000,6.935000,7.374000,7.374000,4438
2008-09-16,7.355000,7.515000,7.125000,7.279000,7.279000,3831
2008-09-17,7.305000,7.990000,7.280000,7.910000,7.910000,4762
2008-09-18,7.950000,8.305000,7.415000,7.621000,7.621000,4577
