Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,7.969500,7.969500,7.969500,7.969500,7.969500,0
2008-01-03,7.909000,7.909000,7.909000,7.909000,7.909000,0
2008-01-04,7.902000,7.902000,7.902000,7.902000,7.902000,0
2008-01-07,0.790000,0.790000,0.790000,7.908500,7.908500,5
2008-01-08,7.916000,7.916000,7.916000,7.916000,7.916000,0
2008-01-09,7.912000,7.912000,7.912000,7.912000,7.912000,0
2008-01-10,7.834000,7.834000,7.834000,7.834000,7.834000,0
2008-01-11,7.826500,7.826500,7.826500,7.826500,7.826500,0
2008-01-14,7.866500,7.866500,7.866500,7.866500,7.866500,0
2008-01-15,7.895000,7.895000,7.895000,7.895000,7.895000,0
2008-01-16,7.964500,7.964500,7.964500,7.964500,7.964500,0
2008-01-17,8.012500,8.012500,8.012500,8.012500,8.012500,0
2008-01-18,8.007000,8.007000,8.007000,8.007000,8.007000,0
2008-01-22,8.065000,8.065000,8.065000,8.065000,8.065000,0
2008-01-23,8.104000,8.104000,8.104000,8.104000,8.104000,0
2008-01-24,8.040000,8.040000,8.040000,8.040000,8.040000,0
2008-01-25,8.062500,8.062500,8.062500,8.062500,8.062500,60
2008-01-28,8.092500,8.092500,8.092500,8.092500,8.092500,0
2008-01-29,8.039000,8.039000,8.039000,8.039000,8.039000,94
2008-01-30,8.045500,8.045500,8.045500,8.045500,8.045500,0
2008-01-31,8.065500,8.065500,8.065500,8.065500,8.065500,0
2008-02-01,8.061000,8.061000,8.061000,8.061000,8.061000,0
2008-02-04,8.030500,8.030500,8.030500,8.030500,8.030500,0
2008-02-05,8.072500,8.072500,8.072500,8.072500,8.072500,0
2008-02-06,8.081000,8.081000,8.081000,8.081000,8.081000,0
2008-02-07,8.059000,8.059000,8.059000,8.059000,8.059000,0
2008-02-08,8.047500,8.047500,8.047500,8.047500,8.047500,0
2008-02-11,8.022000,8.022000,8.022000,8.022000,8.022000,0
2008-02-12,7.988500,7.988500,7.988500,7.988500,7.988500,0
2008-02-13,8.002000,8.002000,8.002000,8.002000,8.002000,0
2008-02-14,7.927500,7.927500,7.927500,7.927500,7.927500,0
2008-02-15,7.922500,7.922500,7.922500,7.922500,7.922500,0
2008-02-19,7.946500,7.946500,7.946500,7.946500,7.946500,0
2008-02-20,7.881500,7.881500,7.881500,7.881500,7.881500,0
2008-02-21,7.936000,7.936000,7.936000,7.936000,7.936000,64
2008-02-22,7.940500,7.940500,7.940500,7.940500,7.940500,0
2008-02-25,7.939500,7.939500,7.939500,7.939500,7.939500,0
2008-02-26,8.017500,8.017500,8.017500,8.017500,8.017500,0
2008-02-27,7.872000,7.872000,7.872000,7.872000,7.872000,0
2008-02-28,7.933000,7.933000,7.933000,7.933000,7.933000,0
2008-02-29,7.921000,7.921000,7.921000,7.921000,7.921000,0
2008-03-03,7.923000,7.923000,7.923000,7.923000,7.923000,0
2008-03-04,7.863500,7.863500,7.863500,7.863500,7.863500,0
2008-03-05,7.833000,7.833000,7.833000,7.833000,7.833000,0
2008-03-06,7.884500,7.884500,7.884500,7.884500,7.884500,50
2008-03-07,7.932500,7.932500,7.932500,7.932500,7.932500,100
2008-03-10,0.793300,0.793300,0.793300,7.902500,7.902500,5
2008-03-11,7.895500,7.895500,7.895500,7.895500,7.895500,300
2008-03-12,0.789500,0.789500,0.789500,7.904500,7.904500,150
2008-03-13,7.965500,7.965500,7.965500,7.965500,7.965500,150
2008-03-14,8.010500,8.010500,8.010500,8.010500,8.010500,150
2008-03-17,8.054000,8.054000,8.054000,8.054000,8.054000,0
2008-03-18,8.097000,8.097000,8.097000,8.097000,8.097000,0
2008-03-19,8.093000,8.093000,8.093000,8.093000,8.093000,0
2008-03-20,8.161000,8.161000,8.161000,8.161000,8.161000,0
2008-03-24,8.162000,8.162000,8.162000,8.162000,8.162000,150
2008-03-25,8.115500,8.115500,8.115500,8.115500,8.115500,0
2008-03-26,8.059500,8.059500,8.059500,8.059500,8.059500,0
2008-03-27,8.065500,8.065500,8.065500,8.065500,8.065500,50
2008-03-28,8.092500,8.092500,8.092500,8.092500,8.092500,0
2008-03-31,8.072000,8.072000,8.072000,8.072000,8.072000,0
2008-04-01,8.126500,8.126500,8.126500,8.126500,8.126500,200
2008-04-02,8.385000,8.385000,8.385000,8.385000,8.385000,0
2008-04-03,8.052000,8.052000,8.052000,8.052000,8.052000,0
2008-04-04,8.022000,8.022000,8.022000,8.022000,8.022000,0
2008-04-07,7.981500,7.981500,7.981500,7.981500,7.981500,0
2008-04-08,7.978500,7.978500,7.978500,7.978500,7.978500,0
2008-04-09,7.973000,7.973000,7.973000,7.973000,7.973000,0
2008-04-10,7.958000,7.958000,7.958000,7.958000,7.958000,0
2008-04-11,7.992500,7.992500,7.992500,7.992500,7.992500,0
2008-04-14,7.949000,7.949000,7.949000,7.949000,7.949000,0
2008-04-15,7.941000,7.941000,7.941000,7.941000,7.941000,0
2008-04-16,7.925000,7.925000,7.925000,7.925000,7.925000,0
2008-04-17,7.934500,7.934500,7.934500,7.934500,7.934500,0
2008-04-18,7.971000,7.971000,7.971000,7.971000,7.971000,80
2008-04-21,7.975000,7.975000,7.975000,7.975000,7.975000,0
2008-04-22,7.958500,7.958500,7.958500,7.958500,7.958500,0
2008-04-23,7.965500,7.965500,7.965500,7.965500,7.965500,0
