Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,3.278500,3.341300,3.271700,3.337800,3.337800,0
2008-01-02,3.338100,3.342900,3.304500,3.314100,3.314100,0
2008-01-03,3.313800,3.317700,3.281700,3.285900,3.285900,0
2008-01-04,3.286100,3.292700,3.277500,3.288600,3.288600,0
2008-01-07,3.289400,3.300100,3.275500,3.279800,3.279800,0
2008-01-08,3.279900,3.280400,3.266500,3.272300,3.272300,0
2008-01-09,3.272200,3.272200,3.260000,3.264300,3.264300,0
2008-01-10,3.264100,3.268400,3.250700,3.252900,3.252900,0
2008-01-11,3.252500,3.261400,3.249500,3.257700,3.257700,0
2008-01-14,3.194900,3.257800,3.192100,3.252900,3.252900,0
2008-01-15,3.252400,3.269300,3.249200,3.264300,3.264300,0
2008-01-16,3.264600,3.271200,3.251700,3.263200,3.263200,0
2008-01-17,3.264500,3.288600,3.235900,3.285600,3.285600,0
2008-01-18,3.285400,3.291700,3.256500,3.269500,3.269500,0
2008-01-21,3.228000,3.296700,3.228000,3.296000,3.296000,0
2008-01-22,3.296000,3.303600,3.276100,3.284100,3.284100,0
2008-01-23,3.285200,3.291300,3.266100,3.268300,3.268300,0
2008-01-24,3.268300,3.274100,3.258500,3.262900,3.262900,0
2008-01-25,3.263600,3.270800,3.235000,3.240000,3.240000,0
2008-01-28,3.235600,3.245600,3.234900,3.240600,3.240600,0
2008-01-29,3.240100,3.246400,3.227500,3.235000,3.235000,0
2008-01-30,3.235200,3.238000,3.213600,3.223600,3.223600,0
2008-01-31,3.223500,3.235300,3.207600,3.229400,3.229400,0
2008-02-01,3.228800,3.246200,3.227000,3.245500,3.245500,0
2008-02-04,3.245300,3.246400,3.224500,3.229300,3.229300,0
2008-02-05,3.228600,3.233000,3.221600,3.226700,3.226700,0
2008-02-06,3.226500,3.237400,3.223600,3.236700,3.236700,0
2008-02-07,3.236700,3.239800,3.226500,3.234200,3.234200,0
2008-02-08,3.234200,3.235600,3.205600,3.230000,3.230000,0
2008-02-11,3.224300,3.243500,3.217900,3.242700,3.242700,0
2008-02-12,3.242900,3.242900,3.230500,3.240300,3.240300,0
2008-02-13,3.240900,3.243900,3.230500,3.240100,3.240100,0
2008-02-14,3.239600,3.240500,3.227500,3.231900,3.231900,0
2008-02-15,3.232300,3.234200,3.216000,3.220100,3.220100,0
2008-02-18,3.168200,3.220400,3.164300,3.218600,3.218600,0
2008-02-19,3.219200,3.225500,3.149400,3.224500,3.224500,0
2008-02-20,3.224500,3.228900,3.210100,3.210200,3.210200,0
2008-02-21,3.210200,3.221600,3.208200,3.219300,3.219300,0
2008-02-22,3.219800,3.224100,3.211500,3.215500,3.215500,0
2008-02-25,3.213700,3.218800,3.210500,3.212200,3.212200,0
2008-02-26,3.212100,3.217000,3.179600,3.188600,3.188600,0
2008-02-27,3.188300,3.209000,3.184800,3.205100,3.205100,0
2008-02-28,3.205400,3.209500,3.189900,3.196400,3.196400,0
2008-02-29,3.198300,3.202200,3.182000,3.192800,3.192800,0
2008-03-03,3.190000,3.202700,3.183700,3.196400,3.196400,0
2008-03-04,3.196600,3.199600,3.179500,3.184000,3.184000,0
2008-03-05,3.184100,3.187900,3.175500,3.183200,3.183200,0
2008-03-06,3.183300,3.184100,3.156500,3.159100,3.159100,0
2008-03-07,3.159000,3.172600,3.156800,3.161700,3.161700,0
2008-03-10,3.152800,3.207700,3.152800,3.200000,3.200000,0
2008-03-11,3.199500,3.205500,3.188000,3.198800,3.198800,0
2008-03-12,3.199300,3.199300,3.165700,3.171100,3.171100,0
2008-03-13,3.171900,3.175100,3.146700,3.151200,3.151200,0
2008-03-14,3.150900,3.171000,3.146400,3.161200,3.161200,0
2008-03-17,3.073000,3.073500,3.044500,3.073500,3.073500,0
2008-03-18,3.072700,3.201500,3.070600,3.192900,3.192900,0
2008-03-19,3.192800,3.197100,3.167500,3.177700,3.177700,0
2008-03-20,3.176400,3.191000,3.168300,3.174500,3.174500,0
2008-03-21,3.175400,3.181000,3.078100,3.078100,3.078100,0
2008-03-24,3.181500,3.193900,3.127800,3.175500,3.175500,0
2008-03-25,3.175100,3.203200,3.148600,3.195500,3.195500,0
2008-03-26,3.196000,3.196000,3.173100,3.180700,3.180700,0
2008-03-27,3.181800,3.215100,3.176000,3.204900,3.204900,0
2008-03-28,3.205100,3.213500,3.185400,3.196300,3.196300,0
2008-03-31,3.189800,3.208300,3.183500,3.206800,3.206800,0
2008-04-01,null,null,null,null,null,null
2008-04-02,3.192800,3.198700,3.171600,3.176200,3.176200,0
2008-04-03,3.176000,3.196600,3.175000,3.188100,3.188100,0
2008-04-04,3.188300,3.198900,3.112900,3.193100,3.193100,0
2008-04-07,3.194500,3.208900,3.182500,3.189000,3.189000,0
