Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,5.436300,5.444900,5.417800,5.425400,5.425400,0
2008-01-02,5.423700,5.446400,5.390000,5.399600,5.399600,0
2008-01-03,5.399800,5.405700,5.338700,5.346700,5.346700,0
2008-01-04,5.345800,5.362800,5.305300,5.345400,5.345400,0
2008-01-07,5.332900,5.389700,5.332000,5.370000,5.370000,0
2008-01-08,5.370400,5.374900,5.350000,5.366200,5.366200,0
2008-01-09,5.366200,5.392500,5.353900,5.379000,5.379000,0
2008-01-10,5.378900,5.381600,5.269600,5.278700,5.278700,0
2008-01-11,5.277100,5.296500,5.265000,5.278500,5.278500,0
2008-01-14,5.278600,5.286300,5.250000,5.269000,5.269000,0
2008-01-15,5.266300,5.341000,5.245700,5.329400,5.329400,0
2008-01-16,5.329100,5.443200,5.304600,5.414000,5.414000,0
2008-01-17,5.416100,5.480600,5.395700,5.481100,5.481100,0
2008-01-18,5.480500,5.494600,5.435700,5.475000,5.475000,0
2008-01-21,5.474500,5.576500,5.474500,5.573800,5.573800,0
2008-01-22,5.573500,5.622000,5.463000,5.479700,5.479700,0
2008-01-23,5.481300,5.578400,5.478000,5.501800,5.501800,0
2008-01-24,5.501800,5.520700,5.413100,5.416400,5.416400,0
2008-01-25,5.417700,5.499800,5.403900,5.494900,5.494900,0
2008-01-28,5.481800,5.506800,5.445000,5.447200,5.447200,0
2008-01-29,5.447800,5.468200,5.423400,5.428800,5.428800,0
2008-01-30,5.428200,5.452100,5.397400,5.431100,5.431100,0
2008-01-31,5.431100,5.455500,5.398600,5.407200,5.407200,0
2008-02-01,5.407200,5.443100,5.378700,5.437600,5.437600,0
2008-02-04,5.436700,5.439900,5.393600,5.403900,5.403900,0
2008-02-05,5.403200,5.510800,5.400000,5.510900,5.510900,0
2008-02-06,5.511100,5.529100,5.491800,5.520300,5.520300,0
2008-02-07,5.521100,5.572000,5.502300,5.555400,5.555400,0
2008-02-08,5.555900,5.564900,5.520000,5.532700,5.532700,0
2008-02-11,5.525900,5.548500,5.494200,5.525600,5.525600,0
2008-02-12,5.526000,5.527400,5.463900,5.479200,5.479200,0
2008-02-13,5.483400,5.505100,5.460000,5.467700,5.467700,0
2008-02-14,5.467000,5.468300,5.399200,5.403300,5.403300,0
2008-02-15,5.401900,5.411200,5.375800,5.383100,5.383100,0
2008-02-18,5.378600,5.410700,5.371500,5.388300,5.388300,0
2008-02-19,5.388000,5.390500,5.325800,5.330000,5.330000,0
2008-02-20,5.330300,5.387800,5.327600,5.334900,5.334900,0
2008-02-21,5.336600,5.346000,5.305300,5.316700,5.316700,0
2008-02-22,5.316900,5.328600,5.294400,5.301700,5.301700,0
2008-02-25,5.303900,5.332000,5.300700,5.309200,5.309200,0
