Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,2.461600,2.470400,2.456400,2.461600,2.461600,0
2008-01-02,2.461600,2.466900,2.443600,2.451300,2.451300,0
2008-01-03,2.453100,2.456900,2.431800,2.439500,2.439500,0
2008-01-04,2.439600,2.452200,2.428200,2.441500,2.441500,0
2008-01-07,2.442400,2.461800,2.439300,2.457400,2.457400,0
2008-01-08,2.458900,2.458900,2.432500,2.442200,2.442200,0
2008-01-09,2.442700,2.460600,2.431200,2.451700,2.451700,0
2008-01-10,2.453100,2.453700,2.412700,2.419500,2.419500,0
2008-01-11,2.418900,2.425000,2.411800,2.419000,2.419000,0
2008-01-14,2.411400,2.416200,2.392400,2.400400,2.400400,0
2008-01-15,2.400600,2.420500,2.390100,2.415100,2.415100,0
2008-01-16,2.416300,2.463400,2.403600,2.455100,2.455100,0
2008-01-17,2.454000,2.470300,2.441600,2.468100,2.468100,0
2008-01-18,2.468200,2.484200,2.457700,2.481400,2.481400,0
2008-01-21,2.484700,2.532900,2.484700,2.532100,2.532100,0
2008-01-22,2.531800,2.552500,2.466100,2.472500,2.472500,0
2008-01-23,2.472800,2.505500,2.468300,2.474000,2.474000,0
2008-01-24,2.473600,2.483300,2.439900,2.443500,2.443500,0
2008-01-25,2.443700,2.466500,2.437900,2.462200,2.462200,0
2008-01-28,2.459600,2.468500,2.439900,2.445600,2.445600,0
2008-01-29,2.444700,2.457400,2.439900,2.452300,2.452300,0
2008-01-30,2.450500,2.455000,2.424000,2.434300,2.434300,0
2008-01-31,2.433500,2.444300,2.415000,2.421200,2.421200,0
2008-02-01,2.421100,2.425600,2.405200,2.422500,2.422500,0
2008-02-04,2.422100,2.427400,2.394300,2.401900,2.401900,0
2008-02-05,2.403200,2.456700,2.400300,2.455500,2.455500,0
2008-02-06,2.455500,2.465000,2.446900,2.460000,2.460000,0
2008-02-07,2.461300,2.496200,2.449000,2.486200,2.486200,0
2008-02-08,2.486900,2.501800,2.479800,2.490700,2.490700,0
2008-02-11,2.487000,2.496900,2.477300,2.487200,2.487200,0
2008-02-12,2.487600,2.489700,2.461800,2.472300,2.472300,0
2008-02-13,2.472000,2.479100,2.457100,2.466700,2.466700,0
2008-02-14,2.467000,2.467900,2.443500,2.448300,2.448300,0
2008-02-15,2.448500,2.451500,2.427400,2.432200,2.432200,0
2008-02-18,2.433800,2.445800,2.428600,2.438400,2.438400,0
2008-02-19,2.439000,2.439700,2.415700,2.425500,2.425500,0
2008-02-20,2.424800,2.449000,2.422300,2.426100,2.426100,0
2008-02-21,2.425900,2.430300,2.398900,2.406600,2.406600,0
2008-02-22,2.406400,2.413500,2.396900,2.404900,2.404900,0
2008-02-25,2.403600,2.408000,2.374700,2.379000,2.379000,0
2008-02-26,2.379200,2.391800,2.343400,2.351600,2.351600,0
2008-02-27,2.351700,2.355500,2.318300,2.323800,2.323800,0
2008-02-28,2.323900,2.335100,2.301700,2.309600,2.309600,0
2008-02-29,2.307000,2.328100,2.306400,2.310000,2.310000,0
2008-03-03,2.315900,2.335300,2.302500,2.312400,2.312400,0
2008-03-04,2.308500,2.326300,2.308200,2.312700,2.312700,0
2008-03-05,2.317300,2.327200,2.302400,2.308400,2.308400,0
2008-03-06,2.309300,2.322300,2.296400,2.319500,2.319500,0
2008-03-07,2.320100,2.327600,2.308600,2.318700,2.318700,0
2008-03-10,2.314700,2.327200,2.312300,2.320900,2.320900,0
2008-03-11,2.320900,2.323200,2.280000,2.302100,2.302100,0
2008-03-12,2.302800,2.303100,2.265400,2.271500,2.271500,0
2008-03-13,2.271600,2.278100,2.258600,2.262900,2.262900,0
2008-03-14,2.262500,2.278300,2.253700,2.262600,2.262600,0
2008-03-17,2.248800,2.259100,2.225200,2.241900,2.241900,0
