Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,6.426000,6.475800,6.426000,6.443700,6.443700,0
2008-01-02,6.448800,6.458500,6.390000,6.399300,6.399300,0
2008-01-03,6.400800,6.409300,6.336200,6.343900,6.343900,0
2008-01-04,6.344200,6.378300,6.312400,6.360200,6.360200,0
2008-01-07,6.356200,6.396000,6.350900,6.389800,6.389800,0
2008-01-08,6.388500,6.408900,6.359000,6.403500,6.403500,0
2008-01-09,6.403400,6.433100,6.381800,6.419900,6.419900,0
2008-01-10,6.419800,6.422800,6.322900,6.330700,6.330700,0
2008-01-11,6.328900,6.363600,6.317700,6.347700,6.347700,0
2008-01-14,6.340400,6.347000,6.296800,6.305500,6.305500,0
2008-01-15,6.302100,6.378800,6.292500,6.366900,6.366900,0
2008-01-16,6.366500,6.453800,6.339500,6.429200,6.429200,0
2008-01-17,6.430800,6.456400,6.397300,6.443300,6.443300,0
2008-01-18,6.442900,6.457200,6.417000,6.445600,6.445600,0
2008-01-21,6.448000,6.577500,6.448000,6.576700,6.576700,0
2008-01-22,6.577000,6.643600,6.450200,6.468300,6.468300,0
2008-01-23,6.469300,6.564200,6.462300,6.481800,6.481800,0
2008-01-24,6.480000,6.508100,6.401800,6.403100,6.403100,0
2008-01-25,6.407000,6.469000,6.387200,6.465600,6.465600,0
2008-01-28,6.453300,6.477600,6.383300,6.390200,6.390200,0
2008-01-29,6.390500,6.411700,6.385000,6.396000,6.396000,0
2008-01-30,6.392200,6.405200,6.322700,6.364000,6.364000,0
2008-01-31,6.363600,6.397400,6.322100,6.364500,6.364500,0
2008-02-01,6.367600,6.389400,6.329600,6.358500,6.358500,0
2008-02-04,6.363300,6.369000,6.324000,6.336700,6.336700,0
2008-02-05,6.336400,6.456500,6.327800,6.454700,6.454700,0
2008-02-06,6.454000,6.484000,6.419400,6.442600,6.442600,0
2008-02-07,6.443100,6.528900,6.428300,6.515600,6.515600,0
2008-02-08,6.514300,6.525900,6.477700,6.489400,6.489400,0
2008-02-11,6.478300,6.511600,6.456500,6.494700,6.494700,0
2008-02-12,6.494800,6.494900,6.426300,6.442000,6.442000,0
2008-02-13,6.446600,6.474800,6.399000,6.413300,6.413300,0
2008-02-14,6.412100,6.415100,6.367000,6.369100,6.369100,0
2008-02-15,6.366600,6.375200,6.324500,6.335200,6.335200,0
2008-02-18,6.329300,6.362000,6.318000,6.355800,6.355800,0
2008-02-19,6.355900,6.357200,6.306000,6.319200,6.319200,0
2008-02-20,6.320700,6.367200,6.316800,6.319900,6.319900,0
2008-02-21,6.319600,6.327800,6.272500,6.282800,6.282800,0
2008-02-22,6.281900,6.293100,6.259600,6.273700,6.273700,0
2008-02-25,6.272000,6.291400,6.267100,6.271600,6.271600,0
2008-02-26,6.271600,6.292300,6.185200,6.201300,6.201300,0
2008-02-27,6.201500,6.215900,6.162400,6.192100,6.192100,0
2008-02-28,6.190000,6.214600,6.144000,6.159300,6.159300,0
2008-02-29,6.159000,6.196100,6.148300,6.164800,6.164800,0
2008-03-03,6.155000,6.183000,6.128600,6.146900,6.146900,0
2008-03-04,6.148700,6.166700,6.139600,6.145700,6.145700,0
2008-03-05,6.146100,6.178500,6.108600,6.108100,6.108100,0
2008-03-06,6.108800,6.115100,6.089800,6.099700,6.099700,0
2008-03-07,6.097800,6.138200,6.080000,6.114100,6.114100,0
2008-03-10,6.105000,6.133200,6.103900,6.128300,6.128300,0
2008-03-11,6.127200,6.142800,6.066800,6.119600,6.119600,0
2008-03-12,6.120500,6.120500,6.055000,6.066700,6.066700,0
2008-03-13,6.067600,6.074200,6.022600,6.031900,6.031900,0
2008-03-14,6.030900,6.080600,6.024700,6.028400,6.028400,0
2008-03-17,6.004900,6.038300,5.947100,6.012500,6.012500,0
2008-03-18,6.012000,6.034800,5.970300,6.015600,6.015600,0
2008-03-19,6.012900,6.026800,5.977700,6.014700,6.014700,0
2008-03-20,6.013900,6.119000,6.013200,6.095600,6.095600,0
2008-03-21,6.093500,6.107700,6.082300,6.103000,6.103000,0
2008-03-24,6.111200,6.136500,6.100000,6.110000,6.110000,0
2008-03-25,6.108000,6.120400,6.008000,6.026800,6.026800,0
2008-03-26,6.025200,6.035300,5.936000,5.956000,5.956000,0
2008-03-27,5.957600,5.980200,5.936000,5.942200,5.942200,0
2008-03-28,5.943000,5.965400,5.919400,5.945400,5.945400,0
2008-03-31,5.949000,5.958100,5.910000,5.949000,5.949000,0
2008-04-01,null,null,null,null,null,null
2008-04-02,6.014100,6.043000,5.960100,5.967100,5.967100,0
2008-04-03,5.963700,6.022600,5.955200,5.971000,5.971000,0
2008-04-04,5.972500,5.979600,5.939800,5.954800,5.954800,0
2008-04-07,5.956200,5.993500,5.945500,5.962700,5.962700,0
2008-04-08,5.962800,5.972300,5.925500,5.970000,5.970000,0
2008-04-09,5.969400,5.970000,5.909100,5.929600,5.929600,0
2008-04-10,5.929000,5.971000,5.903600,5.963000,5.963000,0
2008-04-11,5.960000,5.970200,5.920300,5.970200,5.970200,0
2008-04-14,5.991900,6.001700,5.915000,5.938800,5.938800,0
2008-04-15,5.938700,5.970400,5.929000,5.941600,5.941600,0
2008-04-16,5.942000,5.949000,5.876800,5.882100,5.882100,0
2008-04-17,5.881200,5.933000,5.876500,5.923600,5.923600,0
2008-04-18,5.922300,5.983800,5.896100,5.947200,5.947200,0
2008-04-21,5.949500,5.953100,5.880100,5.886800,5.886800,0
2008-04-22,5.886600,5.912600,5.831900,5.838200,5.838200,0
2008-04-23,5.838300,5.883900,5.818800,5.878600,5.878600,0
2008-04-24,5.878400,5.959900,5.870000,5.939200,5.939200,0
2008-04-25,5.939000,6.001800,5.929000,5.980500,5.980500,0
2008-04-28,5.992800,5.994100,5.962100,5.977700,5.977700,0
2008-04-29,5.977900,6.021300,5.969400,6.014700,6.014700,0
2008-04-30,6.013000,6.030700,5.965100,5.973000,5.973000,0
2008-05-01,null,null,null,null,null,null
2008-05-02,6.035800,6.081000,6.027800,6.062700,6.062700,0
2008-05-05,6.054000,6.056900,6.027100,6.041800,6.041800,0
2008-05-06,6.041900,6.051300,5.986100,6.005600,6.005600,0
2008-05-07,6.006800,6.060500,5.999100,6.062100,6.062100,0
2008-05-08,6.060200,6.096700,6.024000,6.029300,6.029300,0
2008-05-09,6.032400,6.037200,5.985400,5.989700,5.989700,0
2008-05-12,5.999300,6.034000,5.961600,5.975700,5.975700,0
2008-05-13,5.976200,6.014100,5.962100,6.002900,6.002900,0
2008-05-14,6.002900,6.040900,5.998700,6.019800,6.019800,0
2008-05-15,6.019700,6.050500,5.990300,6.034200,6.034200,0
2008-05-16,6.033700,6.041500,5.966900,5.981700,5.981700,0
2008-05-19,5.976700,5.996200,5.947300,5.980200,5.980200,0
2008-05-20,5.980600,5.988600,5.910800,5.934600,5.934600,0
2008-05-21,5.937000,5.947100,5.892300,5.898500,5.898500,0
2008-05-22,5.895300,5.937300,5.891900,5.913200,5.913200,0
2008-05-23,5.917000,5.930500,5.887000,5.889000,5.889000,0
2008-05-26,5.900000,5.913500,5.888200,5.902400,5.902400,0
2008-05-27,5.899800,5.937000,5.882200,5.927100,5.927100,0
2008-05-28,5.927800,5.985900,5.903700,5.966600,5.966600,0
2008-05-29,5.967300,6.017500,5.960900,6.008600,6.008600,0
2008-05-30,6.008300,6.043300,5.990300,5.998800,5.998800,0
2008-06-02,5.996700,6.044900,5.995100,6.030800,6.030800,0
2008-06-03,6.030200,6.055600,5.977500,6.038700,6.038700,0
2008-06-04,6.040600,6.056700,6.025000,6.047000,6.047000,0
2008-06-05,6.042200,6.062100,5.969300,5.975900,5.975900,0
2008-06-06,5.975400,5.986100,5.902900,5.902900,5.902900,0
2008-06-09,5.904200,5.981000,5.893500,5.964900,5.964900,0
2008-06-10,5.960400,6.064400,5.960400,6.056300,6.056300,0
2008-06-11,6.055500,6.059000,6.013400,6.028000,6.028000,0
2008-06-12,6.027400,6.097200,6.022600,6.065600,6.065600,0
2008-06-13,6.071100,6.121700,6.061600,6.081700,6.081700,0
2008-06-16,6.081000,6.101400,6.022400,6.031600,6.031600,0
2008-06-17,6.031000,6.048300,6.000400,6.042000,6.042000,0
2008-06-18,6.042000,6.068000,6.031500,6.039900,6.039900,0
2008-06-19,6.040100,6.077700,6.020000,6.056100,6.056100,0
2008-06-20,6.055200,6.061200,6.004500,6.024200,6.024200,0
2008-06-23,6.031000,6.077400,6.019300,6.052900,6.052900,0
2008-06-24,6.048600,6.063100,6.017000,6.047100,6.047100,0
2008-06-25,6.046700,6.058500,5.995100,5.997700,5.997700,0
2008-06-26,5.998000,6.015200,5.964800,5.970600,5.970600,0
2008-06-27,5.971900,5.986900,5.959300,5.970700,5.970700,0
2008-06-30,5.972300,6.028200,5.958000,6.014600,6.014600,0
2008-07-01,null,null,null,null,null,null
2008-07-02,5.978200,5.992500,5.960100,5.971000,5.971000,0
2008-07-03,5.969600,6.002000,5.941600,5.993900,5.993900,0
2008-07-04,5.993700,6.005400,5.969600,5.975100,5.975100,0
2008-07-07,5.973600,6.020400,5.969600,5.986100,5.986100,0
2008-07-08,5.987200,6.033800,5.978700,6.014100,6.014100,0
2008-07-09,6.012100,6.036100,5.990600,6.006100,6.006100,0
2008-07-10,6.006200,6.016400,5.988700,5.991600,5.991600,0
2008-07-11,5.991600,6.006100,5.934400,5.937200,5.937200,0
2008-07-14,5.944100,5.979800,5.937100,5.970300,5.970300,0
2008-07-15,5.970500,5.972700,5.918000,5.959700,5.959700,0
2008-07-16,5.959400,6.020100,5.949600,6.007900,6.007900,0
2008-07-17,6.009000,6.015500,5.956700,5.966100,5.966100,0
2008-07-18,5.966100,5.989600,5.954400,5.957500,5.957500,0
2008-07-21,5.964100,5.969000,5.926300,5.936400,5.936400,0
2008-07-22,5.936000,6.007300,5.925600,5.988000,5.988000,0
2008-07-23,5.988500,6.037500,5.979800,6.026500,6.026500,0
2008-07-24,6.026800,6.053600,6.019600,6.034400,6.034400,0
2008-07-25,6.034600,6.044800,6.002800,6.026700,6.026700,0
2008-07-28,6.023500,6.032600,5.992100,6.011400,6.011400,0
2008-07-29,6.013400,6.087600,5.996500,6.070800,6.070800,0
2008-07-30,6.072100,6.082600,6.050900,6.062100,6.062100,0
2008-07-31,6.058800,6.066700,6.026200,6.049200,6.049200,0
2008-08-01,null,null,null,null,null,null
2008-08-04,null,null,null,null,null,null
2008-08-05,null,null,null,null,null,null
2008-08-06,null,null,null,null,null,null
2008-08-07,null,null,null,null,null,null
2008-08-08,null,null,null,null,null,null
2008-08-11,null,null,null,null,null,null
2008-08-12,null,null,null,null,null,null
2008-08-13,null,null,null,null,null,null
2008-08-14,null,null,null,null,null,null
2008-08-15,null,null,null,null,null,null
2008-08-18,null,null,null,null,null,null
2008-08-19,null,null,null,null,null,null
2008-08-20,null,null,null,null,null,null
2008-08-21,null,null,null,null,null,null
2008-08-22,null,null,null,null,null,null
2008-08-25,null,null,null,null,null,null
2008-08-26,6.404100,6.429100,6.381100,6.400400,6.400400,0
2008-08-27,6.398400,6.413500,6.353900,6.382900,6.382900,0
2008-08-28,6.384900,6.421600,6.348600,6.404400,6.404400,0
2008-08-29,6.403800,6.459500,6.385400,6.445300,6.445300,0
2008-09-01,6.445100,6.494200,6.430600,6.488100,6.488100,0
2008-09-02,6.487700,6.538100,6.478400,6.508500,6.508500,0
2008-09-03,6.509000,6.583800,6.500500,6.543500,6.543500,0
2008-09-04,6.546000,6.661600,6.516700,6.641500,6.641500,0
2008-09-05,6.638500,6.677800,6.604500,6.631300,6.631300,0
2008-09-08,6.590100,6.735700,6.542100,6.678100,6.678100,0
2008-09-09,6.677900,6.754400,6.662800,6.732000,6.732000,0
2008-09-10,6.734000,6.807900,6.713500,6.795400,6.795400,0
2008-09-11,6.796600,6.862600,6.782400,6.803000,6.803000,0
2008-09-12,6.803300,6.812100,6.684100,6.690300,6.690300,0
2008-09-15,6.660200,6.786300,6.582700,6.754600,6.754600,0
2008-09-16,6.757700,6.837400,6.736000,6.810600,6.810600,0
2008-09-17,6.806000,6.830100,6.683100,6.716900,6.716900,0
2008-09-18,6.716000,6.740800,6.607200,6.697000,6.697000,0
2008-09-19,6.698000,6.764300,6.588400,6.600600,6.600600,0
2008-09-22,6.607500,6.620700,6.450600,6.495800,6.495800,0
2008-09-23,6.495800,6.582700,6.461200,6.545800,6.545800,0
2008-09-24,6.545400,6.620800,6.531900,6.606900,6.606900,0
2008-09-25,6.610500,6.615500,6.536100,6.584400,6.584400,0
2008-09-26,6.584300,6.652900,6.566200,6.636800,6.636800,0
2008-09-29,6.651900,6.801500,6.647000,6.784400,6.784400,0
2008-09-30,6.785900,6.979200,6.764700,6.911000,6.911000,0
2008-10-01,6.911500,6.962900,6.860000,6.945900,6.945900,0
2008-10-02,6.946700,7.056300,6.905000,7.036500,7.036500,0
2008-10-03,7.037000,7.072700,6.982400,7.054400,7.054400,0
2008-10-06,7.118600,7.256800,7.106300,7.200000,7.200000,0
2008-10-07,7.201000,7.223700,7.009500,7.131200,7.131200,0
2008-10-08,7.130600,7.176800,7.032800,7.094900,7.094900,0
2008-10-09,7.095400,7.131000,7.007000,7.116300,7.116300,0
2008-10-10,7.116100,7.285400,7.074400,7.213400,7.213400,0
2008-10-13,7.076600,7.200800,7.030500,7.108100,7.108100,0
2008-10-14,7.107800,7.200400,7.029800,7.188000,7.188000,0
2008-10-15,7.190000,7.552600,7.165000,7.521900,7.521900,0
2008-10-16,7.521500,7.607000,7.360900,7.404400,7.404400,0
2008-10-17,7.412700,7.526600,7.349800,7.421300,7.421300,0
2008-10-20,7.404300,7.500500,7.272200,7.472700,7.472700,0
2008-10-21,7.475400,7.776600,7.430500,7.763700,7.763700,0
2008-10-22,7.766800,7.932600,7.731500,7.839100,7.839100,0
2008-10-23,7.834100,7.938700,7.626900,7.662800,7.662800,0
2008-10-24,7.665400,8.021401,7.655600,7.928700,7.928700,0
2008-10-27,7.894400,8.171700,7.856600,8.023300,8.023300,0
2008-10-28,8.023200,8.076300,7.712000,7.721600,7.721600,0
2008-10-29,7.725900,7.807400,7.586200,7.601100,7.601100,0
2008-10-30,7.589500,7.733100,7.385800,7.623600,7.623600,0
2008-10-31,7.620300,7.809300,7.620300,7.760800,7.760800,0
2008-11-03,7.725700,7.827600,7.615100,7.798000,7.798000,0
2008-11-04,7.797200,7.860800,7.575200,7.609800,7.609800,0
2008-11-05,7.610000,7.813400,7.608200,7.800600,7.800600,0
2008-11-06,7.798300,7.938400,7.746300,7.928000,7.928000,0
2008-11-07,7.925100,7.944200,7.780300,7.917400,7.917400,0
2008-11-10,7.831600,7.861000,7.702700,7.846000,7.846000,0
2008-11-11,7.844000,8.089100,7.792400,8.065700,8.065700,0
2008-11-12,8.055200,8.138200,7.952400,8.110000,8.110000,0
2008-11-13,8.110000,8.184800,7.783200,7.805400,7.805400,0
2008-11-14,7.809300,7.977100,7.795700,7.960600,7.960600,0
2008-11-17,8.029500,8.041900,7.867600,8.012300,8.012300,0
2008-11-18,8.004000,8.089000,7.984000,8.020800,8.020800,0
2008-11-19,8.021401,8.201500,7.919300,8.184000,8.184000,0
2008-11-20,8.178600,8.340800,8.127900,8.318600,8.318600,0
2008-11-21,8.317900,8.507300,8.128400,8.358000,8.358000,0
2008-11-24,8.291800,8.359000,7.925400,7.952000,7.952000,0
2008-11-25,7.951100,8.079100,7.818600,7.899500,7.899500,0
2008-11-26,7.899800,8.080100,7.891200,8.007500,8.007500,0
2008-11-27,8.007000,8.011300,7.924000,7.966900,7.966900,0
2008-11-28,7.966700,8.162300,7.935300,8.102900,8.102900,0
2008-12-01,8.122501,8.338700,8.076900,8.319200,8.319200,0
2008-12-02,8.319600,8.404200,8.145001,8.205600,8.205600,0
2008-12-03,8.208100,8.329900,8.175800,8.197200,8.197200,0
2008-12-04,8.197600,8.390500,8.172700,8.241800,8.241800,0
2008-12-05,8.240800,8.512100,8.240800,8.319100,8.319100,0
2008-12-08,8.308700,8.319000,8.019700,8.063900,8.063900,0
2008-12-09,8.064600,8.207600,8.046200,8.187000,8.187000,0
