Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,1.439000,1.439700,1.438500,1.439600,1.439600,0
2008-01-02,1.439800,1.441100,1.436800,1.438550,1.438550,0
2008-01-03,1.438600,1.439300,1.432100,1.434000,1.434000,0
2008-01-04,1.434300,1.435000,1.430500,1.433300,1.433300,0
2008-01-07,1.433950,1.436500,1.433200,1.434250,1.434250,0
2008-01-08,1.434300,1.434450,1.430500,1.432650,1.432650,0
2008-01-09,1.432700,1.433400,1.429600,1.431150,1.431150,0
2008-01-10,1.431300,1.432800,1.428500,1.428200,1.428200,0
2008-01-11,1.428050,1.433600,1.426000,1.433100,1.433100,0
2008-01-14,1.431300,1.431900,1.427800,1.428800,1.428800,0
2008-01-15,1.428900,1.432000,1.426530,1.431300,1.431300,0
2008-01-16,1.431300,1.432000,1.426200,1.430300,1.430300,0
2008-01-17,1.430100,1.441400,1.428300,1.439400,1.439400,0
2008-01-18,1.439300,1.440800,1.433200,1.438400,1.438400,0
2008-01-21,1.438000,1.450400,1.437800,1.450100,1.450100,0
2008-01-22,1.450400,1.453800,1.433750,1.435400,1.435400,0
2008-01-23,1.435500,1.440000,1.428950,1.429800,1.429800,0
2008-01-24,1.429800,1.433100,1.425500,1.426700,1.426700,0
2008-01-25,1.426600,1.426950,1.420400,1.424300,1.424300,0
2008-01-28,1.423300,1.424150,1.420030,1.420400,1.420400,0
2008-01-29,1.420300,1.423000,1.417400,1.421000,1.421000,0
2008-01-30,1.421000,1.421250,1.416800,1.419550,1.419550,0
2008-01-31,1.419600,1.419750,1.415900,1.417000,1.417000,0
2008-02-01,1.416600,1.416800,1.412700,1.413400,1.413400,0
2008-02-04,1.414400,1.415400,1.413400,1.413700,1.413700,0
2008-02-05,1.413600,1.421400,1.413200,1.420100,1.420100,0
2008-02-06,1.420400,1.421500,1.414300,1.416400,1.416400,0
2008-02-07,1.416500,1.418600,1.414600,1.417100,1.417100,0
2008-02-08,1.416800,1.420600,1.416500,1.416800,1.416800,0
2008-02-11,1.417700,1.419400,1.416000,1.417800,1.417800,0
2008-02-12,1.417900,1.419500,1.414200,1.415800,1.415800,0
2008-02-13,1.415900,1.419400,1.414800,1.418400,1.418400,0
2008-02-14,1.418500,1.421000,1.415600,1.417600,1.417600,0
2008-02-15,1.417800,1.417800,1.410900,1.411800,1.411800,0
2008-02-18,1.411900,1.412500,1.410400,1.411500,1.411500,0
2008-02-19,1.411600,1.413600,1.410000,1.411700,1.411700,0
2008-02-20,1.411400,1.414800,1.410100,1.410500,1.410500,0
2008-02-21,1.410500,1.411000,1.409100,1.409800,1.409800,0
2008-02-22,1.409800,1.409800,1.404900,1.405300,1.405300,0
2008-02-25,1.406200,1.406800,1.404600,1.405000,1.405000,0
2008-02-26,1.405400,1.406000,1.401800,1.401900,1.401900,0
2008-02-27,1.401800,1.401800,1.395100,1.395700,1.395700,0
2008-02-28,1.395800,1.397800,1.392100,1.392200,1.392200,0
2008-02-29,1.392200,1.395400,1.391300,1.395100,1.395100,0
2008-03-03,1.395700,1.397600,1.389300,1.391200,1.391200,0
2008-03-04,1.391200,1.391500,1.387500,1.389400,1.389400,0
2008-03-05,1.389200,1.391400,1.388300,1.388700,1.388700,0
2008-03-06,1.388500,1.389200,1.384100,1.388500,1.388500,0
2008-03-07,1.388300,1.390400,1.382300,1.385800,1.385800,0
2008-03-10,1.387900,1.389400,1.385300,1.388800,1.388800,0
2008-03-11,1.389100,1.392100,1.385500,1.388200,1.388200,0
2008-03-12,1.388000,1.388500,1.382300,1.383100,1.383100,0
2008-03-13,1.382700,1.383700,1.377800,1.378400,1.378400,0
2008-03-14,1.378400,1.385500,1.376200,1.378500,1.378500,0
2008-03-17,1.377900,1.387500,1.377900,1.381800,1.381800,0
2008-03-18,1.381500,1.383400,1.373700,1.376300,1.376300,0
2008-03-19,1.376000,1.391000,1.376000,1.389800,1.389800,0
2008-03-20,1.389700,1.391400,1.385000,1.389600,1.389600,0
2008-03-21,1.390200,1.390200,1.384500,1.384500,1.384500,0
2008-03-24,1.387100,1.393600,1.386900,1.387700,1.387700,0
2008-03-25,1.387400,1.388100,1.379800,1.380600,1.380600,0
2008-03-26,1.380600,1.383100,1.377200,1.378600,1.378600,0
2008-03-27,1.378600,1.382400,1.377200,1.379600,1.379600,0
2008-03-28,1.379500,1.382100,1.377700,1.381600,1.381600,0
2008-03-31,1.381200,1.382300,1.375100,1.378100,1.378100,0
2008-04-01,null,null,null,null,null,null
2008-04-02,1.377500,1.383500,1.377500,1.379600,1.379600,0
2008-04-03,1.379400,1.388400,1.378600,1.384300,1.384300,0
2008-04-04,1.384000,1.385300,1.379800,1.380500,1.380500,0
2008-04-07,1.380700,1.383100,1.379700,1.380400,1.380400,0
2008-04-08,1.380500,1.381300,1.377900,1.379400,1.379400,0
