Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,13334.000000,13376.000000,13050.000000,13136.000000,13136.000000,166143
2008-01-03,13148.000000,13194.000000,13078.000000,13143.000000,13143.000000,126546
2008-01-04,13137.000000,13181.000000,12842.000000,12887.000000,12887.000000,182015
2008-01-07,12888.000000,12956.000000,12782.000000,12878.000000,12878.000000,205987
2008-01-08,12870.000000,12958.000000,12615.000000,12651.000000,12651.000000,243424
2008-01-09,12642.000000,12794.000000,12550.000000,12745.000000,12745.000000,260541
2008-01-10,12775.000000,12984.000000,12677.000000,12844.000000,12844.000000,271660
2008-01-11,12835.000000,12839.000000,12590.000000,12661.000000,12661.000000,271660
2008-01-14,12661.000000,12834.000000,12590.000000,12798.000000,12798.000000,271660
2008-01-15,12798.000000,12807.000000,12524.000000,12564.000000,12564.000000,271660
2008-01-16,12520.000000,12643.000000,12419.000000,12490.000000,12490.000000,271660
2008-01-17,12486.000000,12585.000000,12154.000000,12216.000000,12216.000000,271660
2008-01-18,12221.000000,12384.000000,12051.000000,12106.000000,12106.000000,271660
2008-01-22,12106.000000,12143.000000,11456.000000,11951.000000,11951.000000,271660
2008-01-23,11967.000000,12300.000000,11635.000000,12272.000000,12272.000000,326465
2008-01-24,12271.000000,12405.000000,12184.000000,12365.000000,12365.000000,206536
2008-01-25,12382.000000,12490.000000,12190.000000,12236.000000,12236.000000,203428
2008-01-28,12241.000000,12399.000000,12083.000000,12377.000000,12377.000000,183631
2008-01-29,12362.000000,12504.000000,12339.000000,12471.000000,12471.000000,138064
2008-01-30,12471.000000,12678.000000,12356.000000,12394.000000,12394.000000,212190
2008-01-31,12390.000000,12698.000000,12239.000000,12614.000000,12614.000000,248859
2008-02-01,12616.000000,12781.000000,12589.000000,12756.000000,12756.000000,174653
2008-02-04,12756.000000,12778.000000,12603.000000,12612.000000,12612.000000,115490
2008-02-05,12615.000000,12623.000000,12261.000000,12320.000000,12320.000000,205095
