Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,0.106200,0.106500,0.106100,0.107300,0.107300,155
2008-01-03,0.106200,0.112900,0.105300,0.111400,0.111400,125
2008-01-04,0.112800,0.114800,0.111300,0.113200,0.113200,167
2008-01-06,null,null,null,null,null,null
2008-01-07,0.113000,0.114600,0.113000,0.113700,0.113700,109
2008-01-08,0.112200,0.112200,0.111700,0.113700,0.113700,238
2008-01-09,0.112100,0.113900,0.111700,0.114500,0.114500,128
2008-01-10,0.114700,0.114700,0.114700,0.113900,0.113900,123
2008-01-11,0.114700,0.117400,0.110900,0.113200,0.113200,177
2008-01-13,null,null,null,null,null,null
2008-01-14,0.113700,0.115600,0.110900,0.114700,0.114700,113
2008-01-15,0.113500,0.117200,0.113500,0.114700,0.114700,247
2008-01-16,0.114900,0.121100,0.112200,0.117700,0.117700,243
2008-01-17,0.119000,0.119000,0.119000,0.124500,0.124500,217
2008-01-18,0.119000,0.132500,0.119000,0.119900,0.119900,217
2008-01-20,null,null,null,null,null,null
2008-01-22,0.111100,0.112600,0.111100,0.115500,0.115500,248
2008-01-23,0.111100,0.119400,0.110900,0.114300,0.114300,58
2008-01-24,0.110900,0.113700,0.110900,0.114700,0.114700,47
2008-01-25,0.110900,0.121200,0.110900,0.119400,0.119400,139
2008-01-27,null,null,null,null,null,null
2008-01-28,0.116200,0.126200,0.112400,0.122400,0.122400,180
2008-01-29,0.124000,0.127200,0.118800,0.122000,0.122000,245
2008-01-30,0.122800,0.128000,0.121200,0.124200,0.124200,152
2008-01-31,0.123400,0.125600,0.120200,0.123600,0.123600,173
2008-02-01,0.124300,0.125500,0.120800,0.123500,0.123500,88
2008-02-03,null,null,null,null,null,null
2008-02-04,0.119700,0.124800,0.119100,0.121700,0.121700,93
2008-02-05,0.122800,0.122800,0.118200,0.118600,0.118600,197
2008-02-06,0.118100,0.122700,0.117200,0.121100,0.121100,310
2008-02-07,0.116500,0.116500,0.114000,0.119800,0.119800,118
2008-02-08,0.116500,0.128200,0.114000,0.127100,0.127100,253
2008-02-10,null,null,null,null,null,null
2008-02-11,0.124100,0.129500,0.124100,0.126600,0.126600,191
2008-02-12,0.128900,0.128900,0.123100,0.123600,0.123600,229
2008-02-13,0.124100,0.128300,0.123200,0.127500,0.127500,266
2008-02-14,0.127900,0.133000,0.126800,0.131000,0.131000,95
2008-02-15,0.131300,0.136300,0.129700,0.132600,0.132600,95
2008-02-17,null,null,null,null,null,null
2008-02-19,0.134900,0.137500,0.134700,0.136200,0.136200,317
2008-02-20,0.138900,0.139800,0.134100,0.136400,0.136400,85
2008-02-21,0.132800,0.141100,0.132800,0.140000,0.140000,74
2008-02-22,0.137600,0.139600,0.137000,0.137800,0.137800,47
2008-02-24,null,null,null,null,null,null
2008-02-25,0.137700,0.138800,0.136100,0.137100,0.137100,134
2008-02-26,0.138000,0.142200,0.137800,0.140500,0.140500,30
2008-02-27,0.142900,0.144500,0.138700,0.141100,0.141100,16
2008-02-28,0.139200,0.142500,0.139200,0.140800,0.140800,8
2008-02-29,0.143500,0.144400,0.141700,0.142700,0.142700,236
2008-03-02,null,null,null,null,null,null
2008-03-03,0.148400,0.151200,0.147200,0.150200,0.150200,270
2008-03-04,0.154500,0.154500,0.140300,0.143600,0.143600,442
2008-03-05,0.143000,0.143000,0.143000,0.145500,0.145500,136
2008-03-06,0.143000,0.146100,0.135000,0.136000,0.136000,393
2008-03-07,0.134400,0.137800,0.127500,0.133600,0.133600,771
2008-03-09,null,null,null,null,null,null
2008-03-10,0.130000,0.132700,0.126200,0.130400,0.130400,297
2008-03-11,0.131000,0.136100,0.130800,0.134500,0.134500,418
2008-03-12,0.127000,0.134500,0.127000,0.131600,0.131600,175
2008-03-13,0.138400,0.138600,0.138400,0.135900,0.135900,244
2008-03-14,0.138400,0.138600,0.131500,0.135400,0.135400,237
2008-03-16,null,null,null,null,null,null
2008-03-17,0.132000,0.133100,0.118600,0.120900,0.120900,387
2008-03-18,0.116500,0.124500,0.116500,0.122800,0.122800,328
2008-03-19,0.122800,0.122800,0.098000,0.117500,0.117500,358
2008-03-20,0.110300,0.119300,0.110300,0.118900,0.118900,482
2008-03-23,null,null,null,null,null,null
2008-03-24,0.117800,0.120600,0.116600,0.119200,0.119200,104
2008-03-25,0.123300,0.125600,0.119400,0.121400,0.121400,263
2008-03-26,0.122600,0.124500,0.122000,0.122400,0.122400,316
2008-03-27,0.122400,0.122600,0.119700,0.121300,0.121300,121
2008-03-28,0.120000,0.120500,0.116900,0.117300,0.117300,103
2008-03-30,null,null,null,null,null,null
2008-03-31,0.117000,0.120600,0.115600,0.116900,0.116900,185
2008-04-01,0.116700,0.117400,0.112700,0.115200,0.115200,92
2008-04-02,0.114200,0.118500,0.114200,0.117700,0.117700,75
2008-04-03,0.120700,0.120700,0.117100,0.118100,0.118100,63
2008-04-04,0.118500,0.119500,0.114100,0.115700,0.115700,123
2008-04-06,null,null,null,null,null,null
2008-04-07,0.117700,0.122200,0.116800,0.121200,0.121200,95
2008-04-08,0.124900,0.124900,0.118100,0.118800,0.118800,78
2008-04-09,0.114400,0.125300,0.114400,0.124000,0.124000,212
2008-04-10,0.125900,0.128000,0.119700,0.125200,0.125200,254
2008-04-11,0.124800,0.125500,0.123300,0.123400,0.123400,58
2008-04-13,null,null,null,null,null,null
2008-04-14,0.124400,0.126100,0.121200,0.123700,0.123700,72
2008-04-15,0.125900,0.128900,0.124900,0.126700,0.126700,170
2008-04-16,0.126500,0.129400,0.125000,0.126500,0.126500,128
2008-04-17,0.127600,0.128000,0.125400,0.125700,0.125700,50
2008-04-18,0.125400,0.125400,0.121000,0.124500,0.124500,38
2008-04-20,null,null,null,null,null,null
2008-04-21,0.124600,0.124600,0.118100,0.118300,0.118300,132
2008-04-22,0.119200,0.121700,0.118400,0.121300,0.121300,54
2008-04-23,0.119400,0.119600,0.118000,0.118900,0.118900,8
2008-04-24,0.117600,0.117900,0.114100,0.115000,0.115000,102
2008-04-25,0.120300,0.120300,0.112700,0.113700,0.113700,15
2008-04-27,null,null,null,null,null,null
2008-04-28,0.115600,0.133500,0.103800,0.105800,0.105800,38
2008-04-29,0.105000,0.109000,0.095400,0.101600,0.101600,37
2008-04-30,0.105000,0.106600,0.103000,0.106500,0.106500,40
2008-05-01,0.119000,0.120900,0.111800,0.113500,0.113500,185
2008-05-02,0.113000,0.115000,0.112100,0.114900,0.114900,51
2008-05-04,null,null,null,null,null,null
2008-05-05,0.114700,0.115800,0.113300,0.114800,0.114800,44
2008-05-06,0.115400,0.118500,0.114200,0.118200,0.118200,62
2008-05-07,0.118100,0.118100,0.113400,0.117300,0.117300,40
2008-05-08,0.117300,0.119300,0.112400,0.114600,0.114600,46
2008-05-09,0.114500,0.117700,0.114500,0.116100,0.116100,35
2008-05-11,null,null,null,null,null,null
2008-05-12,0.115700,0.117400,0.115100,0.116500,0.116500,17
2008-05-13,0.116100,0.116100,0.108100,0.111600,0.111600,80
2008-05-14,0.110800,0.110800,0.107600,0.110500,0.110500,32
2008-05-15,0.110200,0.112200,0.109600,0.110000,0.110000,101
2008-05-16,0.110000,0.112600,0.110000,0.111300,0.111300,42
2008-05-18,null,null,null,null,null,null
2008-05-19,0.112900,0.113400,0.105300,0.108600,0.108600,83
2008-05-20,0.108600,0.113000,0.105200,0.106300,0.106300,99
2008-05-21,0.107200,0.107900,0.105700,0.106000,0.106000,56
2008-05-22,0.105200,0.106800,0.102700,0.104300,0.104300,31
2008-05-23,0.103100,0.103100,0.100000,0.100100,0.100100,31
2008-05-25,null,null,null,null,null,null
2008-05-27,0.100000,0.101800,0.098200,0.100700,0.100700,44
2008-05-28,0.101000,0.104200,0.100300,0.101100,0.101100,67
2008-05-29,0.100500,0.101800,0.098100,0.099700,0.099700,79
2008-05-30,0.099000,0.100300,0.098900,0.100200,0.100200,25
2008-06-01,null,null,null,null,null,null
2008-06-02,0.101100,0.105800,0.099800,0.103100,0.103100,104
2008-06-03,0.103300,0.103300,0.096600,0.097100,0.097100,90
2008-06-04,0.096400,0.099200,0.094800,0.095200,0.095200,100
2008-06-05,0.095000,0.099100,0.094000,0.095600,0.095600,92
2008-06-06,0.098100,0.101400,0.096800,0.097400,0.097400,80
2008-06-08,null,null,null,null,null,null
2008-06-09,0.098400,0.100100,0.097000,0.097000,0.097000,20
2008-06-10,0.097600,0.098600,0.097100,0.098000,0.098000,13
2008-06-11,0.101000,0.106500,0.101000,0.105900,0.105900,61
2008-06-12,0.105300,0.106600,0.102000,0.104100,0.104100,98
2008-06-13,0.104100,0.106800,0.104100,0.105400,0.105400,51
2008-06-15,null,null,null,null,null,null
2008-06-16,0.105100,0.110600,0.105100,0.108400,0.108400,33
2008-06-17,0.109500,0.111100,0.109000,0.110600,0.110600,22
2008-06-18,0.111900,0.116900,0.104000,0.116000,0.116000,59
2008-06-19,0.115900,0.117200,0.115000,0.115800,0.115800,49
