Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,456.250000,469.500000,456.000000,462.500000,462.500000,82995
2008-01-03,462.500000,469.000000,460.750000,466.000000,466.000000,70759
2008-01-04,466.000000,469.000000,459.000000,466.750000,466.750000,71387
2008-01-07,466.000000,468.500000,462.000000,466.250000,466.250000,65254
2008-01-08,465.500000,480.000000,465.500000,478.750000,478.750000,86301
2008-01-09,477.750000,482.000000,475.500000,477.250000,477.250000,77906
2008-01-10,476.250000,478.250000,471.000000,475.000000,475.000000,91060
2008-01-11,474.000000,495.000000,473.500000,495.000000,495.000000,91060
2008-01-14,505.000000,515.000000,503.000000,512.000000,512.000000,91060
2008-01-15,510.250000,519.250000,505.000000,509.000000,509.000000,91060
2008-01-16,507.250000,509.000000,496.000000,502.500000,502.500000,91060
2008-01-17,502.500000,513.750000,500.250000,502.000000,502.000000,91060
2008-01-18,500.750000,502.500000,494.750000,498.250000,498.250000,99913
2008-01-22,491.500000,498.500000,478.250000,489.000000,489.000000,139381
2008-01-23,487.750000,493.750000,469.000000,469.250000,469.250000,162660
2008-01-24,474.250000,489.250000,473.250000,489.250000,489.250000,116624
2008-01-25,491.250000,504.500000,491.250000,498.250000,498.250000,126215
2008-01-28,496.750000,503.750000,490.000000,502.250000,502.250000,91721
2008-01-29,503.250000,507.500000,497.000000,501.000000,501.000000,95856
2008-01-30,501.500000,502.500000,494.250000,498.500000,498.500000,89969
2008-01-31,497.750000,505.250000,492.000000,501.250000,501.250000,107158
2008-02-01,503.000000,509.750000,499.250000,500.500000,500.500000,124049
2008-02-04,501.250000,511.000000,501.250000,510.500000,510.500000,90090
2008-02-05,510.000000,512.000000,505.000000,509.250000,509.250000,109290
2008-02-06,510.000000,528.750000,500.000000,501.500000,501.500000,184644
2008-02-07,500.000000,504.500000,491.000000,499.500000,499.500000,192244
2008-02-08,502.000000,519.000000,501.500000,508.000000,508.000000,197095
2008-02-11,510.500000,512.750000,491.250000,503.500000,503.500000,139958
2008-02-12,503.500000,506.500000,495.000000,497.750000,497.750000,146545
2008-02-13,496.000000,498.750000,492.500000,497.000000,497.000000,111991
2008-02-14,497.000000,512.500000,496.500000,511.000000,511.000000,108007
2008-02-15,511.750000,517.000000,509.750000,514.750000,514.750000,110936
2008-02-19,514.500000,524.750000,514.250000,520.000000,520.000000,128426
2008-02-20,520.000000,524.000000,513.250000,523.500000,523.500000,120374
2008-02-21,523.500000,529.000000,516.500000,524.500000,524.500000,110252
2008-02-22,524.000000,525.000000,518.750000,522.250000,522.250000,65603
2008-02-25,522.000000,542.000000,521.250000,533.250000,533.250000,113708
2008-02-26,533.000000,539.250000,513.250000,530.500000,530.500000,75866
2008-02-27,530.250000,532.500000,518.000000,525.000000,525.000000,72140
2008-02-28,525.000000,544.000000,520.500000,543.250000,543.250000,110033
2008-02-29,540.750000,547.750000,539.500000,546.000000,546.000000,40847
2008-03-03,546.000000,562.000000,544.000000,555.500000,555.500000,30123
2008-03-04,555.000000,560.500000,530.000000,543.000000,543.000000,27331
2008-03-05,545.500000,564.000000,540.000000,557.000000,557.000000,14329
2008-03-06,561.750000,562.750000,546.000000,557.000000,557.000000,11671
2008-03-07,556.250000,556.250000,528.000000,533.500000,533.500000,9314
2008-03-10,530.000000,555.250000,516.500000,555.500000,555.500000,3850
2008-03-11,556.000000,572.000000,549.750000,564.000000,564.000000,3808
2008-03-12,559.500000,562.000000,551.000000,556.750000,556.750000,4692
2008-03-13,557.750000,568.000000,553.250000,559.750000,559.750000,2440
2008-03-14,559.750000,563.500000,541.500000,545.500000,545.500000,120026
2008-03-17,559.000000,567.250000,539.250000,539.250000,539.250000,67780
2008-03-18,533.250000,549.500000,528.000000,547.250000,547.250000,90844
2008-03-19,547.000000,548.750000,527.250000,527.250000,527.250000,117481
2008-03-20,525.000000,526.500000,507.250000,507.500000,507.500000,149989
2008-03-24,509.750000,525.500000,503.250000,524.750000,524.750000,100968
2008-03-25,526.000000,544.750000,524.750000,544.750000,544.750000,67708
2008-03-26,548.000000,561.000000,541.500000,552.250000,552.250000,101068
2008-03-27,550.250000,557.500000,546.500000,555.500000,555.500000,66816
2008-03-28,553.750000,562.750000,547.250000,560.500000,560.500000,78064
2008-03-31,561.250000,588.000000,557.000000,567.250000,567.250000,169084
2008-04-01,570.500000,587.750000,561.250000,584.000000,584.000000,146412
2008-04-02,584.250000,599.250000,582.000000,595.750000,595.750000,122521
2008-04-03,595.750000,602.750000,590.250000,600.000000,600.000000,114646
2008-04-04,599.750000,601.500000,595.500000,598.000000,598.000000,81488
2008-04-07,595.250000,601.000000,587.000000,590.000000,590.000000,135414
2008-04-08,588.250000,594.250000,586.500000,591.250000,591.250000,122427
2008-04-09,592.750000,616.000000,592.000000,605.000000,605.000000,171693
2008-04-10,605.000000,612.250000,593.000000,594.250000,594.250000,156007
2008-04-11,595.250000,598.000000,583.000000,584.250000,584.250000,142072
2008-04-14,587.500000,594.750000,579.250000,591.750000,591.750000,129003
2008-04-15,593.250000,609.500000,592.750000,606.000000,606.000000,133875
2008-04-16,606.000000,609.000000,599.750000,603.500000,603.500000,87590
2008-04-17,603.500000,609.500000,598.500000,603.500000,603.500000,72470
2008-04-18,603.250000,606.000000,590.500000,599.500000,599.500000,51173
2008-04-21,597.000000,597.500000,569.500000,580.250000,580.250000,84710
2008-04-22,582.750000,601.250000,577.250000,594.250000,594.250000,61316
2008-04-23,594.750000,597.000000,586.000000,587.750000,587.750000,42514
2008-04-24,587.750000,590.750000,572.250000,576.250000,576.250000,115119
2008-04-25,576.250000,593.000000,566.000000,577.250000,577.250000,83646
2008-04-28,585.250000,601.000000,583.000000,600.000000,600.000000,87752
2008-04-29,606.000000,610.250000,586.750000,591.250000,591.250000,129006
2008-04-30,592.500000,603.000000,591.000000,600.250000,600.250000,62554
2008-05-01,602.000000,606.500000,591.250000,605.500000,605.500000,46310
2008-05-02,603.250000,612.750000,600.000000,602.000000,602.000000,33106
2008-05-05,605.000000,606.500000,572.000000,582.000000,582.000000,39786
2008-05-06,586.500000,610.500000,583.750000,594.750000,594.750000,23576
2008-05-07,599.500000,606.000000,596.000000,601.500000,601.500000,15268
2008-05-08,602.500000,621.750000,602.250000,618.750000,618.750000,12287
2008-05-09,618.250000,627.000000,613.000000,618.500000,618.500000,9011
2008-05-12,616.000000,618.750000,603.000000,603.500000,603.500000,7839
2008-05-13,602.000000,602.000000,585.000000,597.500000,597.500000,5197
2008-05-14,598.000000,598.000000,586.750000,589.750000,589.750000,94813
2008-05-15,596.250000,599.750000,585.250000,599.000000,599.000000,113564
2008-05-16,599.500000,608.500000,587.500000,591.000000,591.000000,89515
2008-05-19,587.000000,593.500000,582.000000,586.750000,586.750000,86677
2008-05-20,590.000000,603.500000,586.250000,589.750000,589.750000,102239
2008-05-21,589.250000,608.750000,589.000000,607.250000,607.250000,98638
2008-05-22,608.000000,611.250000,595.250000,595.750000,595.750000,115412
2008-05-23,594.750000,602.000000,593.000000,599.750000,599.750000,73062
2008-05-27,604.750000,607.000000,592.500000,598.000000,598.000000,68636
2008-05-28,593.000000,596.750000,585.000000,592.500000,592.500000,108666
2008-05-29,592.500000,594.750000,572.750000,582.250000,582.250000,154670
2008-05-30,580.000000,603.250000,577.000000,599.250000,599.250000,124124
2008-06-02,597.000000,618.000000,595.750000,615.750000,615.750000,149080
2008-06-03,610.000000,618.750000,601.750000,608.000000,608.000000,157427
2008-06-04,608.500000,615.000000,602.250000,614.500000,614.500000,110818
2008-06-05,615.000000,643.500000,614.500000,643.250000,643.250000,168510
2008-06-06,643.000000,663.250000,641.750000,650.750000,650.750000,199759
2008-06-09,660.750000,673.000000,650.000000,657.250000,657.250000,136730
2008-06-10,657.000000,673.750000,655.250000,673.250000,673.250000,164566
2008-06-11,674.000000,703.250000,673.250000,703.250000,703.250000,108001
