Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,110.343750,111.140625,110.062500,111.046875,111.046875,475565
2008-01-03,111.000000,111.265625,110.812500,111.046875,111.046875,438857
2008-01-04,111.093750,111.750000,110.984375,111.562500,111.562500,646342
2008-01-07,111.453125,111.687500,111.312500,111.546875,111.546875,519472
2008-01-08,111.531250,111.953125,111.250000,111.562500,111.562500,526913
2008-01-09,111.875000,112.078125,111.609375,111.875000,111.875000,677211
2008-01-10,111.703125,111.875000,111.500000,111.562500,111.562500,758803
2008-01-11,111.578125,112.156250,111.562500,111.984375,111.984375,628712
2008-01-14,112.078125,112.234375,111.890625,112.015625,112.015625,437629
2008-01-15,112.046875,112.578125,112.015625,112.328125,112.328125,733547
2008-01-16,112.515625,112.796875,112.234375,112.421875,112.421875,843788
2008-01-17,112.343750,113.000000,112.171875,112.765625,112.765625,767015
2008-01-18,112.875000,113.031250,112.625000,112.968750,112.968750,512161
2008-01-22,113.625000,114.379997,113.349998,113.849998,113.849998,1115021
2008-01-23,114.156250,114.843750,113.140625,114.125000,114.125000,1075751
2008-01-24,113.343750,113.890625,112.546875,113.046875,113.046875,886447
2008-01-25,112.609375,113.328125,112.203125,113.156250,113.156250,1032292
2008-01-28,113.203125,113.500000,112.906250,113.140625,113.140625,476446
2008-01-29,113.000000,113.203125,112.562500,112.812500,112.812500,585896
2008-01-30,112.671875,113.046875,112.437500,112.593750,112.593750,678878
2008-01-31,113.125000,113.546875,112.937500,113.000000,113.000000,1040826
2008-02-01,113.203125,113.640625,112.890625,113.312500,113.312500,931426
2008-02-04,113.343750,113.375000,113.062500,113.265625,113.265625,409465
2008-02-05,113.250000,113.937500,113.218750,113.703125,113.703125,720431
2008-02-06,113.828125,113.984375,113.515625,113.687500,113.687500,509439
2008-02-07,113.812500,114.109375,112.812500,113.281250,113.281250,1031698
2008-02-08,113.093750,113.656250,113.078125,113.578125,113.578125,728528
2008-02-11,113.609375,113.968750,113.406250,113.781250,113.781250,525275
2008-02-12,113.812500,113.859375,113.250000,113.515625,113.515625,754752
2008-02-13,113.640625,113.859375,113.328125,113.656250,113.656250,767640
2008-02-14,113.515625,113.687500,113.156250,113.328125,113.328125,857688
2008-02-15,113.328125,113.656250,113.218750,113.343750,113.343750,857688
2008-02-19,113.328125,113.343750,112.546875,112.765625,112.765625,961015
2008-02-20,112.640625,112.937500,112.406250,112.437500,112.437500,1174877
2008-02-21,112.531250,113.437500,112.515625,113.312500,113.312500,1161463
2008-02-22,113.343750,113.562500,113.062500,113.343750,113.343750,785918
2008-02-25,113.140625,113.109375,112.562500,112.703125,112.703125,934430
2008-02-26,112.671875,113.171875,112.453125,113.015625,113.015625,1179537
2008-02-27,113.093750,113.625000,112.468750,113.140625,113.140625,1227523
2008-02-28,113.093750,114.093750,113.062500,113.796875,113.796875,1301467
2008-02-29,114.125000,114.937500,114.125000,114.828125,114.828125,478801
2008-03-03,114.968750,115.031250,114.515625,114.859375,114.859375,215603
2008-03-04,114.750000,115.203125,114.546875,114.812500,114.812500,145523
2008-03-05,114.578125,114.929688,114.289063,114.445313,114.445313,141795
2008-03-06,114.500000,115.062500,114.468750,114.804688,114.804688,89753
2008-03-07,115.250000,115.625000,114.664063,115.218750,115.218750,51055
2008-03-10,115.164063,115.554688,115.039063,115.445313,115.445313,34083
2008-03-11,115.296875,115.296875,114.171875,114.421875,114.421875,97971
2008-03-12,114.554688,115.148438,114.179688,114.921875,114.921875,22918
2008-03-13,115.453125,115.500000,114.695313,114.828125,114.828125,23769
2008-03-14,114.968750,115.906250,114.796875,115.640625,115.640625,1249116
2008-03-17,114.679688,115.546875,114.609375,115.320313,115.320313,854972
2008-03-18,115.250000,115.312500,114.171875,114.390625,114.390625,995212
2008-03-19,114.179688,114.796875,113.882813,114.632813,114.632813,846016
2008-03-20,114.796875,114.828125,114.273438,114.656250,114.656250,495549
