Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,105.125000,105.554688,105.023438,105.507813,105.507813,221082
2008-01-03,105.484375,105.789063,105.460938,105.593750,105.593750,260858
2008-01-04,105.609375,106.000000,105.546875,105.796875,105.796875,378777
2008-01-07,105.750000,105.804688,105.625000,105.718750,105.718750,254032
2008-01-08,105.718750,105.898438,105.585938,105.718750,105.718750,240926
2008-01-09,105.867188,105.992188,105.757813,105.890625,105.890625,299015
2008-01-10,105.796875,105.984375,105.734375,105.851563,105.851563,385584
2008-01-11,105.851563,106.132813,105.851563,106.062500,106.062500,364826
2008-01-14,106.109375,106.179688,106.000000,106.078125,106.078125,214357
2008-01-15,106.085938,106.257813,106.031250,106.140625,106.140625,343502
2008-01-16,106.250000,106.351563,106.078125,106.187500,106.187500,354300
2008-01-17,106.148438,106.406250,106.054688,106.304688,106.304688,382130
2008-01-18,106.359375,106.484375,106.257813,106.453125,106.453125,255244
2008-01-22,106.625000,107.127998,106.669998,106.779999,106.779999,786775
2008-01-23,106.906250,107.195313,106.562500,106.921875,106.921875,516853
2008-01-24,106.617188,106.890625,106.265625,106.476563,106.476563,417384
2008-01-25,106.320313,106.632813,106.117188,106.531250,106.531250,438630
2008-01-28,106.546875,106.718750,106.406250,106.546875,106.546875,223420
2008-01-29,106.484375,106.562500,106.312500,106.421875,106.421875,229870
2008-01-30,106.367188,106.617188,106.289063,106.414063,106.414063,312306
2008-01-31,106.664063,106.851563,106.570313,106.609375,106.609375,374691
2008-02-01,106.726563,106.929688,106.554688,106.757813,106.757813,447793
2008-02-04,106.773438,106.867188,106.664063,106.835938,106.835938,248330
2008-02-05,106.828125,107.109375,106.828125,107.031250,107.031250,346895
2008-02-06,107.062500,107.156250,106.929688,106.984375,106.984375,221768
2008-02-07,107.046875,107.179688,106.718750,106.929688,106.929688,377242
2008-02-08,106.843750,107.101563,106.828125,107.046875,107.046875,247856
2008-02-11,107.046875,107.187500,106.945313,107.101563,107.101563,181597
2008-02-12,107.132813,107.179688,106.859375,107.054688,107.054688,284680
2008-02-13,107.140625,107.273438,107.031250,107.187500,107.187500,294101
2008-02-14,107.140625,107.226563,107.062500,107.171875,107.171875,358959
2008-02-15,107.164063,107.289063,107.101563,107.140625,107.140625,225136
2008-02-19,107.117188,107.148438,106.789063,106.875000,106.875000,364430
2008-02-20,106.820313,106.882813,106.664063,106.664063,106.664063,469758
2008-02-21,106.679688,107.007813,106.585938,106.968750,106.968750,497750
2008-02-22,106.992188,107.046875,106.835938,106.992188,106.992188,387321
2008-02-25,106.875000,106.875000,106.710938,106.757813,106.757813,518695
2008-02-26,106.750000,106.984375,106.671875,106.898438,106.898438,616841
2008-02-27,106.929688,107.156250,106.898438,106.937500,106.937500,877478
2008-02-28,106.937500,107.320313,106.929688,107.203125,107.203125,769079
2008-02-29,107.359375,107.695313,107.328125,107.656250,107.656250,280769
2008-03-03,107.671875,107.773438,107.523438,107.718750,107.718750,116394
2008-03-04,107.609375,107.875000,107.546875,107.687500,107.687500,86310
2008-03-05,107.632813,107.734375,107.429688,107.554688,107.554688,48603
2008-03-06,107.640625,107.789063,107.546875,107.648438,107.648438,55751
2008-03-07,107.851563,107.875000,107.523438,107.773438,107.773438,35135
2008-03-10,107.742188,107.906250,107.640625,107.835938,107.835938,19669
2008-03-11,107.640625,107.671875,107.328125,107.453125,107.453125,65506
2008-03-12,107.492188,107.703125,107.328125,107.632813,107.632813,45232
2008-03-13,107.851563,107.914063,107.601563,107.656250,107.656250,16933
2008-03-14,107.750000,108.179688,107.632813,108.023438,108.023438,82017
2008-03-17,108.015625,108.273438,107.992188,108.117188,108.117188,2074
2008-03-18,107.929688,107.968750,107.632813,107.648438,107.648438,13713
2008-03-19,107.734375,107.835938,107.507813,107.789063,107.789063,3561
2008-03-20,107.687500,107.781250,107.539063,107.734375,107.734375,2833
2008-03-24,107.515625,107.515625,107.187500,107.281250,107.281250,17356
2008-03-25,107.343750,107.453125,107.304688,107.390625,107.390625,16852
2008-03-26,107.492188,107.562500,107.343750,107.484375,107.484375,5353
2008-03-27,107.531250,107.625000,107.500000,107.460938,107.460938,707
2008-03-28,107.625000,107.765625,107.539063,107.601563,107.601563,1286
2008-03-31,107.695313,107.703125,107.406250,107.546875,107.546875,180351
2008-04-01,107.429688,107.476563,106.992188,107.039063,107.039063,237305
2008-04-02,107.015625,107.125000,106.734375,106.867188,106.867188,286051
2008-04-03,106.828125,107.023438,106.742188,106.843750,106.843750,259671
2008-04-04,106.898438,107.062500,106.851563,107.007813,107.007813,298747
2008-04-07,107.015625,107.015625,106.671875,106.820313,106.820313,169286
2008-04-08,106.851563,107.046875,106.820313,106.968750,106.968750,202778
2008-04-09,106.937500,107.281250,106.875000,107.226563,107.226563,262296
2008-04-10,107.187500,107.335938,107.015625,107.070313,107.070313,216491
2008-04-11,107.031250,107.289063,107.007813,107.250000,107.250000,151335
2008-04-14,107.281250,107.382813,107.187500,107.218750,107.218750,144789
2008-04-15,107.203125,107.289063,106.976563,107.070313,107.070313,190663
2008-04-16,106.992188,107.109375,106.750000,106.773438,106.773438,289647
2008-04-17,106.812500,106.828125,106.398438,106.515625,106.515625,397768
2008-04-18,106.546875,106.625000,106.210938,106.398438,106.398438,258591
2008-04-21,106.476563,106.578125,106.343750,106.429688,106.429688,169111
2008-04-22,106.414063,106.453125,106.312500,106.343750,106.343750,167089
2008-04-23,106.343750,106.421875,106.234375,106.367188,106.367188,204625
2008-04-24,106.343750,106.460938,105.968750,106.023438,106.023438,333483
2008-04-25,106.046875,106.156250,105.820313,106.007813,106.007813,272855
2008-04-28,106.023438,106.171875,106.000000,106.117188,106.117188,137787
2008-04-29,106.148438,106.281250,106.109375,106.148438,106.148438,165540
2008-04-30,106.132813,106.351563,106.039063,106.343750,106.343750,282870
2008-05-01,106.328125,106.429688,106.117188,106.171875,106.171875,291357
2008-05-02,106.117188,106.304688,105.820313,105.992188,105.992188,362170
